累加出油量/L	油位高度/mm
50	1020.65
100	1007.73
150	994.32
200	980.96
250	967.10
300	956.01
350	941.54
400	929.69
450	916.44
500	904.14
550	891.90
600	879.23
650	868.99
700	855.13
750	844.02
800	831.64
850	820.47
900	808.16
950	796.00
1000	785.04
1050	773.07
1100	762.09
1150	750.81
1200	739.42
1250	727.09
1300	715.32
1350	705.43
1400	693.52
1450	682.50
1500	671.02
1550	658.68
1600	647.74
1650	635.76
1700	624.61
1750	612.53
1800	600.69
1850	589.40
1900	577.00
1950	564.58
2000	554.33
2050	540.76
2100	528.65
2150	517.19
2200	504.87
2250	490.78
2300	478.06
2350	465.97
2400	452.40
2450	439.98
2500	425.83
2550	411.73
