cohort,controller,contract,status,implementation_state,mworks_codegen_state,generated_sil_state,selectable,mission_status,provenance_status,pre_takeoff_status,takeoff_reached,landing_disarm,hover_xy_rmse_m,hover_z_rmse_m,trajectory_status,first_blocker,claim_ceiling,evidence_paths
P1_PID,cascade_pid,single_uav_takeoff_hover_land,accepted,implemented,passed,passed,True,passed,passed,passed,True,True,0.00920388164203624,0.017624696389858776,not_run,,generated_c_gazebo_takeoff_hover_land,Results/sunray_ros1/p1_pid_cascade_runtime_r4_hover0291_20260716/PX4CTRL_BASIC_MISSION_METRICS.json;Results/sunray_ros1/p1_pid_cascade_runtime_r4_hover0291_20260716/PID_GENERATED_RUNTIME_PROVENANCE.json
P1_PID,anti_windup,single_uav_takeoff_hover_land,accepted,implemented,passed,passed,True,passed,passed,passed,True,True,0.014941094339178205,0.012563740001250146,not_run,,generated_c_gazebo_takeoff_hover_land,Results/sunray_ros1/p1_pid_anti_windup_runtime_r4_xbias012_hover0291_20260716/PX4CTRL_BASIC_MISSION_METRICS.json;Results/sunray_ros1/p1_pid_anti_windup_runtime_r4_xbias012_hover0291_20260716/PID_GENERATED_RUNTIME_PROVENANCE.json
P1_PID,feedforward_profile,single_uav_takeoff_hover_land,accepted,implemented,passed,passed,True,passed,passed,passed,True,True,0.009213526662312416,0.014233421644086397,not_run,,generated_c_gazebo_takeoff_hover_land,Results/sunray_ros1/p1_pid_feedforward_runtime_r6_ff05_hover0291_20260716/PX4CTRL_BASIC_MISSION_METRICS.json;Results/sunray_ros1/p1_pid_feedforward_runtime_r6_ff05_hover0291_20260716/PID_GENERATED_RUNTIME_PROVENANCE.json
P1_PID,gain_scheduled_pid,single_uav_takeoff_hover_land,accepted,implemented,passed,passed,True,passed,passed,passed,True,True,0.007562154916665358,0.014173736048012428,not_run,,generated_c_gazebo_takeoff_hover_land,Results/sunray_ros1/p1_pid_gain_scheduled_runtime_r1_hover0291_20260716/PX4CTRL_BASIC_MISSION_METRICS.json;Results/sunray_ros1/p1_pid_gain_scheduled_runtime_r1_hover0291_20260716/PID_GENERATED_RUNTIME_PROVENANCE.json
P1_PID,fuzzy_pid,single_uav_takeoff_hover_land,accepted,implemented,passed,passed,True,passed,passed,passed,True,True,0.014190240859973736,0.016755241252079098,not_run,,generated_c_gazebo_takeoff_hover_land,Results/sunray_ros1/p1_pid_fuzzy_runtime_r1_hover0291_20260716/PX4CTRL_BASIC_MISSION_METRICS.json;Results/sunray_ros1/p1_pid_fuzzy_runtime_r1_hover0291_20260716/PID_GENERATED_RUNTIME_PROVENANCE.json
P1_PID,neural_pid,single_uav_takeoff_hover_land,accepted,implemented,passed,passed,True,passed,passed,passed,True,True,0.013619956852240522,0.016783892783290233,not_run,,generated_c_gazebo_takeoff_hover_land,Results/sunray_ros1/p1_pid_neural_runtime_r1_hover0291_20260716/PX4CTRL_BASIC_MISSION_METRICS.json;Results/sunray_ros1/p1_pid_neural_runtime_r1_hover0291_20260716/PID_GENERATED_RUNTIME_PROVENANCE.json
P2_LINEAR_ROBUST,lqg,single_uav_takeoff_hover_land,executed_blocked,implemented,passed,passed,False,blocked,,passed,True,True,0.05751968270141498,0.05622366268766644,not_run,hover_xy_rmse_above_max:0.05751968270141498;hover_xy_max_above_max:0.06594786493098181;hover_z_rmse_above_max:0.05622366268766644;hover_z_max_above_max:0.07285001216967557,executed_not_accepted,Results/control_platform/p2_linear_robust_runtime_20260716/lqg/PX4CTRL_BASIC_MISSION_METRICS.json
P2_LINEAR_ROBUST,feedback_linearization,single_uav_takeoff_hover_land,executed_blocked,implemented,passed,passed,False,blocked,,passed,True,True,0.040061624031686026,0.06049444268045179,not_run,hover_xy_rmse_above_max:0.040061624031686026;hover_xy_max_above_max:0.0538885269235946;hover_z_rmse_above_max:0.06049444268045179;hover_z_max_above_max:0.08143961883526629,executed_not_accepted,Results/control_platform/p2_linear_robust_runtime_20260716/feedback_linearization/PX4CTRL_BASIC_MISSION_METRICS.json
P2_LINEAR_ROBUST,passivity_based_control,single_uav_takeoff_hover_land,executed_blocked,implemented,passed,passed,False,blocked,,passed,True,True,0.03125234705705186,0.05664976329424122,not_run,hover_xy_rmse_above_max:0.03125234705705186;hover_z_rmse_above_max:0.05664976329424122;hover_z_max_above_max:0.07195761943142043,executed_not_accepted,Results/control_platform/p2_linear_robust_runtime_20260716/passivity_based_control/PX4CTRL_BASIC_MISSION_METRICS.json
P2_LINEAR_ROBUST,adaptive_backstepping,single_uav_takeoff_hover_land,executed_blocked,implemented,passed,passed,False,blocked,,passed,True,True,0.4941291107500093,0.40829276904845296,not_run,hover_xy_rmse_above_max:0.4941291107500093;hover_xy_max_above_max:0.5377037841471708;hover_z_rmse_above_max:0.40829276904845296;hover_z_max_above_max:0.4526939850038475,executed_not_accepted,Results/control_platform/p2_linear_robust_runtime_20260716/adaptive_backstepping_retry2/PX4CTRL_BASIC_MISSION_METRICS.json
P3_SLIDING_MODE,integral_smc,single_uav_takeoff_hover_land,executed_blocked,implemented,passed,passed,False,blocked,passed,passed,True,True,0.05608252569604952,0.016372168609077562,not_run,hover_xy_rmse_above_max:0.05608252569604952;hover_xy_max_above_max:0.10270480991554297,executed_not_accepted,Results/control_platform/p3_sliding_mode_runtime_20260716/integral_smc/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p3_sliding_mode_runtime_20260716/integral_smc/SLIDING_MODE_GENERATED_RUNTIME_PROVENANCE.json
P3_SLIDING_MODE,terminal_smc,single_uav_takeoff_hover_land,executed_blocked,implemented,passed,passed,False,blocked,passed,passed,True,True,0.07651768848384811,0.03091747753707477,not_run,hover_xy_rmse_above_max:0.07651768848384811;hover_xy_max_above_max:0.1589163153328268;hover_z_rmse_above_max:0.03091747753707477,executed_not_accepted,Results/control_platform/p3_sliding_mode_runtime_20260716/terminal_smc/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p3_sliding_mode_runtime_20260716/terminal_smc/SLIDING_MODE_GENERATED_RUNTIME_PROVENANCE.json
P3_SLIDING_MODE,nonsingular_terminal_smc,single_uav_takeoff_hover_land,executed_blocked,implemented,passed,passed,False,blocked,passed,passed,True,True,0.1110377801620468,0.06799564311561053,not_run,hover_xy_rmse_above_max:0.1110377801620468;hover_xy_max_above_max:0.18914370447420958;hover_z_rmse_above_max:0.06799564311561053;hover_z_max_above_max:0.09174977047410082,executed_not_accepted,Results/control_platform/p3_sliding_mode_runtime_20260716/nonsingular_terminal_smc/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p3_sliding_mode_runtime_20260716/nonsingular_terminal_smc/SLIDING_MODE_GENERATED_RUNTIME_PROVENANCE.json
P3_SLIDING_MODE,super_twisting_smc,single_uav_takeoff_hover_land,accepted,implemented,passed,passed,True,passed,passed,passed,True,True,0.009258573054396703,0.012280470888406626,not_run,,generated_c_gazebo_takeoff_hover_land,Results/control_platform/p3_sliding_mode_runtime_20260716/super_twisting_smc/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p3_sliding_mode_runtime_20260716/super_twisting_smc/SLIDING_MODE_GENERATED_RUNTIME_PROVENANCE.json
P3_SLIDING_MODE,adaptive_smc,single_uav_takeoff_hover_land,executed_blocked,implemented,passed,passed,False,blocked,passed,passed,True,True,0.13497322111509796,0.13688685527251165,not_run,hover_xy_rmse_above_max:0.13497322111509796;hover_xy_max_above_max:0.26267403824148605;hover_z_rmse_above_max:0.13688685527251165;hover_z_max_above_max:0.1879825407481872;truth_local_delta_error_bad_x:4.40276064023687;truth_local_delta_error_bad_y:0.28120569278570756;truth_local_delta_error_bad_z:7.976918852750077,executed_not_accepted,Results/control_platform/p3_sliding_mode_runtime_20260716/adaptive_smc/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p3_sliding_mode_runtime_20260716/adaptive_smc/SLIDING_MODE_GENERATED_RUNTIME_PROVENANCE.json
P3_SLIDING_MODE,fuzzy_smc,single_uav_takeoff_hover_land,executed_blocked,implemented,passed,passed,False,blocked,passed,passed,True,True,0.0784145912375166,0.09177698862635217,not_run,hover_xy_rmse_above_max:0.0784145912375166;hover_xy_max_above_max:0.1495939748514583;hover_z_rmse_above_max:0.09177698862635217;hover_z_max_above_max:0.10988028892236801,executed_not_accepted,Results/control_platform/p3_sliding_mode_runtime_20260716/fuzzy_smc/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p3_sliding_mode_runtime_20260716/fuzzy_smc/SLIDING_MODE_GENERATED_RUNTIME_PROVENANCE.json
P4_MPC,linear_mpc,single_uav_takeoff_hover_land,accepted,implemented,passed,passed,True,passed,passed,passed,True,True,0.018980784308311426,0.014502309267177878,not_run,,generated_c_gazebo_takeoff_hover_land,Results/control_platform/p4_mpc_runtime_20260716/linear_mpc/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p4_mpc_runtime_20260716/linear_mpc/MPC_GENERATED_RUNTIME_PROVENANCE.json
P4_MPC,robust_mpc,single_uav_takeoff_hover_land,accepted,implemented,passed,passed,True,passed,passed,passed,True,True,0.013495335750572074,0.012113393352827717,not_run,,generated_c_gazebo_takeoff_hover_land,Results/control_platform/p4_mpc_runtime_20260716/robust_mpc/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p4_mpc_runtime_20260716/robust_mpc/MPC_GENERATED_RUNTIME_PROVENANCE.json
P4_MPC,adaptive_mpc,single_uav_takeoff_hover_land,accepted,implemented,passed,passed,True,passed,passed,passed,True,True,0.013881886680391642,0.01888845218381463,not_run,,generated_c_gazebo_takeoff_hover_land,Results/control_platform/p4_mpc_runtime_20260716/adaptive_mpc/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/p4_mpc_runtime_20260716/adaptive_mpc/MPC_GENERATED_RUNTIME_PROVENANCE.json
