time,setpoint_source.y,measurement_source.y,inner_measurement_source.y,feedforward_source.y,schedule_source.y,fuzzy_error_source.y,neural_residual_source.y,command,outer_command,unsaturated_command,integral,scheduled_gain,saturated,status_code
0.0,2.0,0.1,0.05,0.3,0.5,0.4,0.1,1.0,0.0,2.2952,0.0060479999999999996,1.0,1.0,0.0
0.01,2.0,0.1,0.05,0.3,0.5,0.4,0.1,1.0,0.0,2.3000383999999996,0.012047616000000004,1.0,1.0,0.0
0.02,2.0,0.1,0.05,0.3,0.5,0.4,0.1,1.0,0.0,2.3048380928,0.017999235072000005,1.0,1.0,0.0
0.03,2.0,0.1,0.05,0.3,0.5,0.4,0.1,1.0,0.0,2.3095993880576,0.02390324119142401,1.0,1.0,0.0
0.04,2.0,0.1,0.05,0.3,0.5,0.4,0.1,1.0,0.0,2.314322592953139,0.02976001526189262,1.0,1.0,0.0
0.05,2.0,0.1,0.05,0.3,0.5,0.4,0.1,1.0,0.0,2.319008012209514,0.03556993513979748,1.0,1.0,0.0
0.06,2.0,0.1,0.05,0.3,0.5,0.4,0.1,1.0,0.0,2.323655948111838,0.0413333756586791,1.0,1.0,0.0
0.07,2.0,0.1,0.05,0.3,0.5,0.4,0.1,1.0,0.0,2.3282667005269433,0.04705070865340967,1.0,1.0,0.0
0.08,2.0,0.1,0.05,0.3,0.5,0.4,0.1,1.0,0.0,2.3328405669227275,0.0527223029841824,1.0,1.0,0.0
0.09,2.0,0.1,0.05,0.3,0.5,0.4,0.1,1.0,0.0,2.3373778423873457,0.05834852456030895,1.0,1.0,0.0
0.1,2.0,0.1,0.05,0.3,0.5,0.4,0.1,1.0,0.0,2.341878819648247,0.06392973636382648,1.0,1.0,0.0
0.11,2.0,0.1,0.05,0.3,0.5,0.4,0.1,1.0,0.0,2.346343789091061,0.06946629847291588,1.0,1.0,0.0
0.12,2.0,0.1,0.05,0.3,0.5,0.4,0.1,1.0,0.0,2.3507730387783323,0.07495856808513256,1.0,1.0,0.0
0.13,2.0,0.1,0.05,0.3,0.5,0.4,0.1,1.0,0.0,2.3551668544681057,0.0804068995404515,1.0,1.0,0.0
0.14,2.0,0.1,0.05,0.3,0.5,0.4,0.1,1.0,0.0,2.359525519632361,0.0858116443441279,1.0,1.0,0.0
0.15,2.0,0.1,0.05,0.3,0.5,0.4,0.1,1.0,0.0,2.363849315475302,0.09117315118937488,1.0,1.0,0.0
0.16,2.0,0.1,0.05,0.3,0.5,0.4,0.1,1.0,0.0,2.3681385209515,0.0964917659798599,1.0,1.0,0.0
0.17,2.0,0.1,0.05,0.3,0.5,0.4,0.1,1.0,0.0,2.3723934127838877,0.10176783185202103,1.0,1.0,0.0
0.18,2.0,0.1,0.05,0.3,0.5,0.4,0.1,1.0,0.0,2.3766142654816167,0.10700168919720486,1.0,1.0,0.0
0.19,2.0,0.1,0.05,0.3,0.5,0.4,0.1,1.0,0.0,2.3808013513577637,0.11219367568362723,1.0,1.0,0.0
0.2,2.0,0.1,0.05,0.3,0.5,0.4,0.1,1.0,0.0,2.3849549405469017,0.1173441262781582,1.0,1.0,0.0
