time,setpoint_source.y,measurement_source.y,inner_measurement_source.y,feedforward_source.y,schedule_source.y,fuzzy_error_source.y,neural_residual_source.y,command,outer_command,unsaturated_command,integral,scheduled_gain,saturated,status_code
0.0,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.6515327999999999,0.48319999999999996,0.6515327999999999,0.004332,1.0,0.0,0.0
0.01,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.6620784000000001,0.4864,0.6620784000000001,0.008695999999999999,1.0,0.0,0.0
0.02,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.6716368,0.4896,0.6716368,0.013092,1.0,0.0,0.0
0.03,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.6804579999999999,0.49279999999999996,0.6804579999999999,0.01752,1.0,0.0,0.0
0.04,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.6887295000000001,0.496,0.6887295000000001,0.02198,1.0,0.0,0.0
0.05,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.6965919249999999,0.4992,0.6965919249999999,0.026472,1.0,0.0,0.0
0.06,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.70415074375,0.5024,0.70415074375,0.030996,1.0,0.0,0.0
0.07,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.7114850578124999,0.5055999999999999,0.7114850578124999,0.035552,1.0,0.0,0.0
0.08,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.7186541933593751,0.5088,0.7186541933593751,0.04014,1.0,0.0,0.0
0.09,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.7257026450195314,0.512,0.7257026450195314,0.04476,1.0,0.0,0.0
0.1,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.7326637837646485,0.5152,0.7326637837646485,0.049412,1.0,0.0,0.0
0.11,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.7395626378234863,0.5184,0.7395626378234863,0.054096,1.0,0.0,0.0
0.12,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.7464179783676146,0.5216,0.7464179783676146,0.058811999999999996,1.0,0.0,0.0
0.13,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.7532438837757112,0.5248,0.7532438837757112,0.06355999999999999,1.0,0.0,0.0
0.14,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.7600509128317834,0.528,0.7600509128317834,0.06834,1.0,0.0,0.0
0.15,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.7668469846238375,0.5312,0.7668469846238375,0.073152,1.0,0.0,0.0
0.16,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.773638038467878,0.5344,0.773638038467878,0.077996,1.0,0.0,0.0
0.17,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.7804285288509084,0.5376,0.7804285288509084,0.082872,1.0,0.0,0.0
0.18,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.7872217966381816,0.5408000000000001,0.7872217966381816,0.08778,1.0,0.0,0.0
0.19,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.7940203474786363,0.544,0.7940203474786363,0.09272,1.0,0.0,0.0
0.2,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.8008260606089771,0.5472,0.8008260606089771,0.097692,1.0,0.0,0.0
