time,desired_acceleration_x,desired_acceleration_y,desired_acceleration_z,estimated_position_x,estimated_position_y,estimated_position_z,estimated_velocity_x,estimated_velocity_y,estimated_velocity_z,adaptive_disturbance_x,adaptive_disturbance_y,adaptive_disturbance_z,storage_function
0.0,2.7895200000000004,-0.012910000000000033,11.453275,0.0,0.0,0.0,0.0,0.0,0.0,0.0044800000000000005,0.0009099999999999999,0.0033750000000000004,0.0
0.01,2.7850400000000004,-0.01382000000000003,11.4499,0.0,0.0,0.0,0.0,0.0,0.0,0.008960000000000001,0.0018199999999999998,0.006750000000000001,0.0
0.02,2.7805600000000004,-0.014730000000000031,11.446525,0.0,0.0,0.0,0.0,0.0,0.0,0.01344,0.00273,0.010125000000000002,0.0
0.03,2.7760800000000003,-0.015640000000000032,11.44315,0.0,0.0,0.0,0.0,0.0,0.0,0.017920000000000002,0.0036399999999999996,0.013500000000000002,0.0
0.04,2.7716000000000003,-0.01655000000000003,11.439775,0.0,0.0,0.0,0.0,0.0,0.0,0.022400000000000003,0.004549999999999999,0.016875,0.0
0.05,2.7671200000000007,-0.01746000000000003,11.436399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.026880000000000005,0.00546,0.02025,0.0
0.06,2.7626400000000007,-0.018370000000000032,11.433024999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.031360000000000006,0.00637,0.023625,0.0
0.07,2.7581600000000006,-0.019280000000000033,11.429649999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.035840000000000004,0.00728,0.027,0.0
0.08,2.7536800000000006,-0.02019000000000003,11.426274999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.04032,0.00819,0.030375,0.0
0.09,2.7492000000000005,-0.02110000000000003,11.422899999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0448,0.009099999999999999,0.03375,0.0
0.1,2.7447200000000005,-0.02201000000000003,11.419525,0.0,0.0,0.0,0.0,0.0,0.0,0.04928,0.010009999999999998,0.037125000000000005,0.0
0.11,2.7402400000000005,-0.02292000000000003,11.41615,0.0,0.0,0.0,0.0,0.0,0.0,0.053759999999999995,0.010919999999999997,0.04050000000000001,0.0
0.12,2.7357600000000004,-0.023830000000000028,11.412775,0.0,0.0,0.0,0.0,0.0,0.0,0.05823999999999999,0.011829999999999997,0.04387500000000001,0.0
0.13,2.7312800000000004,-0.024740000000000026,11.4094,0.0,0.0,0.0,0.0,0.0,0.0,0.06272,0.012739999999999996,0.047250000000000014,0.0
0.14,2.7268000000000003,-0.025650000000000027,11.406025,0.0,0.0,0.0,0.0,0.0,0.0,0.0672,0.013649999999999995,0.05062500000000002,0.0
0.15,2.7223200000000003,-0.026560000000000028,11.40265,0.0,0.0,0.0,0.0,0.0,0.0,0.07168,0.014559999999999995,0.05400000000000002,0.0
0.16,2.7178400000000007,-0.027470000000000026,11.399275,0.0,0.0,0.0,0.0,0.0,0.0,0.07615999999999999,0.015469999999999994,0.05737500000000002,0.0
0.17,2.7133600000000007,-0.028380000000000027,11.3959,0.0,0.0,0.0,0.0,0.0,0.0,0.08063999999999999,0.016379999999999995,0.060750000000000026,0.0
0.18,2.7088800000000006,-0.029290000000000028,11.392525,0.0,0.0,0.0,0.0,0.0,0.0,0.08511999999999999,0.017289999999999996,0.06412500000000003,0.0
0.19,2.7044000000000006,-0.03020000000000003,11.389149999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.08959999999999999,0.018199999999999997,0.06750000000000003,0.0
0.2,2.6999200000000005,-0.03111000000000003,11.385774999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.09407999999999998,0.01911,0.07087500000000004,0.0
