time,desired_acceleration_x,desired_acceleration_y,desired_acceleration_z,estimated_position_x,estimated_position_y,estimated_position_z,estimated_velocity_x,estimated_velocity_y,estimated_velocity_z,adaptive_disturbance_x,adaptive_disturbance_y,adaptive_disturbance_z,storage_function
0.0,2.0500000000000003,0.19999999999999987,11.12665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,2.0500000000000003,0.19999999999999987,11.12665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,2.0500000000000003,0.19999999999999987,11.12665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,2.0500000000000003,0.19999999999999987,11.12665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,2.0500000000000003,0.19999999999999987,11.12665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,2.0500000000000003,0.19999999999999987,11.12665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,2.0500000000000003,0.19999999999999987,11.12665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,2.0500000000000003,0.19999999999999987,11.12665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,2.0500000000000003,0.19999999999999987,11.12665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,2.0500000000000003,0.19999999999999987,11.12665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.0500000000000003,0.19999999999999987,11.12665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,2.0500000000000003,0.19999999999999987,11.12665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,2.0500000000000003,0.19999999999999987,11.12665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,2.0500000000000003,0.19999999999999987,11.12665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,2.0500000000000003,0.19999999999999987,11.12665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,2.0500000000000003,0.19999999999999987,11.12665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,2.0500000000000003,0.19999999999999987,11.12665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,2.0500000000000003,0.19999999999999987,11.12665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,2.0500000000000003,0.19999999999999987,11.12665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,2.0500000000000003,0.19999999999999987,11.12665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,2.0500000000000003,0.19999999999999987,11.12665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
