time,desired_acceleration_x,desired_acceleration_y,desired_acceleration_z,estimated_position_x,estimated_position_y,estimated_position_z,estimated_velocity_x,estimated_velocity_y,estimated_velocity_z,adaptive_disturbance_x,adaptive_disturbance_y,adaptive_disturbance_z,storage_function
0.0,2.0500000000000003,0.19999999999999987,11.12665,0.2,-0.1,0.7,-0.3,0.2,-0.1,0.0,0.0,0.0,0.0
0.01,2.031385,0.19689999999999988,11.11411,0.19895000000000002,-0.0993,0.6997,-0.28872499999999995,0.2011,-0.09340000000000001,0.0,0.0,0.0,0.0
0.02,2.0209318985,0.19544352999999995,11.107789839999999,0.1986219625,-0.09905115,0.6996298,-0.28262613249999996,0.20168795,-0.09016270000000001,0.0,0.0,0.0,0.0
0.03,2.01514705272185,0.19473323003299994,11.10464070742,0.19852849541125,-0.09896199467500001,0.6996184518999999,-0.27932924743325,0.202003311915,-0.08857565080000002,0.0,0.0,0.0,0.0
0.04,2.0119742854922973,0.1943763606980993,11.103082164767079,0.19850732102792112,-0.09892968654454751,0.6996198086176,-0.2775477772983173,0.20217285431843152,-0.0877978718629,0.0,0.0,0.0,0.0
0.05,2.0102439218761954,0.1941930047346049,11.102313942481908,0.1985061451392283,-0.09891778530047712,0.6996225489696912,-0.2765854189438669,0.20226413985897687,-0.0874167751076146,0.0,0.0,0.0,0.0
0.06,2.009303586995972,0.19409727137779723,11.101936204078509,0.19850910183242637,-0.09891330036566058,0.6996245143655845,-0.2760656388488077,0.20231333844847763,-0.08723006784139775,0.0,0.0,0.0,0.0
0.07,2.008793747500454,0.19404672545882543,11.10175074476708,0.1985119559053784,-0.09891155844341154,0.6996256641061511,-0.27578493163836637,0.20233987113924057,-0.08713860290030634,0.0,0.0,0.0,0.0
0.08,2.0085177245318913,0.19401983444004015,11.101659771921717,0.19851393730614816,-0.0989108559062067,0.6996262834231444,-0.275633346789849,0.20235418611660586,-0.08709379772631777,0.0,0.0,0.0,0.0
0.09,2.0083684296996647,0.19400545524882654,11.101615172012819,0.1985151613433874,-0.09891055991576422,0.6996266036337643,-0.2755514932494915,0.20236191145355345,-0.0870718500035503,0.0,0.0,0.0,0.0
0.1,2.0082877288728698,0.19399774050270682,11.101593314095162,0.1985158762438124,-0.09891042928043005,0.6996267655401186,-0.27550729492387216,0.20236608130332295,-0.08706109914171106,0.0,0.0,0.0,0.0
0.11,2.0082441236138306,0.19399359222047555,11.101582603998615,0.1985162811531008,-0.09891036896358889,0.6996268463646104,-0.2754834296993289,0.20236833228959253,-0.08705583300037972,0.0,0.0,0.0,0.0
0.12,2.0082205683391385,0.1939913584291089,11.101577356857552,0.19851650639963764,-0.09891033997424253,0.699626886410382,-0.2754705436547548,0.2023695475164885,-0.08705325348019678,0.0,0.0,0.0,0.0
0.13,2.0082078460523194,0.19399015442971182,11.101574786353737,0.19851663033708153,-0.09891032557467717,0.699626906162674,-0.2754635858842499,0.20237020360542876,-0.08705198995581062,0.0,0.0,0.0,0.0
0.14,2.0082009754416754,0.1939895050834002,11.101573527158616,0.19851669806738367,-0.09891031823851801,0.6996269158789348,-0.27545982908304967,0.20237055783234925,-0.08705137104613661,0.0,0.0,0.0,0.0
0.15,2.0081972652604767,0.19398915473535763,11.101572910343357,0.19851673492179361,-0.09891031443106808,0.699626920650542,-0.2754578006307481,0.20237074908575078,-0.08705106788727522,0.0,0.0,0.0,0.0
0.16,2.0081952618256897,0.19398896565974458,11.10157260820254,0.19851675492042015,-0.09891031242907371,0.6996269229915008,-0.27545670538797884,0.2023708523482074,-0.08705091939192082,0.0,0.0,0.0,0.0
0.17,2.0081941800367624,0.19398886360237458,11.101572460203492,0.19851676575328914,-0.09891031136695708,0.6996269241392744,-0.2754561140233471,0.20237090810264266,-0.08705084665494772,0.0,0.0,0.0,0.0
0.18,2.0081935959174384,0.1939888085088413,11.101572387708913,0.1985167716145695,-0.09891031080007573,0.6996269247018174,-0.2754557947226387,0.20237093820626653,-0.0870508110264564,0.0,0.0,0.0,0.0
0.19,2.0081932805221174,0.19398877876564594,11.101572352198941,0.19851677478357008,-0.09891031049630457,0.6996269249774658,-0.27545562231990534,0.20237095446024522,-0.08705079357468362,0.0,0.0,0.0,0.0
0.2,2.0081931102257293,0.19398876270753054,11.101572334805159,0.19851677649612987,-0.09891031033309575,0.6996269251125157,-0.27545552923307626,0.20237096323634593,-0.08705078502634711,0.0,0.0,0.0,0.0
