time,desired_acceleration_x,desired_acceleration_y,desired_acceleration_z,unconstrained_acceleration_x,unconstrained_acceleration_y,unconstrained_acceleration_z,auxiliary_x,auxiliary_y,auxiliary_z,solver_cost,solver_iterations
0.0,1.2,1.2,10.60665,4.4367474557104085,1.548705229984674,2.253070897067818,0.25,0.25,0.2,1.3064925,0.0
0.01,2.4,1.849586718721207,11.406649999999999,4.737628944446941,1.849586718721207,2.4833557546390326,0.25,0.25,0.2,1.2446563917715434,0.0
0.02,3.5999999999999996,2.01246056788147,12.20665,5.038510433183474,2.01246056788147,2.713640612210247,0.25,0.25,0.2,1.2157712848207503,0.0
0.03,4.0,2.0532986730577947,12.30665,5.339391921920007,2.0532986730577947,2.943925469781462,0.25,0.25,0.2,1.2124908841814728,0.0
0.04,4.0,2.063538197959988,12.30665,5.4396857514988515,2.063538197959988,2.972711076977863,0.25,0.25,0.2,1.212670979060979,0.0
0.05,4.0,2.06610560087376,12.30665,5.4396857514988515,2.06610560087376,2.972711076977863,0.25,0.25,0.2,1.2127163973475747,0.0
0.06,4.0,2.0667493375494956,12.30665,5.4396857514988515,2.0667493375494956,2.972711076977863,0.25,0.25,0.2,1.2127278017708918,0.0
0.07,4.0,2.0669107445906203,12.30665,5.4396857514988515,2.0669107445906203,2.972711076977863,0.25,0.25,0.2,1.2127306622907146,0.0
0.08,4.0,2.0669512149163087,12.30665,5.4396857514988515,2.0669512149163087,2.972711076977863,0.25,0.25,0.2,1.2127313795871024,0.0
0.09,4.0,2.066961362226178,12.30665,5.4396857514988515,2.066961362226178,2.972711076977863,0.25,0.25,0.2,1.2127315594422037,0.0
0.1,4.0,2.066963906507594,12.30665,5.4396857514988515,2.066963906507594,2.972711076977863,0.25,0.25,0.2,1.2127316045383534,0.0
0.11,4.0,2.066964544446911,12.30665,5.4396857514988515,2.066964544446911,2.972711076977863,0.25,0.25,0.2,1.2127316158455335,0.0
0.12,4.0,2.066964704400354,12.30665,5.4396857514988515,2.066964704400354,2.972711076977863,0.25,0.25,0.2,1.2127316186806354,0.0
0.13,4.0,2.0669647445062123,12.30665,5.4396857514988515,2.0669647445062123,2.972711076977863,0.25,0.25,0.2,1.2127316193914937,0.0
0.14,4.0,2.0669647545621377,12.30665,5.4396857514988515,2.0669647545621377,2.972711076977863,0.25,0.25,0.2,1.2127316195697304,0.0
0.15,4.0,2.066964757083506,12.30665,5.4396857514988515,2.066964757083506,2.972711076977863,0.25,0.25,0.2,1.2127316196144204,0.0
0.16,4.0,2.0669647577157,12.30665,5.4396857514988515,2.0669647577157,2.972711076977863,0.25,0.25,0.2,1.2127316196256257,0.0
0.17,4.0,2.066964757874213,12.30665,5.4396857514988515,2.066964757874213,2.972711076977863,0.25,0.25,0.2,1.2127316196284355,0.0
0.18,4.0,2.066964757913958,12.30665,5.4396857514988515,2.066964757913958,2.972711076977863,0.25,0.25,0.2,1.2127316196291398,0.0
0.19,4.0,2.066964757923923,12.30665,5.4396857514988515,2.066964757923923,2.972711076977863,0.25,0.25,0.2,1.2127316196293165,0.0
0.2,4.0,2.066964757926422,12.30665,5.4396857514988515,2.066964757926422,2.972711076977863,0.25,0.25,0.2,1.2127316196293607,0.0
