t,phase,uav_a,uav_b,distance_m
6.511,init,2,3,1.4660079931378396
6.545,init,2,3,1.4660079931045231
6.579,init,2,3,1.466007993071207
6.6129999999999995,init,2,3,1.4660079930378906
6.647,init,2,3,1.4660079930045744
6.681,init,2,3,1.4660079929712582
6.715,init,2,3,1.466007992937942
6.749,init,2,3,1.4660079929046255
6.783,init,2,3,1.466007992871309
6.817,init,2,3,1.4660079928379928
6.851,init,2,3,1.4660079928046768
6.885,init,2,3,1.4660079927713603
6.9190000000000005,init,2,3,1.4660079927380438
6.953,init,2,3,1.4660079927047276
6.987,init,2,3,1.4660079926714114
7.021,init,2,3,1.4660079926380951
7.055,init,2,3,1.4660079926047787
7.089,init,2,3,1.4660079925714624
7.123,init,2,3,1.4660079925381462
7.157,init,2,3,1.46600799250483
7.191,init,2,3,1.4660079924715135
7.225,init,2,3,1.466007992438197
7.259,init,2,3,1.4660079924048808
7.293,takeoff,2,3,1.4660079923715648
7.327,takeoff,2,3,1.4660079923382483
7.361,takeoff,2,3,1.4660079923049318
7.395,takeoff,2,3,1.4660079922716158
7.429,takeoff,2,3,1.4660079922382994
7.463,takeoff,2,3,1.4660079922049831
7.497,takeoff,2,3,1.466007992171667
7.531,takeoff,2,3,1.4660079921383506
7.5649999999999995,takeoff,2,3,1.4660079921050342
7.599,takeoff,2,3,1.466007992071718
7.633,takeoff,2,3,1.4660079920384017
7.667,takeoff,2,3,1.4660079920050855
7.701,takeoff,2,3,1.466007991971769
7.735,takeoff,2,3,1.4660079919384528
7.769,takeoff,2,3,1.4660079919051363
7.803,takeoff,2,3,1.4660079918718203
7.837,takeoff,2,3,1.4660079918385038
7.871,takeoff,2,3,1.4660079918051876
7.905,takeoff,2,3,1.4660079917718711
7.939,takeoff,2,3,1.4660079917385551
7.973,takeoff,2,3,1.4660079917052387
8.007,takeoff,2,3,1.4660079916719222
8.041,takeoff,2,3,1.4660079916386062
8.075,takeoff,2,3,1.4660079916052897
8.11,takeoff,2,3,1.4660079915709936
8.144,takeoff,2,3,1.4660079915376771
8.178,takeoff,2,3,1.4660079915043611
8.212,takeoff,2,3,1.4660079914710447
8.246,takeoff,2,3,1.4660079914377284
8.28,takeoff,2,3,1.4660079914044122
8.314,takeoff,2,3,1.466007991371096
8.348,takeoff,2,3,1.4660079913377795
8.382,takeoff,2,3,1.4660079913044635
8.416,takeoff,2,3,1.466007991271147
8.45,takeoff,2,3,1.4660079912378305
8.484,takeoff,2,3,1.4660079912045143
8.518,takeoff,2,3,1.4660079911711978
8.552,takeoff,2,3,1.4660079911378818
8.586,takeoff,2,3,1.4660079911035855
8.62,takeoff,2,3,1.4660079910712491
8.654,takeoff,2,3,1.4660079910379327
8.688,takeoff,2,3,1.4660079910046167
8.722,takeoff,2,3,1.4660079909713002
8.756,takeoff,2,3,1.466007990937984
8.79,takeoff,2,3,1.4660079909046675
8.824,takeoff,2,3,1.4660079908713515
8.858,takeoff,2,3,1.466007990838035
8.892,takeoff,2,3,1.4660079908047188
8.926,takeoff,2,3,1.4660079907714023
8.96,takeoff,2,3,1.4660079907380863
8.994,takeoff,2,3,1.4660079907047698
9.028,takeoff,2,3,1.4660079906714534
9.062,takeoff,2,3,1.4660079906381371
9.096,takeoff,2,3,1.466007990604821
9.131,takeoff,2,3,1.4660079905705248
9.165,takeoff,2,3,1.4660079905372085
9.199,takeoff,2,3,1.4660079905038923
9.233,takeoff,2,3,1.4660079904705758
9.267,takeoff,2,3,1.4660079904372596
9.301,takeoff,2,3,1.4660079904039434
9.335,takeoff,2,3,1.4660079903706271
9.369,takeoff,2,3,1.4660079903373107
9.403,takeoff,2,3,1.4660079903039942
9.437,takeoff,2,3,1.4660079902706782
9.471,takeoff,2,3,1.4660079902373617
9.505,takeoff,2,3,1.4660079902040455
9.539,takeoff,2,3,1.4660079901707295
9.573,takeoff,2,3,1.466007990137413
9.607,takeoff,2,3,1.4660079901040965
9.641,takeoff,2,3,1.4660079900707803
9.675,takeoff,2,3,1.4660079900374638
9.709,takeoff,2,3,1.4660079900041478
9.743,takeoff,2,3,1.4660079899708314
9.778,takeoff,2,3,1.466007989936535
9.812,takeoff,2,3,1.466007989903219
9.846,takeoff,2,3,1.4660079898699026
9.88,takeoff,2,3,1.4660079898365863
9.914,takeoff,2,3,1.4660079898032699
9.948,takeoff,2,3,1.4660079897699536
9.982,takeoff,2,3,1.4660079897366374
