time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.002,4.572049654804941e-12,-6.365452826211249e-12,5.97704190444938e-07,0.0,0.0,0.004,2.238963642120501e-08,1.608172043957438e-08,5.515175235065359e-16,0.22960726334830658,-0.22960544126655646,0.22960389544275867,-0.22960571752449827
0.004,1.8936473738708212e-11,-2.6267364753243617e-11,1.2237141464078319e-06,0.0,0.0,0.008,8.931350138528416e-08,6.439592752869506e-08,1.5560287525482643e-16,0.45457437149545593,-0.45456719928495515,0.4545611038725573,-0.4545682760830554
0.006,4.515471738364086e-11,-6.227983251264205e-11,2.0029699635048796e-06,0.0,0.0,0.012,2.0051569466507777e-07,1.4547226727642762e-07,-8.40889864784702e-15,0.6750083561488588,-0.6749924637572141,0.674978900100809,-0.6749947924926148
0.008,8.687192945477173e-11,-1.1896031658356222e-10,3.646318235682423e-06,0.0,0.0,0.016,3.5605432238719154e-07,2.6048791938514884e-07,-4.191648628142212e-14,0.8909799969080107,-0.890952138343666,0.8909282055754935,-0.8909560641406351
0.01,1.49417133258487e-10,-2.0295345235302382e-10,7.156625156766518e-06,0.0,0.0,0.02,5.560619810064292e-07,4.11010061315672e-07,-1.1104910443564905e-13,1.1025414586595896,-1.1024984988788138,1.1024612742960695,-1.102504234078945
0.012,2.399221678909488e-10,-3.231174944720975e-10,1.3603596683495988e-05,0.0,0.0,0.024,8.006497733170849e-07,5.987829615575692e-07,-2.36634173572915e-13,1.3097395573094543,-1.3096784674043787,1.3096249889133698,-1.309686078822899
0.014,3.6747934141694743e-10,-4.907034038520421e-10,2.4080158229624674e-05,0.0,0.0,0.028000000000000004,1.0899937898971838e-06,8.255970509352556e-07,-4.482763386854515e-13,1.5126183666780613,-1.5125362123105894,1.5124634741140492,-1.512545628489923
0.016,5.433311686506071e-10,-7.195795273037644e-10,3.97108096219183e-05,0.0,0.0,0.032,1.4244881771510584e-06,1.093174485223023e-06,-7.777172988844448e-13,1.711218799318875,-1.711112717303454,1.7110176766613936,-1.711123758691334
0.018000000000000002,7.810777407757765e-10,-1.0264871309807333e-09,6.166328617852617e-05,0.0,0.0,0.036000000000000004,1.804894676788476e-06,1.4030395629342154e-06,-1.2620095575917497e-12,1.9055780073090145,-1.9054451710924318,1.9053247670955684,-1.9054576033356228
0.02,1.0968918164010403e-09,-1.4313199317448588e-09,9.115262493887716e-05,0.0,0.0,0.04,2.2324650549347215e-06,1.7563809427939013e-06,-1.9447599954996765e-12,2.0957292294703067,-2.0955668061217,2.095417990704709,-2.095580414089352
0.022,1.509739327902638e-09,-1.9574303221805404e-09,0.0001294408668060923,0.0,0.0,0.044,2.7090302690479694e-06,2.1539329476414187e-06,-2.8749883397224084e-12,2.2817018910573883,-2.281506992764188,2.281326771580084,-2.281521669926367
0.024,2.0416075224540472e-09,-2.6319694346819797e-09,0.0001778356091665149,0.0,0.0,0.048,3.237050880268869e-06,2.595908280052905e-06,-4.11287930079786e-12,2.4635217677903167,-2.4632914011785685,2.463076878986196,-2.4633072456736205
0.026000000000000002,2.7177448108352956e-09,-3.4862688908830815e-09,0.00023768888311346897,0.0,0.0,0.052000000000000005,3.819619439998911e-06,3.08201071406458e-06,-5.73199407342277e-12,2.6412111297547805,-2.64094214697411,2.6406905697146374,-2.6409595526004273
0.028,3.5669151431897476e-09,-4.5562681268292126e-09,0.00031039634451943447,0.0,0.0,0.05600000000000001,4.460401546708726e-06,3.6115437331233816e-06,-7.825066447476717e-12,2.814788866655965,-2.814477923089178,2.814186707673938,-2.814497651383783
0.03,4.621651611879387e-09,-5.882957695299221e-09,0.0003973966902257739,0.0,0.0,0.06,5.163506552032323e-06,4.183599842938818e-06,-1.0497685871690861e-11,2.984270594181289,-2.9839141180715094,2.983580862873805,-2.9839373391749433
0.032,5.918536172447853e-09,-7.512875387427244e-09,0.0005001710758548923,0.0,0.0,0.064,5.9332770569279545e-06,4.797312898690666e-06,-1.3872897699137589e-11,3.1496687617355015,-3.1492629419405773,3.1488854127041064,-3.1492912327512093
0.034,7.498514324078707e-09,-9.498663712578017e-09,0.0006202425334012009,0.0,0.0,0.068,6.773952772474897e-06,5.452169731108647e-06,-1.8091981509217958e-11,3.3109927589523367,-3.310533560193395,3.31010964701016,-3.310568846097099
0.036000000000000004,9.407168114059255e-09,-1.1899525229391825e-08,0.0007591755145480175,0.0,0.0,0.07200000000000001,7.689316213678892e-06,6.148247427843046e-06,-2.3314088159735384e-11,3.468248993900463,-3.467732199875703,3.467259853394452,-3.4677766478408016
0.038,1.169511992354053e-08,-1.4781853722936639e-08,0.000918575278528435,0.0,0.0,0.076,8.68217745589863e-06,6.8864972452376776e-06,-2.971487873408163e-11,3.6214409958776175,-3.6208622919541122,3.6203394358984697,-3.6209181403579773
0.04,1.4418425054323216e-08,-1.8219725304860276e-08,0.0011000874368744373,0.0,0.0,0.08,9.753998703481428e-06,7.668866856447557e-06,-3.7476050627814075e-11,3.770569489732838,-3.7699245723295456,3.7693490083422234,-3.7699939264198545
0.042,1.7638703995454558e-08,-2.2295068333117363e-08,0.0013053973304608805,0.0,0.0,0.084,1.0904631303110498e-05,8.498287174587498e-06,2.6723109834738184e-11,3.9156324368633255,-3.914917141922313,3.9142864582655745,-3.915001752637428
