metric,value
generated_at,2026-08-01T06:08:18
raw_file,Results\control_platform\phase2_full_48_climbpath\g3_repair\catalog_missing_formal_runners_20260801\runs\fixed_awff_l1_residual\raw\fixed_awff_l1_residual.csv
scene_id,g3_fixed_awff_l1_residual
controller_id,fixed_awff_l1_residual
row_count,25001
duration_s,50.0
sample_rate_hz,500.0
position_rmse_m,4939.978295685661
x_rmse_m,3336.4512703522664
y_rmse_m,3642.978062331362
z_rmse_m,13.759352549914723
xy_rmse_m,4939.959133642991
max_position_error_m,10628.468304322492
steady_state_error_m,8838.785094350611
tail_rmse_m,9729.815903463888
terminal_position_error_m,10628.468304322492
settling_time_s,nan
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,1741.6402955735996
disturbance_recovery_time_s,nan
overshoot_x_pct,71793.06357413705
overshoot_y_pct,78371.98080697651
overshoot_z_pct,0.0
overshoot_max_pct,78371.98080697651
roll_rmse_rad,0.8152422365463884
pitch_rmse_rad,1.8707723813566195
yaw_rmse_rad,1.8149676969892958
max_tilt_rad,3.246014440791124
minimum_altitude_m,-0.0007766766906736709
altitude_violation_count,25001
tilt_violation_count,16863
constraint_violation_count,41864
constraint_violation_rate_hz,837.28
altitude_violation_rate_hz,500.02
tilt_violation_rate_hz,337.26
control_energy,60136.682963504
control_energy_per_second,1202.73365927008
control_smoothness,1493743308.6436315
control_smoothness_per_second,29874866.17287263
control_command_min,-20.0
control_command_max,20.0
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
scenario_metric_context,{}
overshoot_percent_x,nan
overshoot_percent_y,nan
step_response_time_s,nan
step_response_evaluation_end_s,nan
step_response_settling_fraction,nan
disturbance_window_rmse_m,nan
fault_start_s,nan
pre_fault_rmse_m,nan
post_fault_rmse_m,nan
post_fault_peak_error_m,nan
tracking_score,0.0
robustness_score,0.0
safety_score,0.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,0.0
total_health_score,0.0
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_50s_reexport
metrics_profile,standard_tracking
