metric,value
generated_at,2026-08-01T06:01:03
raw_file,Results\control_platform\phase2_full_48_climbpath\g3_repair\catalog_missing_formal_runners_20260801\runs\fixed_linear_mpc_l1_indi\raw\fixed_linear_mpc_l1_indi.csv
scene_id,g3_fixed_linear_mpc_l1_indi
controller_id,fixed_linear_mpc_l1_indi
row_count,25001
duration_s,50.0
sample_rate_hz,500.0
position_rmse_m,0.13489374571846877
x_rmse_m,0.08783700761173813
y_rmse_m,0.08835467421553982
z_rmse_m,0.05171493277613525
xy_rmse_m,0.12458687074454802
max_position_error_m,0.6003568533908207
steady_state_error_m,0.07099820837656366
tail_rmse_m,0.006490299232161101
terminal_position_error_m,0.0004726003753151066
settling_time_s,0.514
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.06484136365917706
disturbance_recovery_time_s,2.6419999999999995
overshoot_x_pct,4.227775594638725
overshoot_y_pct,4.217195965233564
overshoot_z_pct,1.906106728861019
overshoot_max_pct,4.227775594638725
roll_rmse_rad,0.027555865410166896
pitch_rmse_rad,0.027535606805313584
yaw_rmse_rad,0.0012080645524041808
max_tilt_rad,0.27998760603277045
minimum_altitude_m,0.0
altitude_violation_count,87
tilt_violation_count,0
constraint_violation_count,87
constraint_violation_rate_hz,1.74
altitude_violation_rate_hz,1.74
tilt_violation_rate_hz,0.0
control_energy,165.14150330943036
control_energy_per_second,3.302830066188607
control_smoothness,12231.213114633672
control_smoothness_per_second,244.62426229267345
control_command_min,-7.599367021858288
control_command_max,7.598167172399749
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
scenario_metric_context,{}
overshoot_percent_x,nan
overshoot_percent_y,nan
step_response_time_s,nan
step_response_evaluation_end_s,nan
step_response_settling_fraction,nan
disturbance_window_rmse_m,nan
fault_start_s,nan
pre_fault_rmse_m,nan
post_fault_rmse_m,nan
post_fault_peak_error_m,nan
tracking_score,98.08282859537773
robustness_score,100.0
safety_score,35.0
energy_score,7.882574628520772
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,65.71310604146541
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_native_result_export
metrics_profile,standard_tracking
