metric,value
generated_at,2026-07-29T10:40:32
raw_file,C:\Users\HP\Desktop\MoSim\Results\control_platform\phase2_full_48_climbpath\g3_repair\t1_official_pid_continuous_command\runs\10s\official_pid\raw\result.csv
scene_id,climb_path_10s
controller_id,official_pid
row_count,5001
duration_s,10.0
sample_rate_hz,500.0
position_rmse_m,0.09599638447966838
x_rmse_m,0.000723500062200306
y_rmse_m,0.0009336148055824716
z_rmse_m,0.0959891178427175
xy_rmse_m,0.0011811388340100596
max_position_error_m,0.3368854085638128
steady_state_error_m,0.08108452014893475
tail_rmse_m,0.1181953997320435
terminal_position_error_m,0.0021080721576982107
settling_time_s,0.5740000000000001
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,nan
disturbance_recovery_time_s,nan
overshoot_x_pct,nan
overshoot_y_pct,nan
overshoot_z_pct,3.3688360909725112
overshoot_max_pct,3.3688360909725112
roll_rmse_rad,5.138189282544506e-05
pitch_rmse_rad,3.980742856001934e-05
yaw_rmse_rad,2.363218742157233e-05
max_tilt_rad,0.00027815369907051036
minimum_altitude_m,-4.435369127174206e-17
altitude_violation_count,74
tilt_violation_count,0
constraint_violation_count,74
constraint_violation_rate_hz,7.4
altitude_violation_rate_hz,7.4
tilt_violation_rate_hz,0.0
control_energy,167099.89997755317
control_energy_per_second,16709.989997755318
control_smoothness,74483200.98689157
control_smoothness_per_second,7448320.098689157
control_command_min,-122.02968639974424
control_command_max,122.03582360531746
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
overshoot_percent_x,nan
overshoot_percent_y,nan
step_response_time_s,nan
step_response_evaluation_end_s,nan
step_response_settling_fraction,nan
disturbance_window_rmse_m,nan
fault_start_s,nan
pre_fault_rmse_m,nan
post_fault_rmse_m,nan
post_fault_peak_error_m,nan
tracking_score,99.7645612219331
robustness_score,100.0
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,65.42936836657992
source,MWORKS_MCP
evidence_level,formal_mworks_t1_rotor_command_harness_regression_v1
metrics_profile,standard_tracking
