metric,value
generated_at,2026-07-28T15:45:11
raw_file,C:\Users\HP\Desktop\MoSim\Results\control_platform\px4ctrl_graphical_completion_20260728\raw\result.csv
scene_id,climb_path_50s
controller_id,px4ctrl
row_count,5001
duration_s,50.0
sample_rate_hz,100.0
position_rmse_m,0.2767051806342208
x_rmse_m,0.09159835016713198
y_rmse_m,0.09666396524746823
z_rmse_m,0.24255221511895633
xy_rmse_m,0.13316974104767298
max_position_error_m,0.8713945479726992
steady_state_error_m,0.07527801188549836
tail_rmse_m,0.0035117996483913587
terminal_position_error_m,0.0027337736404627533
settling_time_s,2.48
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.3791380421797429
disturbance_recovery_time_s,2.830000000000002
overshoot_x_pct,4.207540143952517
overshoot_y_pct,4.32053646912868
overshoot_z_pct,5.187838965388766
overshoot_max_pct,5.187838965388766
roll_rmse_rad,0.026868396828496913
pitch_rmse_rad,0.027637573489147468
yaw_rmse_rad,0.06063056543804742
max_tilt_rad,0.3022750047800026
minimum_altitude_m,0.0
altitude_violation_count,26
tilt_violation_count,0
constraint_violation_count,26
constraint_violation_rate_hz,0.52
altitude_violation_rate_hz,0.52
tilt_violation_rate_hz,0.0
control_energy,833942.3614581836
control_energy_per_second,16678.84722916367
control_smoothness,190325.4949236766
control_smoothness_per_second,3806.509898473532
control_command_min,-74.97880396669527
control_command_max,79.76937532146766
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
overshoot_percent_x,nan
overshoot_percent_y,nan
step_response_time_s,nan
step_response_evaluation_end_s,nan
step_response_settling_fraction,nan
disturbance_window_rmse_m,nan
fault_start_s,nan
pre_fault_rmse_m,nan
post_fault_rmse_m,nan
post_fault_peak_error_m,nan
tracking_score,92.92833641615564
robustness_score,96.3076923076923
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,62.45542400176977
source,MWORKS_MCP
evidence_level,runner_boundary_baseline
metrics_profile,standard_tracking
