time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,plant_gust_force_x_N,plant_gust_force_y_N,plant_gust_force_z_N,plant_mass_kg,controller_nominal_mass_kg,fault_effectiveness_1,fault_effectiveness_2,fault_effectiveness_3,fault_effectiveness_4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,64.7923778389665,-64.7923778389665,64.7923778389665,-64.7923778389665,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,3.7730110011369055e-11,-4.8684013811777944e-11,5.461089935620871e-06,0.0,0.0,0.004,5.826526097500202e-07,4.515557473380751e-07,-1.3149095792533405e-13,69.6182614725899,-69.61780951098956,69.61745924076939,-69.61791120237201,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.02,6.341410841419635e-10,-8.182466566984752e-10,6.474319072038186e-05,0.0,0.0,0.008,2.3685642909353674e-06,1.8356366746423382e-06,-2.187397208015918e-12,71.41741994057386,-71.41594505057294,71.41480201128894,-71.41627690132808,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.03,3.3685108222179726e-09,-4.346467044341397e-09,0.00024909055154762565,0.0,0.0,0.012,5.390938402736581e-06,4.177973184816263e-06,-1.1503863607839977e-11,72.01732902884078,-72.01452284924058,72.0123480626438,-72.01515424244495,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.04,1.1053152363169332e-08,-1.4262141909341102e-08,0.0006114342976165564,0.0,0.0,0.016,9.619025006834406e-06,7.454730090814664e-06,-3.743493882150205e-11,72.1111893676418,-72.10687915513132,72.10353874851975,-72.10784896168418,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.05,2.770554285213103e-08,-3.5749129539250975e-08,0.0011815596867688883,0.0,0.0,0.02,1.4961288662932653e-05,1.1594962174217917e-05,-9.307899424978019e-11,71.98246184797166,-71.97656549707341,71.97199584362178,-71.97789219614604,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.06,5.837604368321364e-08,-7.532406084968202e-08,0.0019725874477984117,0.0,0.0,0.024,2.128542494754133e-05,1.6496127918500597e-05,-1.998989985430026e-10,71.75319466668242,-71.74569544908752,71.73988359008233,-71.74738281116926,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.07,1.0899812162482536e-07,-1.4064308380247553e-07,0.002987253043154493,0.0,0.0,0.028000000000000004,2.8457101880415405e-05,2.2054119200754775e-05,-4.84242286922079e-10,71.47983744014627,-71.47074863313176,71.46370485962159,-71.47279367509529,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.08,1.8615372276317995e-07,-2.401991224857037e-07,0.004223259311155077,0.0,0.0,0.032,3.6366705026857e-05,2.818398127906386e-05,-9.657048930417738e-10,71.1877810220079,-71.1771209124235,71.16885939903837,-71.17951952549262,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.09,2.9685641332460186e-07,-3.8304206125459934e-07,0.005676229394599637,0.0,0.0,0.036,4.489085972288264e-05,3.4790093677287536e-05,-1.6238797776081591e-09,70.88873698686065,-70.87654495079069,70.86709621814809,-70.87928828258552,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
