time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,plant_gust_force_x_N,plant_gust_force_y_N,plant_gust_force_z_N,plant_mass_kg,controller_nominal_mass_kg,fault_effectiveness_1,fault_effectiveness_2,fault_effectiveness_3,fault_effectiveness_4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,64.7923778389665,-64.7923778389665,64.7923778389665,-64.7923778389665,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,6.642833517430703e-11,-8.57139808701317e-11,-4.435369127173437e-17,0.0,0.0,0.004,5.764717459301214e-07,4.4676560309569445e-07,-1.2877387361905201e-13,64.7923778389665,-64.7923778389665,64.7923778389665,-64.7923778389665,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.02,6.500390553246222e-10,-8.387600713868322e-10,-6.8719355557595285e-16,0.0,0.0,0.008,2.3070085690874406e-06,1.7879316410389313e-06,-2.0623868084111427e-12,67.65714666736636,-67.65689763657824,67.65670463771544,-67.65695366850582,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.03,3.0859687917836074e-09,-3.981895223547561e-09,9.680429879176583e-06,0.0,0.0,0.012,5.200154643678996e-06,4.0301197313962465e-06,-1.0479575159375032e-11,68.81458169516912,-68.81370685721122,68.81302885776188,-68.8139036957558,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.04,9.778908560368832e-09,-1.2617946793367762e-08,6.955141079032438e-05,0.0,0.0,0.016,9.28631780735427e-06,7.196895199166431e-06,-3.344338647673827e-11,69.3290805167779,-69.32737102674173,69.32604617185208,-69.32775566207133,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.05,2.42851805176762e-08,-3.133571916360176e-08,0.00021980423117435533,0.0,0.0,0.02,1.457060799941216e-05,1.1292216403285002e-05,-8.251461449823916e-11,69.58743078077025,-69.58472594097552,69.5826296900685,-69.58533453044744,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.06,5.129804257886243e-08,-6.619103463451266e-08,0.0004884733992694504,0.0,0.0,0.024,2.1019190183297275e-05,1.6289858274923113e-05,-1.7243135457105555e-10,69.70987472764692,-69.70605157575281,69.7030886335876,-69.70691178692314,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.07,9.659879389189129e-08,-1.2464364808348575e-07,0.0008930012860264213,0.0,0.0,0.028000000000000004,2.8566247749591015e-05,2.2138809162302148e-05,-3.2048768717072663e-10,69.76803613447868,-69.7629943177392,69.75908691208907,-69.76412873184073,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.08,1.6691637110603876e-07,-2.1537608634054182e-07,0.0014434269751656442,0.0,0.0,0.032,3.711989150407995e-05,2.8767850531464273e-05,-5.456534857526777e-10,69.78338583915178,-69.77705965031922,69.77215685978436,-69.7784830542155,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.09,2.6987349579359517e-07,-3.482241675462089e-07,0.002145373790598455,0.0,0.0,0.036,4.657121006009602e-05,3.6092571221904446e-05,-8.676887900080934e-10,69.77416868191288,-69.76651842353475,69.76058948481015,-69.76823975272028,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.1,4.138518300116879e-07,-5.340030153079467e-07,0.0030016296221162995,0.0,0.0,0.04,5.679847439178307e-05,4.401862621182756e-05,-1.3061696815982007e-09,69.74929534796334,-69.7403061291375,69.73333950441356,-69.74232873839702,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.11,6.07882975397853e-07,-7.843663448680063e-07,0.00401326657858307,0.0,0.0,0.044,6.767674277745232e-05,5.2450048255519996e-05,-5.621587901351627e-09,69.7138780893369,-69.70355782979604,69.69555965981749,-69.70587994217578,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.12,8.615401015670239e-07,-1.1116651559085674e-06,0.005180359712920251,0.0,0.0,0.048,7.909712779022119e-05,6.130476014865417e-05,-2.3815944056700526e-08,69.67075821640753,-69.65913366667519,69.65012425238936,-69.66174890032492,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.13,1.1848509066580293e-06,-1.5288327937983621e-06,0.00650251247279213,0.0,0.0,0.052000000000000005,9.096543203490456e-05,7.050918320539186e-05,-5.344502320585851e-08,69.62157480980837,-69.6086816985062,69.59868732772568,-69.61158085506734,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.14,1.5882079086051947e-06,-2.0492695737566216e-06,0.007978983528447645,0.0,0.0,0.05600000000000001,0.00010317797581699113,7.998208058842129e-05,-9.080144192745035e-08,69.56724040440263,-69.55311897409352,69.5421702859929,-69.55629264993036,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.15,2.0823252305569743e-06,-2.686788251340029e-06,0.009608761998286423,0.0,0.0,0.06,0.0001156216340168498,8.963513554532893e-05,-1.3339358165188706e-07,69.49863922252189,-69.48338856474443,69.47156234842684,-69.48681459241,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.16,2.677973827961265e-06,-3.4552734940484308e-06,0.011390513615258795,0.0,0.0,0.064,0.0001281795469599335,9.93772884543462e-05,-1.7955394260967427e-07,69.43228684482152,-69.41594983973033,69.40327946584149,-69.41961880117826,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.17,3.38601938051775e-06,-4.368731386418947e-06,0.01332264289630451,0.0,0.0,0.068,0.00014073423888194775,0.00010911710189809952,-2.281498489487036e-07,69.3644856970511,-69.34713785729507,69.33368203731706,-69.35103301369162,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.18,4.217272178668825e-06,-5.441096356876836e-06,0.015403353290276957,0.0,0.0,0.072,0.00015317011260143523,0.00011876466992644811,-2.784103514666192e-07,69.29406898113248,-69.27580435411929,69.26163617916654,-69.27990479171768,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.19,5.182422385246086e-06,-6.686148081556838e-06,0.017630722757044123,0.0,0.0,0.076,0.00016537523002542074,0.00012823298104445093,-3.298046945680121e-07,69.2176401296207,-69.1985978369054,69.1838253447572,-69.20287250100856,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.2,6.291836757395032e-06,-8.117249666295005e-06,0.02000266325576516,0.0,0.0,0.08,0.00017724401923786975,0.0001374400063058526,-3.819626290996768e-07,69.14060189670846,-69.12087803525057,69.10557590146902,-69.12530552426809,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.21,7.555564502508515e-06,-9.747355417897673e-06,0.022516973307506277,0.0,0.0,0.08399999999999999,0.0001886789508648851,0.00014630998979688121,-4.346191907177923e-07,69.06163237416919,-69.04134471463796,69.02560441288162,-69.04589874489828,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.22,8.983222068700117e-06,-1.1588862460013883e-05,0.02517134705161637,0.0,0.0,0.088,0.00019959169167902473,0.0001547743374759857,-4.875796995050368e-07,68.98035379729154,-68.95962924466613,68.94354932451837,-68.96428146948396,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.23,1.0583918739852722e-05,-1.36535149172829e-05,0.027963391647409755,0.0,0.0,0.092,0.00020990402896515567,0.00016277232944485087,-5.406961523299419e-07,68.89672892091554,-68.87569845084816,68.85938061103133,-68.88041959860328,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
