time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,plant_gust_force_x_N,plant_gust_force_y_N,plant_gust_force_z_N,plant_mass_kg,controller_nominal_mass_kg,fault_effectiveness_1,fault_effectiveness_2,fault_effectiveness_3,fault_effectiveness_4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,64.7923778389665,-64.7923778389665,64.7923778389665,-64.7923778389665,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,4.240808704470704e-11,-5.472011336337055e-11,2.795558659103578e-05,0.0,0.0,0.02,6.091365657487172e-07,4.7208081097740175e-07,-1.436609371536291e-13,88.92081127455792,-88.92033675406802,88.91996900071034,-88.92044352120274,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.02,8.726377988124263e-10,-1.125984408371548e-09,0.00034345437587654076,0.0,0.0,0.04,2.693387324908955e-06,2.0873743829815665e-06,-2.8278401080595126e-12,97.88728384600014,-97.88557211849293,97.88424553024717,-97.8859572578038,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.03,5.576167185715662e-09,-7.195057335364389e-09,0.001362004223039274,0.0,0.0,0.06,6.667083131549198e-06,5.1669838881306004e-06,-1.754047020250568e-11,100.77091776073942,-100.76730779516299,100.76451007540354,-100.76812004128638,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.04,2.115117122239756e-08,-2.729185677271899e-08,0.003417511523591616,0.0,0.0,0.08,1.2757829903460201e-05,9.887296843933776e-06,-6.538712896818122e-11,101.01405361869163,-101.00801822458219,101.00334080642635,-101.00937620167804,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.05,5.901722207202604e-08,-7.615136397594973e-08,0.0067046655321290945,0.0,0.0,0.1,2.0935799995539166e-05,1.6225186101587047e-05,-1.802123843413725e-10,100.04075773938817,-100.03197031384215,100.02516008952585,-100.03394751821997,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.06,1.3439351277902092e-07,-1.734113638431767e-07,0.011302810720166959,0.0,0.0,0.12,3.096664201604119e-05,2.3999016405146154e-05,-4.2035795474105667e-10,98.50875034603675,-98.49709222410223,98.48805724061769,-98.49971536989543,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.07,2.651836288449832e-07,-3.4217347452222197e-07,0.017219631274523615,0.0,0.0,0.14,4.257027223578956e-05,3.299171200863752e-05,-9.003069210101546e-10,96.73753268120313,-96.72300068058206,96.71173848287052,-96.72627049921903,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.08,4.711040797620264e-07,-6.078786979517137e-07,0.02442918851942566,0.0,0.0,0.16,5.5457705202562464e-05,4.297930099630224e-05,-1.646374666753775e-09,94.88115619325241,-94.86382042123518,94.85038535275663,-94.8677211535343,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.09,7.729506005801115e-07,-9.973607192446632e-07,0.03288869867634876,0.0,0.0,0.18,6.92841925604518e-05,5.369459515747339e-05,-2.6764486381064363e-09,93.0200039827156,-93.00002355717297,92.98453894474143,-93.00451941703881,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
