time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,plant_gust_force_x_N,plant_gust_force_y_N,plant_gust_force_z_N,plant_mass_kg,controller_nominal_mass_kg,fault_effectiveness_1,fault_effectiveness_2,fault_effectiveness_3,fault_effectiveness_4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,64.7923778389665,-64.7923778389665,64.7923778389665,-64.7923778389665,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.01,2.9460776461652385e-11,-3.801390572314795e-11,-5.8384679548188305e-05,0.0,0.0,0.02,5.077512599255556e-07,3.935072073192517e-07,-9.983265268186143e-14,89.04240050350292,-89.04200500417147,89.04169849220492,-89.0420939915381,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.02,6.073218176598611e-10,-7.836411432488481e-10,-3.945268927096336e-05,0.0,0.0,0.04,2.248436108726642e-06,1.7425374321171968e-06,-1.9685200954436067e-12,98.31577210840186,-98.31434346621526,98.31323626891866,-98.31466491113963,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.03,3.895203237595093e-09,-5.026070386430578e-09,0.00040798554251403395,0.0,0.0,0.06,5.5832535519101e-06,4.3270176406971164e-06,-1.2262763566108694e-11,101.65659309551563,-101.65357012953805,101.65122733338848,-101.6542502995803,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.04,1.4857618238128555e-08,-1.9171133776212052e-08,0.0015729066276454226,0.0,0.0,0.08,1.073607877419826e-05,8.320446114032483e-06,-4.601693990533137e-11,102.47031206242511,-102.46523011731499,102.46129161844986,-102.46637356436386,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.05,4.175925965568695e-08,-5.3882980677622904e-08,0.003634043286986245,0.0,0.0,0.1,1.7732931308102135e-05,1.3742980280923956e-05,-1.2793587233667222e-10,102.13366089089023,-102.12620405306095,102.12042502521443,-102.12788186527861,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.06,9.591827297920101e-08,-1.2376574082014784e-07,0.0066781806862421435,0.0,0.0,0.12,2.643510683271768e-05,2.048711465535934e-05,-2.9083053094230394e-10,101.259376127824,-101.24938798127955,101.2416472112676,-101.25163536289253,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.07,1.910629644264205e-07,-2.4653349390920955e-07,0.010731814715548045,0.0,0.0,0.14,3.661371559390107e-05,2.837544996672384e-05,-6.191663612931552e-10,100.140064206809,-100.12751192539181,100.11778398251417,-100.13033627474752,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.08,3.4268766091871755e-07,-4.421791423785727e-07,0.015789693431886128,0.0,0.0,0.16,4.8061085347243324e-05,3.7247033333274066e-05,-1.189216389956287e-09,98.91644857557219,-98.90134410662569,98.8896382578904,-98.90474274761127,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.09,5.675802013264013e-07,-7.323647332673748e-07,0.021832103256088708,0.0,0.0,0.18,6.054242381193687e-05,4.691989428701204e-05,-2.007061386520692e-09,97.65836606290623,-97.64077378744808,97.62713993599351,-97.6447322465129,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
