time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,plant_gust_force_x_N,plant_gust_force_y_N,plant_gust_force_z_N,plant_mass_kg,controller_nominal_mass_kg,fault_effectiveness_1,fault_effectiveness_2,fault_effectiveness_3,fault_effectiveness_4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,64.7923778389665,-64.7923778389665,64.7923778389665,-64.7923778389665,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,6.642833517430703e-11,-8.57139808701317e-11,-4.435369127173437e-17,-6.749994937493842e-06,0.004499993250003038,0.0015,5.764717459301214e-07,4.4676560309569445e-07,-1.2877387361905201e-13,64.7923778389665,-64.7923778389665,64.7923778389665,-64.7923778389665,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.02,6.436992143965828e-10,-8.30579631479684e-10,-6.63656125231142e-16,-2.699991900007026e-05,0.0089999460000972,0.003,2.3071814658745366e-06,1.7880656360489339e-06,-2.0626959476310854e-12,66.81101623378908,-64.93555897646597,64.93255238658374,-66.80800964390909,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.03,3.055158565523544e-09,-2.877320319111442e-09,3.6197534240650065e-06,-6.074958993868007e-05,0.013499817750738111,0.0045,-1.4701940690479847e-05,3.9947808744578e-06,-5.565799438812197e-11,64.76932014670354,-67.84043221743205,67.83884150312821,-64.76772943243571,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.04,9.533946213564896e-09,1.5487312957662675e-08,2.687223706803875e-05,-0.00010799870400629574,0.01799956800311039,0.006,-7.853609046386426e-05,6.975672898523711e-06,-3.546334665247208e-10,63.02253700521061,-69.95777872182445,69.97060279744733,-63.035361081805775,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.05,2.3206515072838777e-08,1.042109148576612e-07,8.875711412912006e-05,-0.00016874683596124207,0.022499156259492135,0.0075,-2.0419749752893307e-05,1.0848094396833488e-05,-3.0620096278335546e-08,62.00543495923986,-71.13659027485586,71.17300838767645,-62.04185307825551,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.06,4.825963924309879e-08,1.8131490466196713e-07,0.00020583999630591695,-0.0002429934390708599,0.026998542023619412,0.009,0.00041186965214461553,1.6310851568518142e-05,-2.4508475507552237e-07,61.53489873449416,-71.66374891050258,71.72828286575708,-61.59943322464955,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.07,9.064530000357026e-08,-2.263258409649694e-07,0.0003888858916295741,-0.0003307378451161691,0.03149768480105073,0.0105,0.0014475105305470953,2.4760898957398443e-05,-9.319200423220629e-07,61.41593542952767,-71.77654907049063,71.87048072327421,-61.50987136368417,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.08,1.595018856766923e-07,-2.224208945547895e-06,0.0006428394246083629,-0.0004319792643981968,0.03599654409953143,0.012,0.0032539011189486465,3.817270470803969e-05,-2.4646792211585262e-06,61.49449984252865,-71.65071898911546,71.77429670975664,-61.618093842832906,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.09,2.691554783223644e-07,-7.721715249201154e-06,0.0009683291815046699,-0.0005467167857446387,0.040495079429358226,0.0135,0.005932782207181157,5.8892783815478856e-05,-5.244555228989702e-06,61.70940588240553,-71.36489185426801,71.51704354690334,-61.861600630394875,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.1,4.4150349457666813e-07,-1.9529323214030575e-05,0.0013634907926032497,-0.0006749493765186854,0.04499325030374349,0.015,0.009532134574619867,8.933474973542291e-05,-9.557255929675497e-06,62.019011073591486,-70.97296273389082,71.15200173629567,-62.198141692860766,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.11,7.084671936504259e-07,-4.1402326703922244e-05,0.00182566087675496,-0.0008166758826280152,0.04949101623917973,0.0165,0.01406113909848943,0.00013178396321143868,-1.5246956377397467e-05,62.39891803091569,-70.50761134983821,70.71144000447391,-62.6029136407616,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.12,1.1144934426943953e-06,-7.805457370036706e-05,0.0023526970024768472,-0.000971895028534786,0.053988336755803876,0.018,0.01950005733105915,0.00018902588049951455,-2.188152554362408e-05,62.83621813424535,-69.98648215502881,70.2125688096159,-63.06257113712589,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.13,1.7195547641891656e-06,-0.0001351561291833066,0.0029435115646054984,-0.0011406054172679592,0.058485171377761644,0.0195,0.025802095769907683,0.0002637313243583988,-2.9270033447025517e-05,63.325220346375836,-69.41772546391537,69.6626259268823,-63.57050305658232,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.14,2.60166613892378e-06,-0.00021926006180259677,0.0035974014114547917,-0.0013228055304351227,0.06298147963357179,0.021,0.03289936149347967,0.0003582881084262354,-3.746185515246334e-05,63.82425510829582,-68.83845570000584,69.10025100843717,-64.08656173342966,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.15,3.859604623211285e-06,-0.0003377540676566304,0.004313700011757141,-0.0015184937282363142,0.06747722105649034,0.0225,0.04070953967922172,0.0004748353752239286,-4.664148185341641e-05,64.34996723759068,-68.23449603277403,68.50938849226502,-64.62551411629445,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.16,5.6148880191647065e-06,-0.0004987516403995799,0.0050915278273096784,-0.0017276682494793416,0.07197235518487488,0.024,0.04914024690430192,0.0006152744329679693,-5.705899828562918e-05,64.88611983543767,-67.62116637807945,67.9056787555367,-65.17144699053242,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.17,8.013698838380433e-06,-0.0007109935952211357,0.005929778186783656,-0.0019503272115947712,0.07646684156254857,0.025500000000000002,0.058091666413734776,0.0007812328346776321,-6.899502010301685e-05,65.42205670841379,-67.00912306426086,67.29987283184654,-65.71380323669347,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.18,1.1228476616738369e-05,-0.0009837389349612443,0.006827115424102847,-0.0021864686106534137,0.08096063973916433,0.027,0.06745883486584442,0.0009740378032383831,-8.273294856177937e-05,65.94924951175187,-66.40721290059346,66.7008791453314,-66.24412102693246,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.19,1.5459185628017324e-05,-0.0013266508602760214,0.007781981875565983,-0.00243609032138431,0.08545370927056892,0.028499999999999998,0.07713387492759301,0.0011947043827795114,-9.853594430704847e-05,66.46019561756825,-65.82335089312247,66.11669928476755,-66.75498926681865,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.2,2.093425287325966e-05,-0.001749680767472521,0.008792614402605762,-0.0026991900971937155,0.08994600971916689,0.03,0.08700801188927815,0.0014439310317773102,-0.00011662792348133024,66.94813516440831,-65.26471726528676,65.55463724499474,-67.23977646343808,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.21,2.7911174210828585e-05,-0.0022629523695985357,0.009857064755210256,-0.0029757655701855845,0.09443750065428452,0.0315,0.09697338260177187,0.0017221011341590916,-0.0001371775983822271,67.4069892261443,-64.73777822414583,65.02132027305476,-67.69256864222477,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.22,3.667678973094715e-05,-0.0028766476897548214,0.010973220039696927,-0.0032658142511823862,0.09892814165253375,0.033,0.10692466350773923,0.002029289905683867,-0.00016028514234190096,67.83136137989213,-64.24826642545567,64.52267606729276,-68.10816737011022,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.23,4.754723339087032e-05,-0.0036008964571838634,0.012138821783750942,-0.00356933352974792,0.10341789229817586,0.0345,0.11676053484909893,0.0023652761652481627,-0.00018597148774948078,68.21655744666651,-63.80115673212549,64.06390424251477,-68.48210496992876,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.24,6.086756628239472e-05,-0.0044456702984252685,0.013351483436914436,-0.003886320674210797,0.1079067121834853,0.036,0.1263849886515609,0.0027295583258174117,-0.00021417047482445552,68.55860775496907,-63.40064652008906,63.6494519889273,-68.81066195012151,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.25,7.701110757538863e-05,-0.005420683014021809,0.014608706807050075,-0.004216772831688753,0.11239456090911351,0.0375,0.13570848247447811,0.0031213738906877247,-0.00024472412090114634,68.854285200683,-63.05014303749468,63.2829966814589,-69.09088017761019,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.26,9.637848206590012e-05,-0.006535298139938202,0.01590789818481271,-0.004560687028114796,0.11688139808445219,0.039,0.14464893834558876,0.0035397217242631525,-0.0002773812372089747,69.10111579028346,-62.752258590599496,62.96743634579943,-69.32056861851159,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
