time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,plant_gust_force_x_N,plant_gust_force_y_N,plant_gust_force_z_N,plant_mass_kg,controller_nominal_mass_kg,fault_effectiveness_1,fault_effectiveness_2,fault_effectiveness_3,fault_effectiveness_4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,64.7923778389665,-64.7923778389665,64.7923778389665,-64.7923778389665,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,1.250031613523697e-05,-5.4720079934880775e-11,2.7955587038983273e-05,0.0,0.0,0.02,6.091354997202265e-07,3.573233097985495e-07,-1.490749312812887e-13,88.95634480807024,-88.95587028851578,88.88443547107659,-88.88490999063366,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.02,5.000070797468749e-05,-1.1259803647089955e-09,0.00034345442195367153,0.0,0.0,0.04,2.693362242174967e-06,-6.206717246204827e-07,-3.7040273437113e-12,97.97049849445106,-97.96878678610543,97.80103075665747,-97.80274246506781,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.03,0.00011249859281302921,-7.1949918458966415e-09,0.001362004726787677,0.0,0.0,0.06,6.666942066724066e-06,-1.0164893520042482e-05,-2.708588964815757e-11,100.88660626867922,-100.88299639738315,100.64882027191587,-100.65243014368508,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.04,0.00019997206904223352,-2.7291416014538602e-08,0.003417513809453842,0.0,0.0,0.08,1.2757390615211214e-05,-3.8380247173099156e-05,-9.849496036815235e-11,101.14660495000302,-101.14056981399251,100.87078429232874,-100.87681943005984,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.05,0.0003123546578859619,-7.61495538459436e-08,0.0067046720719769965,0.0,0.0,0.1,2.093480937875613e-05,-9.435468773346028e-05,-2.2148432883448233e-10,100.17849141014588,-100.16970449858087,99.88741354145392,-99.89620045688804,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.06,0.0004495163232524167,-1.7340670178378175e-07,0.011302838821907281,0.0,0.0,0.12,3.096483558684403e-05,-0.0001841270504492738,-4.714009544036897e-10,98.64363760454525,-98.63198032005032,98.35315551546799,-98.36481280819781,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.07,0.0006112505481745874,-3.421612055407183e-07,0.017219673614227285,0.0,0.0,0.14,4.256736409134547e-05,-0.0003101781723812198,-1.240697973603289e-09,96.86440657893975,-96.84987578435647,96.58484531769429,-96.59937613395124,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.08,0.0007972651414419097,-6.078528702667346e-07,0.024429244609686547,0.0,0.0,0.16,5.545342768418881e-05,-0.00047277177847933013,-1.946139135141669e-09,94.99667131352682,-94.97933713974501,94.73480420240067,-94.75213841017947,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.09,0.0010072351482498768,-9.973071829156953e-07,0.03288876512715835,0.0,0.0,0.18,6.927839812674778e-05,-0.0006711055031871659,-1.9936886809390947e-09,93.12208725131998,-93.10210875228586,92.88255697566998,-92.90253550953175,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.1,0.001240750856710674,-1.5372255528215934e-06,0.0425408360962442,0.0,0.0,0.2,8.36656862979234e-05,-0.0009033195188505031,-9.543669127469686e-10,91.28807281395864,-91.26568696336754,91.0739749732657,-91.0963608405286,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.11,0.0014973445995408758,-2.253238961281913e-06,0.05331934599983057,0.0,0.0,0.22000000000000003,9.823237951565105e-05,-0.0011667510744179162,1.3955455594895333e-09,89.52166817550308,-89.4971724968822,89.33488608173062,-89.35938173597278,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.12,0.001776549659505094,-3.1692750261889245e-06,0.06515579881264914,0.0,0.0,0.24,0.00011261175550066569,-0.0014581862076492047,5.055647409546047e-09,87.83841609339173,-87.81214760815193,87.67982385275454,-87.7060922496775,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.13,0.0020778854177927555,-4.3068449470475775e-06,0.07798088887401297,0.0,0.0,0.26,0.0001264665149776442,-0.0017740466027546839,9.789684125475655e-09,86.2458189691045,-86.21813585936707,86.11545981363061,-86.14314275235256,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.14,0.0024008543657179932,-5.684581365574702e-06,0.09172592267618618,0.0,0.0,0.28,0.00013949819907133415,-0.0021105545985298847,1.5134459013669347e-08,84.74705778781387,-84.7183231129875,84.64427881280159,-84.67301322324487,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.15,0.002744952919335603,-7.318001125790025e-06,0.1063243920531737,0.0,0.0,0.3,0.0001514536559715285,-0.002463886863725595,2.0429012659776615e-08,83.34238861935984,-83.31295723892114,83.26597081924197,-83.2954018428073,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.16,0.00310968826445669,-9.21943851041984e-06,0.1217134160398142,0.0,0.0,0.32,0.00016212871612214237,-0.002830319198741519,2.48583843413026e-08,82.02986727258515,-82.00007643778092,81.97815582718246,-82.00794622773684,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.17,0.003494577216754206,-1.1398120522167274e-05,0.13783358713291846,0.0,0.0,0.34,0.00017136631814940949,-0.0032062907879572802,2.74881076239932e-08,80.80557791132432,-80.77574061719932,80.7766073286687,-80.80644414260537,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.18,0.003899154726156061,-1.3860329016435093e-05,0.1546294380079281,0.0,0.0,0.36,0.0001790546458649025,-0.0035884725995040207,2.7317225499608154e-08,79.6647456287155,-79.6351458748959,79.65633691472351,-79.6859361913399,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.19,0.004322977491627247,-1.6609486906356715e-05,0.17204964271353976,0.0,0.0,0.38,0.00018512579973180258,-0.003973837026745547,2.3334926268092505e-08,78.60200641841205,-78.5728970636082,78.61185919588725,-78.64096814305448,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.2,0.004765617494117642,-1.9646514205082188e-05,0.19004613099985854,0.0,0.0,0.4,0.00018954793879857976,-0.004359629792692289,1.4550004507231963e-08,77.61196062923759,-77.58356151193193,77.63771153113125,-77.66611039426363,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.21,0.005226668908631497,-2.2969918382347065e-05,0.20857459221841185,0.0,0.0,0.42000000000000004,0.00019232451442436035,-0.004743425877610424,5.272067999892089e-11,76.68929205801511,-76.66178997788384,76.72857382986362,-76.75607590907393,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.22,0.005705745220213233,-2.6576058671999663e-05,0.22759399437089478,0.0,0.0,0.44000000000000006,0.00019348870543681992,-0.0051231289581524465,-2.095763177944166e-08,75.82918748854783,-75.80273701665618,75.87966548830265,-75.90611632630207,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.23,0.006202480775960428,-3.045937849404875e-05,0.2470664319078283,0.0,0.0,0.4600000000000001,0.00019309931144944766,-0.005496940169129923,-4.9133090163865806e-08,75.02670167733093,-75.00142588654678,75.08611993679733,-75.1113965858849,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.24,0.006716530774278665,-3.461259542729872e-05,0.2669569844823853,0.0,0.0,0.48,0.0001912370229824836,-0.005863402139327144,-8.496565641070432e-08,74.27761710606352,-74.25361009593018,74.34381641936876,-74.36782491376276,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.25,0.007247570951279503,-3.9026968984057227e-05,0.28723334647786797,0.0,0.0,0.5,0.0001880000214314494,-0.006221318301711351,-1.2875986460449926e-07,73.57763615966735,-73.55496409726459,73.64858673490123,-73.6712610466034,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.26,0.007795298065312791,-4.3692484949940164e-05,0.30786576523134296,0.0,0.0,0.52,0.00018350015687237223,-0.006569804409767203,-1.8064334830004194e-07,72.92298750487895,-72.90169177318145,72.99679859008612,-73.01809747743292,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.27,0.008359426546973732,-4.859808126127435e-05,0.3288266256269298,0.0,0.0,0.54,0.00017786008202676261,-0.006908196903357341,-2.405492506104039e-07,72.31012792153417,-72.29022626649888,72.38506352585401,-72.40496938303174,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.28,0.008939691210832778,-5.3731923302739824e-05,0.35009033352585894,0.0,0.0,0.56,0.00017120745450722544,-0.007236093678571756,-3.0825014625140104e-07,71.73585375459115,-71.71734355384058,71.81033409769132,-71.82884968324778,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.29,0.00953584052285577,-5.908159852766658e-05,0.3716330061450085,0.0,0.0,0.58,0.0001636738283498973,-0.007553262814365204,-3.833523138736435e-07,71.19726275458774,-71.18012239552507,71.26986900189378,-71.28701605771822,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.3,0.010147644948034076,-6.46335178492753e-05,0.3934331425199872,0.0,0.0,0.6,0.00015540236266462073,-0.00785976247145168,-4.6527929539618995e-07,70.69176678780659,-70.67595837332036,70.76125296396654,-70.77706950639273,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.31,0.01077488214749915,-7.037478575801779e-05,0.4154698091355455,0.0,0.0,0.62,0.00014652094171350787,-0.008155684475969557,-5.533634729697245e-07,70.21688755225368,-70.20235874129384,70.28216413690467,-70.29670261454244,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.32,0.011417348217482592,-7.629161579940639e-05,0.43772414241220176,0.0,0.0,0.64,0.00013716521770769686,-0.00844135904439611,-6.467884795681276e-07,69.77046066580323,-69.75714689771382,69.83060240853018,-69.84392747533413,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.33,0.012074850570045054,-8.237030355100001e-05,0.46017846489446373,0.0,0.0,0.66,0.000127465229035002,-0.0087172261982631,-7.446598876424291e-07,69.35050508866317,-69.33833157636109,69.40474447215172,-69.4169309928789,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.34,0.0127472072049329,-8.85972520173538e-05,0.48281629798442943,0.0,0.0,0.68,0.00011754598079882051,-0.008983826312786847,-8.460371713258385e-07,68.95522129579588,-68.94410493861292,69.00294224437252,-69.01407338093512,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.35000000000000003,0.013434246589991613,-9.495915518710885e-05,0.5056221144379314,0.0,0.0,0.7000000000000001,0.00010752282222063742,-0.009241789610717428,-9.49922205952407e-07,68.5829630761342,-68.57281449746584,68.6236905596599,-68.63385573247022,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.36,0.0141358060022488,-0.00010144281752486227,0.5285815727817187,0.0,0.0,0.72,9.750768197493253e-05,-0.009491821996616837,-1.0552863112662545e-06,68.23220259396568,-68.22292748275096,68.26560190791905,-68.27489545387584,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.37,0.014851730311370067,-0.00010803559777425549,0.5516810944130519,0.0,0.0,0.74,8.760070997666039e-05,-0.009734673331726453,-1.1611073486289295e-06,67.9015263305328,-67.89302725518226,67.92739024259018,-67.93590960126502,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.38,0.015581870833307,-0.00011472549780823925,0.5749077872130363,0.0,0.0,0.76,7.788960058655334e-05,-0.009971119093843628,-1.2663882988331882e-06,67.58960932373235,-67.58178738273722,67.60784528982273,-67.61568935328965,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.39,0.01632608407913861,-0.00012150060252519533,0.5982499599631026,0.0,0.0,0.78,6.846143807046506e-05,-0.010201990456511423,-1.3701378377153443e-06,67.29532793419224,-67.28808367146645,67.30595687253181,-67.31322507012473,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.017084230693049218,-0.00012834988390547734,0.6216963938385658,0.0,0.0,0.8,5.938816425489992e-05,-0.010428103795461783,-1.471422816469895e-06,67.01759202535881,-67.01082684527755,67.02073387865164,-67.0275247629421,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
