time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,plant_gust_force_x_N,plant_gust_force_y_N,plant_gust_force_z_N,plant_mass_kg,controller_nominal_mass_kg,fault_effectiveness_1,fault_effectiveness_2,fault_effectiveness_3,fault_effectiveness_4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,66.77447298376008,-66.77447298376008,66.77447298376008,-66.77447298376008,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,3.823224239454869e-11,-4.933192666267096e-11,6.68920919341067e-06,0.0,0.0,0.004,5.842789028228909e-07,4.528161235138527e-07,-1.3241286946775872e-13,66.79399902344431,-66.79354700392518,66.79319668881871,-66.79364870834016,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.02,6.163062827534946e-10,-7.952340072969916e-10,4.523675878590614e-05,0.0,0.0,0.008,2.3456931706923696e-06,1.8179115586628056e-06,-2.1481796482675244e-12,66.81081607916127,-66.80936441373761,66.8082393734976,-66.80969103895877,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.03,3.1470693966630457e-09,-4.060736052922414e-09,0.00013197748200260935,0.0,0.0,0.012,5.256836229157978e-06,4.074044139847647e-06,-1.0952593130499253e-11,66.82350979628637,-66.82080951924604,66.81871680702545,-66.82141708425712,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.04,9.974583252035864e-09,-1.2870438580813808e-08,0.0002744880712778724,0.0,0.0,0.016,9.242319098228119e-06,7.1627838427288785e-06,-3.462240153623418e-11,66.83191077730243,-66.82785417950572,66.82471032374639,-66.8287669221479,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.05,2.434746385086911e-08,-3.141611770319718e-08,0.0004764564602162665,0.0,0.0,0.02,1.419783203928263e-05,1.1003286077046246e-05,-8.402307021353735e-11,66.8363144865222,-66.83086911773997,66.82664897377619,-66.83209434402622,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.06,5.02334738294423e-08,-6.481749479103647e-08,0.000739653807275262,0.0,0.0,0.024,2.0003319351587558e-05,1.5502502859194428e-05,-1.7205030614034983e-10,66.83717180557335,-66.83034887453805,66.82506113418862,-66.83188406822946,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.07,9.23951799397496e-08,-1.1921986722994226e-07,0.0010649054056320665,0.0,0.0,0.028000000000000004,2.6526099360758814e-05,2.0557601078228643e-05,-3.128726462678091e-10,66.8349648914878,-66.82680375391749,66.82047892326432,-66.82864006630018,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.08,1.560013087078858e-07,-2.0129263349351204e-07,0.0014526829536622452,0.0,0.0,0.032,3.363827877367402e-05,2.606946549136409e-05,-5.430113624630729e-10,66.83011089355671,-66.82066876940894,66.81335119413839,-66.82279332777202,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.09,2.4683273511407005e-07,-3.184950889000458e-07,0.0019031021229307039,0.0,0.0,0.036,4.121570144543831e-05,3.194186814422286e-05,-1.1619743783784023e-09,66.82301347961584,-66.81235379239348,66.80409262717274,-66.81475233469355,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.1,3.710177770069946e-07,-4.787348722600573e-07,0.002416213596484551,0.0,0.0,0.04,4.9151868348532576e-05,3.8092285402182147e-05,-3.3206513129574957e-09,66.81400762068128,-66.80219293738824,66.79303664181288,-66.80485138311421,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
