time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,plant_gust_force_x_N,plant_gust_force_y_N,plant_gust_force_z_N,plant_mass_kg,controller_nominal_mass_kg,fault_effectiveness_1,fault_effectiveness_2,fault_effectiveness_3,fault_effectiveness_4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,74.7028535629344,-74.7028535629344,74.7028535629344,-74.7028535629344,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.01,2.9620905053499466e-11,-3.822052329039599e-11,-5.3465814495184416e-05,0.0,0.0,0.02,5.135083430522479e-07,3.9796894657934523e-07,-1.0225634799672225e-13,74.80787615610568,-74.80747707605468,74.80716778903054,-74.80756686908329,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.02,5.22288593921368e-10,-6.739208360572858e-10,-0.0001327098815614867,0.0,0.0,0.04,2.139721972159498e-06,1.6582840174506425e-06,-1.784607925003489e-12,74.91509732256597,-74.91376216293311,74.91272741458303,-74.91406257424705,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.03,2.812652387513422e-09,-3.629229958621766e-09,-0.00016480083408599054,0.0,0.0,0.06,4.924204032023501e-06,3.816254899638159e-06,-9.56415761769498e-12,75.01641935409326,-75.01385839806784,75.0118736591888,-75.01443461538126,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.04,9.246479703871377e-09,-1.193094869316702e-08,-0.00011439525084411399,0.0,0.0,0.08,8.833985422812041e-06,6.846327366241221e-06,-3.133248961555911e-11,75.10911457334278,-75.10517699030784,75.10212536982276,-75.10606295340504,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.05,2.3166298846163914e-08,-2.989202871044606e-08,3.636222040385927e-05,0.0,0.0,0.1,1.379080209831418e-05,1.0687842577639727e-05,-7.807035775074945e-11,75.19276561368144,-75.18738361129338,75.1832125740074,-75.18859457775926,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.06,4.880909875618335e-08,-6.297957812604037e-08,0.0002968543661690736,0.0,0.0,0.12,1.9687333471592343e-05,1.5257622388271016e-05,-1.6315269461613547e-10,75.26791007747346,-75.26106776775336,75.25576500522197,-75.26260731779219,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.07,9.12354166626391e-08,-1.1772336845388464e-07,0.0006727150252772743,0.0,0.0,0.14,2.640327448660656e-05,2.0462425613855416e-05,-3.0151965543648783e-10,75.33537818155845,-75.32709325357213,75.32067248003396,-75.32895741328751,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.08,1.562615674443485e-07,-2.0162839614500465e-07,0.0011677491820976402,0.0,0.0,0.16,3.3811258886431896e-05,2.6203538882825095e-05,-5.087897593942491e-10,75.39604057013662,-75.38635337824505,75.37884587365369,-75.38853307443328,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.09,2.5023306517485887e-07,-3.2288252819930977e-07,0.0017846942500087015,0.0,0.0,0.18,4.1783245453449174e-05,3.238172630056094e-05,-8.002953309471162e-10,75.4507183056252,-75.43968477507703,75.43113388663417,-75.44216743116266,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.1,3.800558181490886e-07,-4.903967616403231e-07,0.0025258276382168965,0.0,0.0,0.2,5.0192078456306606e-05,3.8898438852923225e-05,-1.190445774164632e-09,75.50013492880694,-75.48782218087402,75.4782799322862,-75.49059270101496,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.11,5.528495270585047e-07,-7.133579940528505e-07,0.00339301883415525,0.0,0.0,0.22000000000000003,5.891691159298998e-05,4.56600181533103e-05,-1.691945826190685e-09,75.54490282586029,-75.53138593413617,75.52091051159387,-75.53442743287451,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.12,7.763621570480962e-07,-1.0017638443527289e-06,0.004388113224196607,0.0,0.0,0.24,6.783771828305317e-05,5.2573441797753085e-05,-2.31577384858733e-09,75.58556666091373,-75.57092663249648,75.55958081996162,-75.57422088883301,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.13,1.0582144777599298e-06,-1.3654478493614981e-06,0.005512647775046522,0.0,0.0,0.26,7.684513801906163e-05,5.955395450311603e-05,-3.0703886921762244e-09,75.6225510468878,-75.60687287372585,75.59472254267403,-75.61040076947246,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.14,1.4063066772380152e-06,-1.8146041465917791e-06,0.006767974974499639,0.0,0.0,0.28,8.583354042014873e-05,6.65196926646186e-05,-3.961942404586315e-09,75.65628721854159,-75.6396584566557,75.62677146490901,-75.64340029600586,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.15,1.828399412894394e-06,-2.359246879101535e-06,0.008155425233610956,0.0,0.0,0.3,9.470756876840096e-05,7.339675552070196e-05,-4.994096098605312e-09,75.68706899836226,-75.66957864316053,75.65602396326665,-75.67351440571,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.16,2.33223909789972e-06,-3.0093718653371405e-06,0.009676210816348797,0.0,0.0,0.32,0.00010337857814795272,8.011644470475413e-05,-6.168225849147676e-09,75.71517568169256,-75.69691316420392,75.68276010551315,-75.70102273075422,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.17,2.925394604317223e-06,-3.774745887372263e-06,0.01133145460858168,0.0,0.0,0.34,0.00011176625447721195,8.661651892931883e-05,-7.48355031614998e-09,75.74084129423282,-75.72189558779229,75.70721310415918,-75.72615894132947,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.18,3.6151250321699763e-06,-4.664736063731241e-06,0.013122141472348718,0.0,0.0,0.36,0.00011979922793390945,9.284166748301862e-05,-8.97661910230142e-09,75.76425923410214,-75.74471791150593,75.72957387140782,-75.74911535081614,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.19,4.4085482178720815e-06,-5.688527291151949e-06,0.015049318069092222,0.0,0.0,0.38,0.00012741446102005632,9.874303820619605e-05,-1.0679680597839766e-08,75.78560444485753,-75.76555232317517,75.75001245813517,-75.7700647663803,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.2,5.3123423729102495e-06,-6.85473724677969e-06,0.017113901704540982,0.0,0.0,0.4,0.00013455845660536762,0.00010427917488369906,-1.2591835497436708e-08,75.80502451763395,-75.78454308354901,75.76867054234283,-75.7891521963939,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.21,6.3327827598768904e-06,-8.171463710401786e-06,0.019316757835651004,0.0,0.0,0.42000000000000004,0.0001411855019442142,0.00010941465505275745,-1.4698794032218318e-08,75.82264496461875,-75.8018124932555,75.78566793455224,-75.80650066268795,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.22,7.475703493914937e-06,-9.646235269110875e-06,0.02165870696074414,0.0,0.0,0.44000000000000006,0.00014725710244454607,0.00011411965063439427,-1.698126231585328e-08,75.8385720685092,-75.81746364584818,75.80110525607515,-75.82221397538095,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.23,8.746459162477494e-06,-1.1285961786874883e-05,0.02414052186984767,0.0,0.0,0.4600000000000001,0.00015274167050919704,0.0001183696865473586,-1.9418767503848137e-08,75.85289987339982,-75.83158727006378,75.8150706658939,-75.83638360845538,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.24,1.0149898530670165e-05,-1.3096900468145347e-05,0.026762935789336015,0.0,0.0,0.48,0.00015761426093562495,0.0001221454355268539,-2.1991583242977455e-08,75.86570708759089,-75.84425854452975,75.82763660694607,-75.84908553417704,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.25,1.169033607813484e-05,-1.5084619123415809e-05,0.029526636027282442,0.0,0.0,0.5,0.00016185634947947424,0.00012543254645264195,-2.4681715327765756e-08,75.87706435407088,-75.85554434312044,75.83886703192212,-75.86038747403616,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.26,1.3371525380878508e-05,-1.725396181469297e-05,0.03243225843981477,0.0,0.0,0.52,0.00016545562268175496,0.00012822148143169142,-2.7473434941057608e-08,75.8870342905067,-75.86550327512613,75.84881744352293,-75.87034893883552,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.27,1.5196685804849214e-05,-1.9609083294694023e-05,0.03548042369416135,0.0,0.0,0.54,0.0001684055455328587,0.0001305071807257542,-3.0353518155506594e-08,75.89567105039393,-75.87418526388011,75.85753448660674,-75.8790208033646,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.28,1.7168459629854016e-05,-2.2153393672791146e-05,0.03867170636881799,0.0,0.0,0.56,0.00017070521308653174,0.00013228894773185224,-3.331127393024413e-08,75.90302332489523,-75.88163459709926,75.86505903610856,-75.88644834581744,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.29,1.9288920981131516e-05,-2.488956993353354e-05,0.042006645196474096,0.0,0.0,0.58,0.00017235897007663952,0.00013357015416512358,-3.6338452728815897e-08,75.9091349219866,-75.88789054951138,75.87142685337056,-75.89267186064033,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.3,2.155957853741572e-05,-2.7819559424234786e-05,0.04548574392938875,0.0,0.0,0.6,0.00017337605681916953,0.00013435796558820216,-3.942906035566728e-08,75.91404565837094,-75.89298831966673,75.8766695577685,-75.89772758525692,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.31,2.398138279241931e-05,-3.094458921827237e-05,0.04910947229835954,0.0,0.0,0.62,0.00017377023333226465,0.00013466305007259023,-4.257910995228791e-08,75.91779199211425,-75.89695970747354,75.88081533904847,-75.90164836750145,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.32,2.6554737380508335e-05,-3.42651807228834e-05,0.052878266892676704,0.0,0.0,0.64,0.0001735593868213279,0.0001344992739532724,-4.578633624087396e-08,75.9204075353668,-75.8998336702909,75.88388954704907,-75.90446421196411,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.33,2.9279514088755363e-05,-3.7781169044017434e-05,0.05679253194274537,0.0,0.0,0.66,0.00017276512733431737,0.00013388338842674826,-4.904989119447475e-08,75.92192348931157,-75.9016367987741,75.88591519924505,-75.90620274663253,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.34,3.215507123191366e-05,-4.149172669093859e-05,0.06085264004540603,0.0,0.0,0.68,0.00017141237608357356,0.00013283471047343876,-5.237003658478937e-08,75.92236899875266,-75.90239370927128,75.88691340244691,-75.90688960677775,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.35000000000000003,3.5180275026211e-05,-4.539539115080894e-05,0.06505893283738003,0.0,0.0,0.7000000000000001,0.00016952895089288001,0.00013137480155777913,-5.574784614062758e-08,75.92177144255137,-75.90212736866216,75.88690370430325,-75.90654875204869,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.36,3.8353522947856714e-05,-4.949009502470235e-05,0.06941172101267236,0.0,0.0,0.72,0.00016714515544168722,0.00012952714927264082,-5.918492521924808e-08,75.92015715693014,-75.90085984955189,75.88590487321261,-75.90520321448928,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.37,4.167277836128428e-05,-5.377321070661977e-05,0.07391129228235677,0.0,0.0,0.74,0.0001642933309665539,0.00012731681989462361,-6.268316240193749e-08,75.91754365158909,-75.89860456146305,75.88392714120161,-75.90286732633658,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.38,4.5135577973629894e-05,-5.824155999785437e-05,0.07855789530867907,0.0,0.0,0.76,0.00016100757900248375,0.00012477024349478807,-6.624447461085383e-08,75.91396570005006,-75.89539239366782,75.8809983874342,-75.89957285103776,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.39,4.873907877920859e-05,-6.289147467929525e-05,0.08335175268344171,0.0,0.0,0.78,0.00015732325015467582,0.00012191481773156638,-6.987065622685717e-08,75.9094416736402,-75.8912380379015,75.87713045219331,-75.89533530849891,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.4,5.2480086453340254e-05,-6.771883314760587e-05,0.0882930592716103,0.0,0.0,0.8,0.0001532765948864936,0.00011877863721461923,-7.356318220099752e-08,75.90399296716788,-75.88615945742511,75.87233863956425,-75.89017343437845,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.41000000000000003,5.635508558159957e-05,-7.271909941961172e-05,0.09338198256680368,0.0,0.0,0.8200000000000001,0.00014890442727796298,0.00011539023292106978,-7.732308442814854e-08,75.89764011191923,-75.880173992138,75.8666378164356,-75.88410528696981,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.42,6.0360271990375485e-05,-7.788736484902451e-05,0.09861866304796414,0.0,0.0,0.8400000000000001,0.0001442437872677711,0.0001117783104429305,-8.115085213761705e-08,75.89040286375949,-75.87329846177099,75.86004252738515,-75.87714834699372,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.43,6.449158533472835e-05,-8.321839017579323e-05,0.10400321457407485,0.0,0.0,0.86,0.00013933162468225086,0.00010797150512381459,-8.504636101813196e-08,75.882300272697,-75.86554924366907,75.85256707882834,-75.86931959352677,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.44,6.874474165319843e-05,-8.870664753342085e-05,0.10953572479379202,0.0,0.0,0.8800000000000001,0.00013420450597259042,0.0001039981547987772,-8.900882896069188e-08,75.87335074098978,-75.85694233508954,75.84422560456044,-75.8606355653513,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.45,7.311526561738526e-05,-9.434636206301777e-05,0.11521625555380867,0.0,0.0,0.9,0.00012889834454513178,9.988609082241419e-05,-9.303679589597481e-08,75.86357208135122,-75.84749341261383,75.83503212609845,-75.85111242009083,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.46,7.759852151985623e-05,-0.00010013155189976948,0.12104483956816742,0.0,0.0,0.9200000000000002,0.0001234481338320648,9.566243122408271e-05,-9.712813063671975e-08,75.85297802534868,-75.83721434227765,75.82499706414879,-75.84076244394612,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.47000000000000003,8.218974618572398e-05,-0.00010605607064275475,0.12702149009333055,0.0,0.0,0.9400000000000001,0.00011788777365779518,9.135344616969283e-05,-1.0128003086550109e-07,75.84158995928357,-75.82612490859323,75.81413896230924,-75.8296057822552,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.48,8.688408589869537e-05,-0.00011211365500538687,0.13314620939139415,0.0,0.0,0.96,0.00011224985937902362,8.698439457889409e-05,-1.0548908482968849e-07,75.82941519770263,-75.81423104019107,75.80246267560786,-75.81764867590277,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.49,9.167659905126277e-05,-0.00011829792823514818,0.1394189479150694,0.0,0.0,0.9800000000000001,0.00010656550179751248,8.257938458004257e-05,-1.0975130187330481e-07,75.81647920547837,-75.80155713519656,75.78999177592618,-75.80491576344782,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.5,9.656231098295642e-05,-0.0001246024708803808,0.14583964505219021,0.0,0.0,1.0,0.00010086416393361015,7.816124705495893e-05,-1.1406217543875844e-07,75.8027971005347,-75.78811746003126,75.7767398702566,-75.79142150330628,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.51,0.00010153623077180692,-0.00013102084245978103,0.15240821650163425,0.0,0.0,1.02,9.517355003401282e-05,7.375144964962937e-05,-1.1841674332406965e-07,75.7883837136008,-75.77392622442935,75.76272068754274,-75.77718024533016,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.52,0.00010659337580948236,-0.00013754661317688224,0.15912455480657978,0.0,0.0,1.04,8.951950765002975e-05,6.937002091844164e-05,-1.228096562624508e-07,75.77325357764485,-75.75899755867873,75.74794804646805,-75.76220621078973,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.53,0.00011172879472955033,-0.00014417339350976112,0.1659885298176777,0.0,0.0,1.06,8.392595154090605e-05,6.503549138352167e-05,-1.2723524908339528e-07,75.75742092950529,-75.74334550265326,75.73243583471915,-75.7465134842372,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.54,0.00011693758862229879,-0.00015089486159002594,0.17299998911617992,0.0,0.0,1.08,7.841480879544907e-05,6.076485103836273e-05,-1.316876121867301e-07,75.74089971917155,-75.72698400170894,75.71619799450517,-75.73011601241188,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.55,0.00012221493049395645,-0.00015770478831663728,0.18015875842719645,0.0,0.0,1.1,7.300598425967142e-05,5.6573522588351474e-05,-1.3616066160630588e-07,75.72370360980692,-75.70992689257412,75.69924849749138,-75.71302759330776,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.56,0.00012755608295719927,-0.0001645970601875924,0.18746464207966188,0.0,0.0,1.12,6.771734519473967e-05,5.247534959412965e-05,-1.4064820624432028e-07,75.7058459178624,-75.69218782864115,75.68160125860027,-75.69526180479775,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.5700000000000001,0.0001329564140592437,-0.00017156569972851047,0.1949174233643749,0.0,0.0,1.1400000000000001,6.256472399005216e-05,4.8482598606561544e-05,-1.451440111153503e-07,75.68733966272919,-75.67378031465465,75.6632701590998,-75.67683204268761,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.58,0.0001384114112566083,-0.00017860488352978955,0.20251686475102965,0.0,0.0,1.16,5.7561937471923244e-05,4.4605974161623e-05,-1.4964185574689561e-07,75.66819776493047,-75.65471789013687,75.64426921858272,-75.65775170746218,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
0.59,0.00014391669370925048,-0.00018570895811516038,0.21026270830991778,0.0,0.0,1.18,5.2720821383446505e-05,4.0854645529067075e-05,-1.54135587039064e-07,75.64843298654156,-75.63501405455942,75.62461250832033,-75.63803413288906,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0
