time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,plant_gust_force_x_N,plant_gust_force_y_N,plant_gust_force_z_N,plant_mass_kg,controller_nominal_mass_kg,fault_effectiveness_1,fault_effectiveness_2,fault_effectiveness_3,fault_effectiveness_4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,69.36164804286058,-62.9850071685331,61.709678993667595,-68.08631986799507,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,-5.264595417724148e-10,2.9644074277011766e-09,4.420680720562619e-06,-6.749994937493842e-06,0.004499993250003038,0.0015,-5.570376698888984e-05,-1.0125817410829086e-05,-2.537833924275158e-06,69.38113155385525,-62.99036644917932,61.70411899758573,-68.09492843555141,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.02,-1.5734068236157447e-08,8.588666806205442e-08,2.889007499849342e-05,-2.699991900007026e-05,0.0089999460000972,0.003,-0.0003853658325437209,-7.177092547256387e-05,-1.6068393952846445e-05,69.29758631621513,-63.062815012675145,61.79747802774245,-68.03253002922646,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.03,-1.1028517736750136e-07,5.936737472296813e-07,8.131160000182369e-05,-6.074958993868007e-05,0.013499817750738111,0.0045,-0.0011388087858875276,-0.0002148792560754834,-4.363408273706363e-05,69.1068171394006,-63.2035264504991,61.99297145177697,-67.89702438221613,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.04,-4.3018620184746165e-07,2.294263302573601e-06,0.0001631708213381216,-0.00010799870400629574,0.01799956800311039,0.006,-0.0023840001195457594,-0.00045408369048188676,-8.424203279744953e-05,68.8341746956179,-63.395184593778836,62.265798054383694,-67.70625977594266,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.05,-1.2169396340386276e-06,6.444115989949587e-06,0.00027348569839657415,-0.00016874683596124207,0.022499156259492135,0.0075,-0.004140995950234706,-0.0007947451774062789,-0.00013567234595154599,68.50528830781727,-63.62095632547434,62.5913019438573,-67.47800397940428,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.06,-2.8134309247529407e-06,1.4810866558425465e-05,0.00041124502422066147,-0.0002429934390708599,0.026998542023619412,0.009,-0.00640254553382903,-0.0012371472151170865,-0.00019599645257459083,68.13956435928608,-63.86806143283535,62.95088260357979,-67.2258093819375,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.07,-5.665177071124228e-06,2.9671287971869018e-05,0.0005763192126189859,-0.0003307378451161691,0.03149768480105073,0.0105,-0.009140837086428884,-0.001777372879875236,-0.000264490630102126,67.75257599081459,-64.12632888855103,63.32943726689274,-66.9603047423128,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.08,-1.0316623827244535e-05,5.3784582598584236e-05,0.0007690189174079659,-0.0004319792643981968,0.03599654409953143,0.012,-0.012313650635176183,-0.002408100669678171,-0.00034141682713543424,67.35662269812104,-64.38794659730945,63.714952713449215,-66.6895930071801,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.09,-1.740378833192214e-05,9.034972462264699e-05,0.000989686692204108,-0.0005467167857446387,0.040495079429358226,0.0135,-0.015870130371796794,-0.0031199757459809485,-0.0004273492600295175,66.96099150806822,-64.64708312154559,64.09836592969395,-66.41973965836777,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
