time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,plant_gust_force_x_N,plant_gust_force_y_N,plant_gust_force_z_N,plant_mass_kg,controller_nominal_mass_kg,fault_effectiveness_1,fault_effectiveness_2,fault_effectiveness_3,fault_effectiveness_4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,74.7028535629344,-74.7028535629344,74.7028535629344,-74.7028535629344,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,1.2499776394459958e-05,-5.503400081677743e-11,3.3905423160825406e-05,0.0,0.0,0.02,6.161045047413418e-07,4.774809634093135e-07,-1.4721598243033378e-13,74.80071487653025,-74.80023607026156,74.79614536748055,-74.7966241737518,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.02,5.0002446250189565e-05,-9.700427437824445e-10,0.0002329953314034658,0.0,0.0,0.04,2.564831485512058e-06,1.946261859439471e-06,-2.6142225391400645e-12,74.88594834090104,-74.88434828399244,74.86890503076818,-74.87050508772244,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.03,0.000112508832348827,-5.219644146517612e-09,0.0006845625193948551,0.0,0.0,0.06,5.891038988138177e-06,4.169291177877582e-06,-1.4751338042768576e-11,74.95138329080491,-74.9483221282944,74.91585006887864,-74.91891123164685,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.04,0.00020001135912816096,-1.713683123199034e-08,0.0014303594026469834,0.0,0.0,0.08,1.0537416079173717e-05,6.392430492397123e-06,-5.2884703379190433e-11,74.99575476333247,-74.99106733079924,74.93737174162403,-74.9420591750811,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.05,0.00031253333462388924,-4.2854445920497644e-08,0.002490880558968167,0.0,0.0,0.1,1.6385764697740087e-05,7.324528163252589e-06,-1.4763636447885958e-10,75.02013718113264,-75.01376569804542,74.93602496395431,-74.94239644962057,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.06,0.0004500578529483812,-9.01142807361041e-08,0.0038757615802057816,0.0,0.0,0.12,2.3280338276367588e-05,5.222093200211357e-06,-3.4823997838285564e-10,75.02648250551519,-75.01843736351707,74.91507263290487,-74.92311778098637,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.07,0.000612593800717369,-1.680292563534587e-07,0.005589920801759376,0.0,0.0,0.14,3.105021052644549e-05,-1.9807786233617184e-06,-7.231544036847373e-10,75.0168509120639,-75.00718615613695,74.87767569764422,-74.88734046620394,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.08,0.0008001287105835618,-2.867155921219106e-07,0.007635497948038694,0.0,0.0,0.16,3.952433787777839e-05,-1.647741675961585e-05,-4.784538893930225e-09,74.9932099404716,-74.98200446699144,74.8266622077809,-74.83786776484192,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.09,0.0010126434545246938,-4.573533791077356e-07,0.010013299195652652,0.0,0.0,0.18,4.8541127642072416e-05,-4.0360449052278855e-05,-1.7013696646183087e-08,74.95742066581212,-74.94476305329738,74.76443210154369,-74.77709001126982,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.1,0.0012501024469502781,-6.917709762500205e-07,0.012723285924654446,0.0,0.0,0.2,5.795669720351294e-05,-7.54415714332067e-05,-4.109760281264168e-08,74.91115252886853,-74.89713216193886,74.6929758721732,-74.70699695703478,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
