time_s,position_x_m,position_y_m,position_z_m,position_ref_x_m,position_ref_y_m,position_ref_z_m,position_error_norm_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,4.055282549643799e-11,-5.232622792711294e-11,4.4866754920841194e-07,0.0,0.0,0.02,0.019999551332450793
0.02,6.065282088802273e-10,-7.826171502419234e-10,2.998351552458555e-06,0.0,0.0,0.04,0.03999700164844756
0.03,2.9931797860112895e-09,-3.862168793803172e-09,8.694915310516705e-06,0.0,0.0,0.06,0.05999130508468968
0.04,9.354700221977786e-09,-1.2070589024323903e-08,1.8015777953569978e-05,0.0,0.0,0.08,0.07998198422204789
0.05,2.2622945703291535e-08,-2.9190930157547358e-08,3.117188187231879e-05,0.0,0.0,0.1,0.0999688281181345
0.06,4.642428862581576e-08,-5.990240745333363e-08,4.8249793866405195e-05,0.0,0.0,0.12,0.11995175020615753
0.07,8.503581939634442e-08,-1.0972381960323879e-07,6.929732339017531e-05,0.0,0.0,0.14,0.1399307026766787
0.08,1.4319084055574785e-07,-1.847617102100627e-07,9.433503357717611e-05,0.0,0.0,0.16,0.1599056649665937
0.09,2.2603363589132726e-07,-2.9164960961157214e-07,0.00012337367392846192,0.0,0.0,0.18,0.17987662632645
0.1,3.392302612867651e-07,-4.3768749172805875e-07,0.00015641886453541897,0.0,0.0,0.2,0.19984358113623182
0.11,4.885676407932805e-07,-6.303235925217656e-07,0.00019347381460358833,0.0,0.0,0.22000000000000003,0.21980652618684318
0.12,6.800900631100874e-07,-8.773311489893748e-07,0.00023454026817125868,0.0,0.0,0.24,0.23976545973439836
0.13,9.199683276158509e-07,-1.1866417191927902e-06,0.0002796190845308683,0.0,0.0,0.26,0.2597203809198093
0.14,1.2144245183650028e-06,-1.5662503906324164e-06,0.00032871056090143187,0.0,0.0,0.28,0.2796712894461211
0.15,1.5696607035401574e-06,-2.0241257827460547e-06,0.00038181462290159165,0.0,0.0,0.3,0.2996181853880472
0.16,1.9917927126175988e-06,-2.5681262036156463e-06,0.0004389309434186836,0.0,0.0,0.32,0.31956106907310794
0.17,2.4867895661276133e-06,-3.2059227069791668e-06,0.0005000590210255047,0.0,0.0,0.34,0.33949994100321906
0.18,3.060418954429551e-06,-3.944929610899676e-06,0.0005651982344338939,0.0,0.0,0.36,0.3594348018002436
0.19,3.718199032353443e-06,-4.792242882169096e-06,0.0006343478820604327,0.0,0.0,0.38,0.3793656521664292
0.2,4.4653566702316595e-06,-5.754586623791065e-06,0.0007075072118797205,0.0,0.0,0.4,0.39929249285455615
0.21,5.3067905349331935e-06,-6.838265619379685e-06,0.0007846754261453757,0.0,0.0,0.42000000000000004,0.41921532466321676
0.22,6.247047245029757e-06,-8.049134587389212e-06,0.0008658517541533452,0.0,0.0,0.44000000000000006,0.43913414836404996
0.23,7.290293726447223e-06,-9.392562456298846e-06,0.0009510354138856497,0.0,0.0,0.4600000000000001,0.4590489647400943
0.24,8.440278566886743e-06,-1.0873382313612484e-05,0.001040225805618775,0.0,0.0,0.48,0.4789597743921731
0.25,9.700385850073984e-06,-1.2495960652197322e-05,0.001133421987161268,0.0,0.0,0.5,0.4988665782636538
0.26,1.1073590835265455e-05,-1.4264140036595471e-05,0.0012306234456400062,0.0,0.0,0.52,0.5187693768686521
0.27,1.2562456000344712e-05,-1.6181233899519443e-05,0.0013318298341126534,0.0,0.0,0.54,0.5386681705554107
0.28,1.4169084931752851e-05,-1.824996649887729e-05,0.0014370413068299928,0.0,0.0,0.56,0.5585629591710252
0.29,1.58952125693185e-05,-2.047258940708496e-05,0.001546258119512433,0.0,0.0,0.58,0.5784537424611603
0.3,1.7742186095697866e-05,-2.2850856495149448e-05,0.0016594806027233012,0.0,0.0,0.6,0.5983405200966667
0.31,1.9710980781350723e-05,-2.538604405106369e-05,0.0017767091010737306,0.0,0.0,0.62,0.6182232917343639
0.32,2.180221872115184e-05,-2.80789746105497e-05,0.0018979439418147072,0.0,0.0,0.64,0.6381020570484387
0.33,2.4016189953332813e-05,-3.093004385480885e-05,0.0020231854185598923,0.0,0.0,0.66,0.6579768157467129
0.34,2.6352875508726716e-05,-3.393925000081169e-05,0.0021524337830817774,0.0,0.0,0.68,0.677847567578837
0.35000000000000003,2.881197196910578e-05,-3.710622514735318e-05,0.002285689241601829,0.0,0.0,0.7000000000000001,0.6977143123399924
0.36,3.1392917136324866e-05,-4.043026806814621e-05,0.002422951953707843,0.0,0.0,0.72,0.7175770498719649
0.37,3.4094916435610256e-05,-4.391037796993383e-05,0.0025642220328907137,0.0,0.0,0.74,0.7374357800626034
0.38,3.691696969897222e-05,-4.754528876185061e-05,0.0027094995481323696,0.0,0.0,0.76,0.7572905028442237
0.39,3.985789799902946e-05,-5.13335034128312e-05,0.0028587845262057674,0.0,0.0,0.78,0.7771412181913059
0.4,4.291637022952888e-05,-5.527332800673592e-05,0.0030120769544702097,0.0,0.0,0.8,0.796987926117694
0.41000000000000003,4.6090929156220836e-05,-5.936290513961671e-05,0.0031693767840125335,0.0,0.0,0.8200000000000001,0.8168306266734535
0.42,4.9380016690121424e-05,-6.360024633966555e-05,0.0033306839330236107,0.0,0.0,0.8400000000000001,0.8366693199414925
0.43,5.278199816416798e-05,-6.798326322735246e-05,0.0034959982903241212,0.0,0.0,0.86,0.856504006034036
