evidence_class,model,time_s,variable,value,unit,source
command_side_yaw_moment,QuadrotorExperiments.Sunray150DynamicsWrapperYawStepSmoke,0.25,yaw_step,300.0,omega2_delta,MWORKS_MCP
command_side_yaw_moment,QuadrotorExperiments.Sunray150DynamicsWrapperYawStepSmoke,0.25,wrapper.commanded_yaw_moment_gate,0.061549775999999945,N.m,MWORKS_MCP
command_side_yaw_moment,QuadrotorExperiments.Sunray150DynamicsWrapperYawStepSmoke,0.25,wrapper.commanded_total_moment_body[3],0.061549775999999945,N.m,MWORKS_MCP
lagged_wrapper_yaw_moment,QuadrotorExperiments.Sunray150DynamicsWrapperYawStepSmoke,0.25,wrapper.yaw_moment_gate,0.06153801695664962,N.m,MWORKS_MCP
lagged_wrapper_yaw_moment,QuadrotorExperiments.Sunray150DynamicsWrapperYawStepSmoke,0.25,wrapper.total_moment_body[3],0.06153801695664962,N.m,MWORKS_MCP
wrapper_gate,QuadrotorExperiments.Sunray150DynamicsWrapperYawStepSmoke,0.25,wrapper.motor_order_gate_error,0.0,dimensionless,MWORKS_MCP
wrapper_gate,QuadrotorExperiments.Sunray150DynamicsWrapperYawStepSmoke,0.25,wrapper.yaw_direction_gate_error,0.0,dimensionless,MWORKS_MCP
applied_physical_wrench_yaw_torque,QuadrotorExperiments.Sunray150PhysicalWrenchYawStepSmoke,0.25,yaw_step,300.0,omega2_delta,MWORKS_MCP
applied_physical_wrench_yaw_torque,QuadrotorExperiments.Sunray150PhysicalWrenchYawStepSmoke,0.25,adapter.applied_yaw_torque_body,0.061540561756854906,N.m,MWORKS_MCP
applied_physical_wrench_yaw_torque,QuadrotorExperiments.Sunray150PhysicalWrenchYawStepSmoke,0.25,adapter.wrapper_yaw_moment,0.061540561756854906,N.m,MWORKS_MCP
physical_wrench_gate,QuadrotorExperiments.Sunray150PhysicalWrenchYawStepSmoke,0.25,adapter.torque_application_error,0.0,N.m,MWORKS_MCP
physical_wrench_gate,QuadrotorExperiments.Sunray150PhysicalWrenchYawStepSmoke,0.25,adapter.motor_order_gate_error,0.0,dimensionless,MWORKS_MCP
physical_wrench_gate,QuadrotorExperiments.Sunray150PhysicalWrenchYawStepSmoke,0.25,adapter.yaw_direction_gate_error,0.0,dimensionless,MWORKS_MCP
external_body_yaw_rate_response,QuadrotorExperiments.FactoryTraceIso30ExternalBodyStateBoundarySmoke,0.10,external_body_yaw_rate,-0.016401350410137617,rad/s,MWORKS_MCP
external_body_yaw_rate_response,QuadrotorExperiments.FactoryTraceIso30ExternalBodyStateBoundarySmoke,0.10,external_body_yaw_response_gate,0.0,rad/s_abs_gate,MWORKS_MCP
external_body_yaw_rate_response,QuadrotorExperiments.FactoryTraceIso30ExternalBodyStateBoundarySmoke,0.10,external_frame_yaw_torque,-0.03410941441319975,N.m,MWORKS_MCP
external_body_yaw_rate_response,QuadrotorExperiments.FactoryTraceIso30ExternalBodyStateBoundarySmoke,0.10,bridge_yaw_moment,-0.03410941441319975,N.m,MWORKS_MCP
external_body_yaw_rate_response,QuadrotorExperiments.FactoryTraceIso30ExternalBodyStateBoundarySmoke,0.25,external_body_yaw_rate,-0.4531353758463619,rad/s,MWORKS_MCP
external_body_yaw_rate_response,QuadrotorExperiments.FactoryTraceIso30ExternalBodyStateBoundarySmoke,0.25,external_body_yaw_rate_delta,-0.4531353758463619,rad/s,MWORKS_MCP
external_body_yaw_rate_response,QuadrotorExperiments.FactoryTraceIso30ExternalBodyStateBoundarySmoke,0.25,external_body_yaw_response_gate,0.4531353758463619,rad/s_abs_gate,MWORKS_MCP
external_body_yaw_rate_response,QuadrotorExperiments.FactoryTraceIso30ExternalBodyStateBoundarySmoke,0.25,external_frame_yaw_torque,-0.06826526566283278,N.m,MWORKS_MCP
external_body_yaw_rate_response,QuadrotorExperiments.FactoryTraceIso30ExternalBodyStateBoundarySmoke,0.25,bridge_yaw_moment,-0.06826526566283278,N.m,MWORKS_MCP
external_body_gate,QuadrotorExperiments.FactoryTraceIso30ExternalBodyStateBoundarySmoke,0.25,external_body_state_boundary_gate_error,0.0,dimensionless,MWORKS_MCP
