metric,value
generated_at,2026-06-12T04:15:51
raw_file,Results\mworks_model_hygiene\20260612_rotor1_loss15_mapper_smoke\linear_mpc_online_fault_allocation\raw\smoke.csv
scene_id,official_example1_pid_baseline
controller_id,pid_baseline
row_count,1001
duration_s,2.0
sample_rate_hz,500.0
position_rmse_m,0.19737675009144973
x_rmse_m,0.11378942956888627
y_rmse_m,0.11405621440429163
z_rmse_m,0.11402073123258037
max_position_error_m,0.275033088898169
steady_state_error_m,0.19047492212836317
settling_time_s,nan
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,nan
disturbance_recovery_time_s,nan
overshoot_x_pct,nan
overshoot_y_pct,nan
overshoot_z_pct,0.7437485197028915
overshoot_max_pct,0.7437485197028915
roll_rmse_rad,0.014804248487988706
pitch_rmse_rad,0.014891395355911293
yaw_rmse_rad,0.00033276257781566663
max_tilt_rad,0.049532353960498716
minimum_altitude_m,0.0
altitude_violation_count,90
tilt_violation_count,0
constraint_violation_count,90
constraint_violation_rate_hz,45.0
altitude_violation_rate_hz,45.0
tilt_violation_rate_hz,0.0
control_energy,41.613416029599136
control_energy_per_second,20.806708014799568
control_smoothness,2748.585411376379
control_smoothness_per_second,1374.2927056881895
control_command_min,-7.068051701894813
control_command_max,8.137518715074265
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,97.42704840727762
robustness_score,0.0
safety_score,35.0
energy_score,35.81606170184944
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,43.30972069236823
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_full_baseline
metrics_profile,standard_tracking
