metric,value
generated_at,2026-06-12T05:28:10
raw_file,Results\mworks_model_hygiene\20260612_rotor1_loss15_param_smoke\raw\rotor1_loss15_linear_mpc_online_fault_allocation_param_smoke.csv
scene_id,rotor1_loss15_param_smoke
controller_id,linear_mpc_online_fault_allocation_sysblock
row_count,1001
duration_s,2.0
sample_rate_hz,500.0
position_rmse_m,0.1840414792775115
x_rmse_m,0.10207424157761395
y_rmse_m,0.10224107258868385
z_rmse_m,0.11401262376125319
max_position_error_m,0.27502974421369464
steady_state_error_m,0.1782200569186307
settling_time_s,nan
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,nan
disturbance_recovery_time_s,nan
overshoot_x_pct,nan
overshoot_y_pct,nan
overshoot_z_pct,0.7415327523264903
overshoot_max_pct,0.7415327523264903
roll_rmse_rad,0.016849444140933627
pitch_rmse_rad,0.016955231578421225
yaw_rmse_rad,0.00032001404516864923
max_tilt_rad,0.04946773742312715
minimum_altitude_m,0.0
altitude_violation_count,90
tilt_violation_count,0
constraint_violation_count,90
constraint_violation_rate_hz,45.0
altitude_violation_rate_hz,45.0
tilt_violation_rate_hz,0.0
control_energy,41.61138018366511
control_energy_per_second,20.805690091832556
control_smoothness,2748.556821042628
control_smoothness_per_second,1374.278410521314
control_command_min,-7.068049991044227
control_command_max,8.138107938842143
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,97.96253063497484
robustness_score,0.0
safety_score,35.0
energy_score,35.81652206902045
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,43.47041139739449
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_param_iteration_smoke
metrics_profile,standard_tracking
