time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.01,1.3904084957461327e-18,-1.5997205440493608e-19,-6.746929788007536e-06,0.0,0.0,0.02,2.7518987593068183e-15,3.063612688202577e-15,7.4099634993930995e-16,1.1009962257359844,-1.1009962257357384,1.1009962257354693,-1.1009962257357047
0.02,2.7370392884816887e-18,1.2681371973201352e-18,-1.3416830412096903e-05,0.0,0.0,0.04,5.5183401856898585e-15,5.948915357684003e-15,-4.140981709821259e-15,2.092695266787206,-2.0926952667868,2.092695266786303,-2.0926952667867673
0.03,3.81516908214095e-18,7.74071729120666e-19,-1.985268063866158e-05,0.0,0.0,0.06,9.134179198954928e-15,9.006974058184817e-15,-6.669724456222924e-15,2.9880724257379465,-2.988072425737328,2.9880724257366422,-2.9880724257373554
0.04,1.4796576973780674e-17,-1.198287506473439e-17,-2.6001560798802098e-05,0.0,0.0,0.08,1.1781698230971556e-14,1.1927864896138209e-14,-6.150372346944053e-14,3.798583739533932,-3.798583739533603,3.7985837395324005,-3.7985837395335986
0.05,3.334201740525255e-17,-2.85047753114681e-17,-3.1827491333368256e-05,0.0,0.0,0.1,1.3152209604228223e-14,1.4814852632772847e-14,-1.03012376777784e-13,4.534339997018556,-4.534339997018555,4.534339997016951,-4.534339997018409
0.06,4.700835801521766e-17,-4.738200466471277e-17,-3.7307576857873684e-05,0.0,0.0,0.12,1.5684632776824943e-14,1.7496571545095808e-14,-1.8521760132367792e-13,5.204264617077268,-5.204264617077755,5.204264617075498,-5.204264617077627
0.07,7.56439093489272e-17,-6.687412044745011e-17,-4.242873353406815e-05,0.0,0.0,0.14,1.5344621719183875e-14,2.015442111897398e-14,-1.8732976928706927e-13,5.816246109803279,-5.816246109803956,5.816246109801613,-5.816246109803586
0.08,1.0983423990990819e-16,-8.835924322975304e-17,-4.718507925632485e-05,0.0,0.0,0.16,1.475889965560473e-14,2.110894111249993e-14,-2.0385666647195845e-13,6.377299570593918,-6.377299570594857,6.377299570592491,-6.377299570594433
0.09,1.795772242333802e-16,-9.557814654279017e-17,-5.157599381701483e-05,0.0,0.0,0.18,9.784605886615624e-15,9.814908900346634e-15,-2.776939999939591e-13,6.893497456706357,-6.893497456708325,6.893497456706593,-6.893497456708551
0.1,2.838174133409944e-16,-9.053977180706944e-17,-5.560430093156784e-05,0.0,0.0,0.2,1.746700462143818e-15,-1.354488376758498e-14,-4.0070648275344767e-13,7.3701288297320104,-7.3701288297355,7.37012882973483,-7.370128829737005
0.11,3.8636635955957227e-16,-8.41939283826692e-17,-5.9275358044461806e-05,0.0,0.0,0.22000000000000003,-5.591994711850649e-15,-3.705113377113055e-14,-5.264928542193614e-13,7.812041881106971,-7.812041881111805,7.81204188111176,-7.812041881114373
0.12,4.73010733926634e-16,-7.824704683484329e-17,-6.259603600013481e-05,0.0,0.0,0.24,-1.2189469153784326e-14,-5.793258951699664e-14,-6.4170433346477e-13,8.22347731078731,-8.223477310793255,8.223477310793387,-8.223477310796516
0.13,5.353969528792215e-16,-6.889935270885062e-17,-6.557384947305848e-05,0.0,0.0,0.26,-1.8094394929249207e-14,-7.755021866204715e-14,-7.086677388041818e-13,8.608177677646973,-8.608177677653586,8.60817767765396,-8.60817767765737
0.14,5.680727571223101e-16,-5.112480603274632e-17,-6.821668208825094e-05,0.0,0.0,0.28,-2.400933360233416e-14,-9.63907591179341e-14,-7.4568688827694e-13,8.969429143820916,-8.969429143827965,8.969429143828647,-8.969429143832139
0.15,5.561754783988516e-16,-2.204594301507949e-17,-7.053233410309493e-05,0.0,0.0,0.3,-2.959593128995021e-14,-1.1590061310978306e-13,-6.674373841595044e-13,9.310100005556226,-9.310100005562866,9.310100005564678,-9.310100005567474
0.16,4.907705740135246e-16,2.2750682322188712e-17,-7.252837194545967e-05,0.0,0.0,0.32,-3.756304761130073e-14,-1.341700315090775e-13,-5.106091521316255e-13,9.632786271480201,-9.632786271486076,9.632786271489422,-9.632786271490765
0.17,3.6133922915298167e-16,9.132465192067762e-17,-7.421186207603267e-05,0.0,0.0,0.34,-4.860339378235107e-14,-1.5022139769576266e-13,-3.1521721641544696e-13,9.939753986385986,-9.939753986391043,9.939753986395992,-9.939753986395392
0.18,1.5646086068592333e-16,1.9013208529839762e-16,-7.558923595823617e-05,0.0,0.0,0.36,-6.191964333472273e-14,-1.6395363202298801e-13,-8.656208537286076e-14,10.23297826150076,-10.232978261504867,10.232978261511485,-10.2329782615086
0.19,-1.3164017945317882e-16,3.2073070872560655e-16,-7.666629806131254e-05,0.0,0.0,0.38,-7.591162112720967e-14,-1.7444424825863137e-13,1.4997205280936447e-13,10.514198002452417,-10.514198002455455,10.51419800246359,-10.514198002458429
0.2,-5.072160417948803e-16,4.8184302844910745e-16,-7.744819255757834e-05,0.0,0.0,0.4,-8.657855498890003e-14,-1.8068121484839758e-13,3.4068564030447755e-13,10.784958022034836,-10.78495802203675,10.78495802204582,-10.784958022039088
0.21,-9.840235391703017e-16,6.927532473694368e-16,-7.793939847581262e-05,0.0,0.0,0.42000000000000004,-9.289640858270757e-14,-1.8493463267213696e-13,5.055146282730701e-13,11.046632119627306,-11.046632119627896,11.046632119637712,-11.046632119629974
0.22,-1.5726319279044237e-15,9.627016648673368e-16,-7.814370989055209e-05,0.0,0.0,0.44000000000000006,-9.514469941271996e-14,-1.8800922024757362e-13,6.677090201063424e-13,11.30043329359633,-11.300433293595347,11.300433293605941,-11.300433293597486
0.23,-2.2852246102151867e-15,1.3018628656401597e-15,-7.806424807871685e-05,0.0,0.0,0.4600000000000001,-9.700648629093864e-14,-1.9052144821722089e-13,8.877243841912107e-13,11.547437011270086,-11.547437011267242,11.547437011279104,-11.547437011269398
0.24,-3.129089989957908e-15,1.7087246381027377e-15,-7.770349484595613e-05,0.0,0.0,0.48,-1.0468060083124502e-13,-1.9052055390837174e-13,1.2249750597091719e-12,11.788578861639175,-11.788578861634264,11.788578861648112,-11.788578861635699
0.25,-4.1067491285767e-15,2.1881913000606823e-15,-7.706334820586914e-05,0.0,0.0,0.5,-1.1599310212202944e-13,-1.882375280908317e-13,1.6638942296595158e-12,12.02468684591161,-12.024686845904247,12.024686845920714,-12.024686845904553
0.26,-5.2167815125145455e-15,2.7416882399619234e-15,-7.61451266513777e-05,0.0,0.0,0.52,-1.278289538040191e-13,-1.831536869453924e-13,2.1602291576917125e-12,12.25648730060918,-12.256487300598874,12.256487300618268,-12.256487300598028
0.27,-6.459539345568879e-15,3.379948347252456e-15,-7.494962638974719e-05,0.0,0.0,0.54,-1.3597248989481782e-13,-1.7625662196890789e-13,2.6522989767409326e-12,12.484628246516074,-12.484628246502465,12.484628246524737,-12.484628246500842
0.28,-7.832923450925068e-15,4.109911213031569e-15,-7.347714638271221e-05,0.0,0.0,0.56,-1.3824615819773829e-13,-1.6768466559242256e-13,3.1096416318169754e-12,12.709678303619512,-12.709678303602274,12.709678303627182,-12.709678303600445
0.29,-9.336262535183277e-15,4.9420107841519255e-15,-7.172752598848087e-05,0.0,0.0,0.58,-1.3504173952399897e-13,-1.578340551729218e-13,3.5342475690175826e-12,12.932146376456993,-12.93214637643597,12.932146376463308,-12.93214637643436
0.3,-1.0965276597829375e-14,5.882633878368946e-15,-6.97001724223593e-05,0.0,0.0,0.6,-1.2553919731592478e-13,-1.4697395370596636e-13,3.909918800179602e-12,13.152474810008854,-13.152474809984009,13.152474810013482,-13.152474809983042
0.31,-1.2717520033210864e-14,6.935602594108079e-15,-6.739409732682672e-05,0.0,0.0,0.62,-1.129116915345376e-13,-1.3532459268735483e-13,4.271319935526222e-12,13.371060395760198,-13.371060395731682,13.371060395763223,-13.371060395731341
0.32,-1.4590946561022563e-14,8.090802156330119e-15,-6.480793797248392e-05,0.0,0.0,0.64,-9.83812546022987e-14,-1.2435694235763558e-13,4.621554454031376e-12,13.588246491956324,-13.588246491924345,13.588246491958003,-13.588246491924632
0.33,-1.658098654996229e-14,9.337825273260422e-15,-6.193999473456396e-05,0.0,0.0,0.66,-8.468940557452217e-14,-1.142281564717883e-13,4.988974192980546e-12,13.804338765534814,-13.804338765499574,13.804338765535588,-13.804338765500278
