time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
0.01,-3.1234418895580527e-15,-2.6243390429871604e-15,1.5574128940343295e-06,0.0,0.0,0.02,-1.1108837600381029e-13,1.308209701608487e-13,1.1401539159955583e-13,1.1005390636362424,-1.1005390636447923,1.1005390636346255,-1.1005390636244634
0.02,-6.19827983173474e-15,-5.315283062872975e-15,3.1283913710842473e-06,0.0,0.0,0.04,-2.2227861432021242e-13,2.6357481948280494e-13,-7.29550016578997e-13,2.0918300670349073,-2.091830067056779,2.091830067031811,-2.091830067020255
0.03,-9.199810766481279e-15,-7.949850286278686e-15,4.7242801308625594e-06,0.0,0.0,0.06,-3.3696724240365794e-13,3.7705626342423537e-13,1.3902927740111838e-12,2.9868503442589622,-2.9868503442720664,2.986850344256589,-2.986850344223826
0.04,-1.1815402263733349e-14,-1.0337422708304137e-14,6.3535284494904825e-06,0.0,0.0,0.08,-4.863176801846115e-13,5.021963305231559e-13,3.65016377267936e-12,3.7970525086469005,-3.7970525086521554,3.7970525086470377,-3.7970525085901694
0.05,-1.3979752306770035e-14,-1.2180497089272235e-14,8.021905763983493e-06,0.0,0.0,0.1,-5.857045971580611e-13,5.986434888680952e-13,4.898587574623888e-12,4.532543593947692,-4.53254359394701,4.532543593948288,-4.532543593879705
0.06,-1.5534861134681348e-14,-1.3237932374529744e-14,9.73310516032837e-06,0.0,0.0,0.12,-5.920270303894826e-13,6.50338990424586e-13,4.403838550163979e-12,5.202243133842411,-5.202243133839201,5.2022431338387065,-5.202243133779646
0.07,-1.6167652997510243e-14,-1.322206910141225e-14,1.1489262836443046e-05,0.0,0.0,0.14,-5.295664889692051e-13,6.476015155821697e-13,8.008463265686797e-12,5.814038585564663,-5.8140385855259655,5.814038585556514,-5.814038585481971
0.08,-1.601622657272705e-14,-1.2760146081077801e-14,1.3291371300516443e-05,0.0,0.0,0.16,-4.662327244326087e-13,6.127202122567611e-13,1.2743174733657858e-11,6.3749373253622075,-6.374937325282557,6.374937325353252,-6.374937325252714
0.09,-1.5311490466348377e-14,-1.2249678884200881e-14,1.5139597916271684e-05,0.0,0.0,0.18,-4.187375445236186e-13,5.559817918910587e-13,1.657314752067094e-11,6.890965872684783,-6.890965872573608,6.890965872678214,-6.890965872555044
