time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
0.01,-1.5816079761778285e-15,-3.410432459929453e-17,1.5989047436273298e-06,0.0,0.0,0.02,4.1726245609870815e-15,7.042758663263834e-14,-9.703336464165165e-14,5.217143301992024,-5.217143301991787,5.217143301980459,-5.21714330198207
0.02,-3.0370314273225226e-15,-5.3762822033003984e-17,3.5122253992110636e-06,0.0,0.0,0.04,7.76340080266177e-15,1.3562109624464294e-13,-1.2670489582127158e-12,7.239050296182741,-7.239050296190827,7.239050296166662,-7.239050296176491
0.03,-3.678255802403669e-15,-1.3718910000477047e-16,5.567197002327704e-06,0.0,0.0,0.06,6.484906559272413e-15,1.6559011295680337e-13,-2.6508282065078193e-12,8.086301860213805,-8.086301860232274,8.08630186020095,-8.086301860219965
0.04,-3.416919085269323e-15,-1.8280269131575443e-16,7.671892954781245e-06,0.0,0.0,0.08,2.854717280038758e-14,1.8635947824356327e-13,-5.007622587037271e-12,8.502201498439124,-8.502201498469873,8.502201498422517,-8.502201498462577
0.05,-2.73858254340883e-15,-4.723797865086094e-16,9.799032519681418e-06,0.0,0.0,0.1,1.3861793022080585e-14,1.5303717461381137e-13,-6.2201780506411594e-12,8.76018001637445,-8.760180016418447,8.760180016372509,-8.760180016416465
0.06,-1.8106465727739416e-15,-7.704871742839413e-16,1.194181463787318e-05,0.0,0.0,0.12,1.026054942688091e-14,1.2907216098404242e-13,-7.948136565949546e-12,8.960822488170928,-8.960822488227745,8.960822488172726,-8.960822488228295
0.07,-8.532513064902709e-16,-1.0406528171474322e-15,1.4099038828943892e-05,0.0,0.0,0.14,-7.425133146776562e-15,9.819095892470398e-14,-9.599534629397546e-12,9.141130861447996,-9.141130861518299,9.14113086145385,-9.141130861519285
0.08,-2.2167992023256238e-16,-1.119299128983878e-15,1.6270856489938893e-05,0.0,0.0,0.16,-1.3025362920533848e-14,8.287687756129125e-14,-1.119452928263181e-11,9.314717105283327,-9.314717105365448,9.314717105289343,-9.314717105365514
0.09,-4.21736139452078e-17,-9.679117341728236e-16,1.845773813671295e-05,0.0,0.0,0.18,1.3986061489247878e-14,8.135554241063843e-14,-1.2542016671218453e-11,9.486587520837297,-9.4865875209221,9.486587520834359,-9.486587520926898
