metric,value
generated_at,2026-05-11T15:13:43
raw_file,results/official/example1_step/official_example1_l1_residual_sysblock/raw/official_example1_l1_residual_sysblock.csv
scene_id,official_example1
controller_id,l1_residual_sysblock
row_count,5001
duration_s,50.0
sample_rate_hz,100.0
position_rmse_m,0.24383726679866974
x_rmse_m,0.09036024710406612
y_rmse_m,0.09068397201604053
z_rmse_m,0.20752844538166743
max_position_error_m,1.22365738473118
steady_state_error_m,0.07480352724358427
settling_time_s,5.72
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.06602758119633378
disturbance_recovery_time_s,2.6999999999999993
overshoot_x_pct,4.27354301634038
overshoot_y_pct,4.294607749885682
overshoot_z_pct,1.9221279307489425
overshoot_max_pct,4.294607749885682
roll_rmse_rad,0.0259261997952459
pitch_rmse_rad,0.025852187307476897
yaw_rmse_rad,0.0010819636281601936
max_tilt_rad,0.20501692062830584
minimum_altitude_m,0.0
altitude_violation_count,60
tilt_violation_count,0
constraint_violation_count,60
constraint_violation_rate_hz,1.2
altitude_violation_rate_hz,1.2
tilt_violation_rate_hz,0.0
control_energy,39908.610243278075
control_energy_per_second,798.1722048655615
control_smoothness,13786.85537257716
control_smoothness_per_second,275.7371074515432
control_command_min,-19.812616871466414
control_command_max,19.812616592919326
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,91.56817221963566
robustness_score,71.38461538461539
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,55.816605512044546
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_l1_residual_full
