time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
0.01,-1.760216156810627e-18,3.8985256004156913e-20,-6.496299999380696e-06,0.0,0.0,0.02,8.618176720679625e-16,-1.6633516601588584e-15,-1.7759047922145256e-14,5.219243323266112,-5.219243323266112,5.219243323266234,-5.219243323266484
0.02,-9.237363293594566e-18,3.36962114025298e-18,-1.1032105700069374e-05,0.0,0.0,0.04,1.7617093548159904e-15,-3.4556548940912484e-15,-6.096578447139997e-14,7.241517400456562,-7.241517400456806,7.241517400456762,-7.241517400457379
0.03,-2.5918393381639774e-17,1.0151965996526668e-17,-1.45907866788351e-05,0.0,0.0,0.06,2.7313194815357095e-15,-5.240277787478171e-15,-1.1333078658627099e-13,8.088737464175386,-8.088737464175958,8.088737464175615,-8.088737464176646
0.04,-4.2480737151669795e-17,1.5136594362958375e-17,-1.775693741989293e-05,0.0,0.0,0.08,4.643502681104273e-15,-5.968953918263708e-15,-1.6497328538928358e-13,8.504572071331934,-8.504572071332678,8.504572071331829,-8.504572071333417
0.05,-7.351164477196225e-17,2.485119845500153e-17,-2.070458797338104e-05,0.0,0.0,0.1,5.229185660230563e-15,-7.898438140299477e-15,-2.298724008643571e-13,8.762504826022507,-8.762504826023827,8.76250482602268,-8.76250482602461
0.06,-1.0124476523760071e-16,2.9507887423232693e-17,-2.3477224465141643e-05,0.0,0.0,0.12,6.4283510013829444e-15,-9.031353201922328e-15,-2.8735400144960097e-13,8.963116148577818,-8.963116148579493,8.963116148577916,-8.963116148580303
0.07,-1.2745980919722723e-16,3.074004183388909e-17,-2.6082847172120086e-05,0.0,0.0,0.14,1.1057755032561032e-14,-9.022246802306863e-15,-3.214144227141372e-13,9.143399679020195,-9.143399679021718,9.143399679019778,-9.1433996790228
0.08,-1.579198390069873e-16,2.790758749391817e-17,-2.8520947153538903e-05,0.0,0.0,0.16,1.513014499074482e-14,-9.007909108219822e-15,-3.5739248714958064e-13,9.31696226642166,-9.316962266422882,9.316962266420493,-9.316962266424325
0.09,-1.7241376494672005e-16,1.2769955617975014e-17,-3.0788987995625664e-05,0.0,0.0,0.18,2.7925164380363246e-14,-5.815291496517483e-15,-3.285499318835755e-13,9.488818355348611,-9.488818355348398,9.48881835534577,-9.488818355350627
0.1,-1.8775648510453702e-16,-1.4129512511130892e-17,-3.288390686285979e-05,0.0,0.0,0.2,4.173214633877548e-14,-2.1622477034165384e-15,-2.8883643867411146e-13,9.660795162639126,-9.660795162637843,9.660795162635225,-9.660795162640593
0.11,-2.0507009877721344e-16,-5.869668606615976e-17,-3.480244352028586e-05,0.0,0.0,0.22000000000000003,5.4860737128885937e-14,1.3670080128092627e-15,-2.5356487506224385e-13,9.833572113701978,-9.833572113700082,9.833572113697592,-9.833572113703074
