metric,value
generated_at,2026-05-14T12:25:32
raw_file,results/official/example1_step/official_example1_qp_nmpc_safety_return_land_sysblock/raw/official_example1_qp_nmpc_safety_return_land_sysblock.csv
scene_id,official_example1
controller_id,nmpc_indi_l1
row_count,5001
duration_s,50.0
sample_rate_hz,100.0
position_rmse_m,0.20836096587967592
x_rmse_m,2.296956631582793e-10
y_rmse_m,2.1798333373224937e-10
z_rmse_m,0.20836096587967592
max_position_error_m,1.2018334265101114
steady_state_error_m,0.0016238934963274168
settling_time_s,5.72
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.06549752992561331
disturbance_recovery_time_s,0.0
overshoot_x_pct,nan
overshoot_y_pct,nan
overshoot_z_pct,10091.540645362547
overshoot_max_pct,10091.540645362547
roll_rmse_rad,1.3153303470051451e-10
pitch_rmse_rad,1.653313640079279e-10
yaw_rmse_rad,1.87752579711202e-09
max_tilt_rad,1.7466584503456856e-09
minimum_altitude_m,-7.397112081908206e-05
altitude_violation_count,106
tilt_violation_count,0
constraint_violation_count,106
constraint_violation_rate_hz,2.12
altitude_violation_rate_hz,2.12
tilt_violation_rate_hz,0.0
control_energy,39766.90859616384
control_energy_per_second,795.3381719232768
control_smoothness,239298.3083911721
control_smoothness_per_second,4785.9661678234415
control_command_min,-19.813871390105632
control_command_max,19.8138713918812
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,92.6662930243778
robustness_score,71.38461538461539
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,56.14604175346719
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_qp_nmpc_safety_return_land
