metric,value
generated_at,2026-05-11T20:31:19
raw_file,results/official/example2_helix/official_example2_awff_indi_sysblock_helix_tuned/raw/official_example2_awff_indi_sysblock_helix_tuned.csv
scene_id,official_example2
controller_id,awff_indi_sysblock
row_count,25001
duration_s,50.0
sample_rate_hz,500.0
position_rmse_m,0.4461931361793165
x_rmse_m,0.4076893671653089
y_rmse_m,0.11347885228190016
z_rmse_m,0.14142222158723092
max_position_error_m,3.006905066388708
steady_state_error_m,0.15089028426797468
settling_time_s,6.958
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.16444112221161084
disturbance_recovery_time_s,0.0
overshoot_x_pct,4.937151619954501
overshoot_y_pct,nan
overshoot_z_pct,0.0
overshoot_max_pct,4.937151619954501
roll_rmse_rad,0.026818234302867013
pitch_rmse_rad,0.05410954292230291
yaw_rmse_rad,0.021862030825260875
max_tilt_rad,0.3709384926926906
minimum_altitude_m,0.0
altitude_violation_count,2566
tilt_violation_count,0
constraint_violation_count,2566
constraint_violation_rate_hz,51.32
altitude_violation_rate_hz,51.32
tilt_violation_rate_hz,0.0
control_energy,37366.40869916576
control_energy_per_second,747.3281739833152
control_smoothness,77039.5030251514
control_smoothness_per_second,1540.790060503028
control_command_min,-20.0
control_command_max,19.092505320154896
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,73.98965859725635
robustness_score,61.86153846153846
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,48.16228219456152
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_l1_indi_helix_tuned_full
