metric,value
generated_at,2026-05-11T13:02:40
raw_file,results/official/example2_helix/official_example2_awff_pid_helix_tuned/raw/official_example2_awff_pid_helix_tuned.csv
scene_id,official_example2
controller_id,awff_pid
row_count,25001
duration_s,50.0
sample_rate_hz,500.0
position_rmse_m,0.47479939891839296
x_rmse_m,0.42993676403873743
y_rmse_m,0.14237843951352966
z_rmse_m,0.14253851445436871
max_position_error_m,3.006664044798699
steady_state_error_m,0.1901960358638173
settling_time_s,6.864
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.2614069698449653
disturbance_recovery_time_s,2.2920000000000016
overshoot_x_pct,6.221832206039653
overshoot_y_pct,nan
overshoot_z_pct,0.0
overshoot_max_pct,6.221832206039653
roll_rmse_rad,0.026303513558191313
pitch_rmse_rad,0.05154757567522981
yaw_rmse_rad,0.020552938197100756
max_tilt_rad,0.35361078509976657
minimum_altitude_m,0.0
altitude_violation_count,2595
tilt_violation_count,0
constraint_violation_count,2595
constraint_violation_rate_hz,51.9
altitude_violation_rate_hz,51.9
tilt_violation_rate_hz,0.0
control_energy,37324.23683197651
control_energy_per_second,746.4847366395302
control_smoothness,77900.17420652045
control_smoothness_per_second,1558.0034841304089
control_command_min,-20.0
control_command_max,19.094061507716
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,72.65654405966254
robustness_score,62.584615384615375
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,47.9431170640526
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_full_awff_pid_helix_tuned
