metric,value
generated_at,2026-05-11T12:18:23
raw_file,results/official/example3_figure8/official_example3_awff_pid/raw/official_example3_awff_pid.csv
scene_id,official_example3
controller_id,awff_pid
row_count,60001
duration_s,120.0
sample_rate_hz,500.0
position_rmse_m,0.16473335211804827
x_rmse_m,0.04289063791146184
y_rmse_m,0.0980865120299293
z_rmse_m,0.12520585704111184
max_position_error_m,1.164021155557235
steady_state_error_m,0.061887873112702836
settling_time_s,3.72
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.09870922889333228
disturbance_recovery_time_s,0.0
overshoot_x_pct,68.52765145208431
overshoot_y_pct,6.175458826481098
overshoot_z_pct,1.618222480331486
overshoot_max_pct,68.52765145208431
roll_rmse_rad,0.019219298749810432
pitch_rmse_rad,0.009126294580200364
yaw_rmse_rad,0.006630271750303417
max_tilt_rad,0.22966981432669198
minimum_altitude_m,0.0
altitude_violation_count,627
tilt_violation_count,0
constraint_violation_count,627
constraint_violation_rate_hz,5.225
altitude_violation_rate_hz,5.225
tilt_violation_rate_hz,0.0
control_energy,95624.60710026452
control_energy_per_second,796.8717258355376
control_smoothness,62864.46090520791
control_smoothness_per_second,523.8705075433993
control_command_min,-19.329557079813515
control_command_max,18.36153212227306
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,94.0867726416138
robustness_score,86.76923076923077
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,60.41833948479183
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_full_awff_pid
