metric,value
generated_at,2026-05-13T23:54:31
raw_file,results/official/example3_figure8/official_example3_awff_sysblock/raw/official_example3_awff_sysblock.csv
scene_id,official_example3
controller_id,awff_sysblock
row_count,12001
duration_s,120.0
sample_rate_hz,100.0
position_rmse_m,0.16611703049101045
x_rmse_m,0.04264117700693301
y_rmse_m,0.09730749139159414
z_rmse_m,0.12770219247017453
max_position_error_m,1.1858000141097333
steady_state_error_m,0.06191821222606835
settling_time_s,3.75
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.09779673787431725
disturbance_recovery_time_s,0.0
overshoot_x_pct,68.52753338933904
overshoot_y_pct,6.1750406725334885
overshoot_z_pct,1.6436597388870666
overshoot_max_pct,68.52753338933904
roll_rmse_rad,0.019633822423570126
pitch_rmse_rad,0.009356196443523679
yaw_rmse_rad,0.004291841106091649
max_tilt_rad,0.24642813985832598
minimum_altitude_m,-0.0002351739316983991
altitude_violation_count,128
tilt_violation_count,0
constraint_violation_count,128
constraint_violation_rate_hz,1.0666666666666667
altitude_violation_rate_hz,1.0666666666666667
tilt_violation_rate_hz,0.0
control_energy,95336.13731829583
control_energy_per_second,794.4678109857986
control_smoothness,14072.182111929864
control_smoothness_per_second,117.2681842660822
control_command_min,-19.26011015037258
control_command_max,17.07866689147716
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,93.91036193807042
robustness_score,86.53846153846153
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,60.307723966036505
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_closed_loop_full
