metric,value
generated_at,2026-05-11T15:13:56
raw_file,results/official/example3_figure8/official_example3_l1_residual_sysblock/raw/official_example3_l1_residual_sysblock.csv
scene_id,official_example3
controller_id,l1_residual_sysblock
row_count,12001
duration_s,120.0
sample_rate_hz,100.0
position_rmse_m,0.15223633837191386
x_rmse_m,0.035493820937301974
y_rmse_m,0.079808128880073
z_rmse_m,0.1246866230227615
max_position_error_m,1.1391488468001607
steady_state_error_m,0.049720253024013845
settling_time_s,3.91
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.07021877417734908
disturbance_recovery_time_s,0.0
overshoot_x_pct,68.44723025227974
overshoot_y_pct,5.975130205777347
overshoot_z_pct,1.6330139698621515
overshoot_max_pct,68.44723025227974
roll_rmse_rad,0.020344808575193617
pitch_rmse_rad,0.009889329028682363
yaw_rmse_rad,0.007512329191144319
max_tilt_rad,0.24136678470053524
minimum_altitude_m,0.0
altitude_violation_count,123
tilt_violation_count,0
constraint_violation_count,123
constraint_violation_rate_hz,1.025
altitude_violation_rate_hz,1.025
tilt_violation_rate_hz,0.0
control_energy,95635.1232010366
control_energy_per_second,796.9593600086383
control_smoothness,27268.646145641622
control_smoothness_per_second,227.23871788034685
control_command_min,-19.28713874687683
control_command_max,17.089663728238317
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,94.58328918748606
robustness_score,85.3076923076923
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,60.2019098331689
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_l1_residual_figure8_full
