time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.01,-4.545730526471668e-17,-2.2042812458641373e-15,1.5559676462650956e-06,0.0,0.0,0.01,-9.4121781066508e-14,-2.1754711085879831e-16,-4.0932844868448046e-13,0.551366266896149,-0.5513662669069498,0.551366266904107,-0.5513662668990941
0.02,-2.3017413340264955e-16,-4.523251948334724e-15,3.1117431214755622e-06,0.0,0.0,0.02,-2.0912001715511354e-13,1.2823114764631391e-14,-8.320681933233074e-13,1.050155076694888,-1.0501550767167185,1.0501550767097938,-1.050155076699729
0.03,-1.5040831896787598e-16,-6.634974854533221e-15,4.668350585522592e-06,0.0,0.0,0.03,-2.964612165270991e-13,3.202143519707612e-15,-1.807216303714401e-12,1.5025338213075954,-1.502533821340378,1.5025338213275785,-1.5025338213203505
0.04,-3.477811416638141e-16,-9.179730803977433e-15,6.228030072688185e-06,0.0,0.0,0.04,-4.26678291470707e-13,4.027981232611826e-15,-2.3043778626066872e-12,1.9139490980703842,-1.9139490981137404,1.9139490980973917,-1.9139490980866198
0.05,-4.008566984725708e-16,-1.1428643784197732e-14,7.792363663582576e-06,0.0,0.0,0.05,-5.301976113542731e-13,2.3804565268864266e-15,-3.061671731905525e-12,2.2892113056132923,-2.2892113056658374,2.2892113056442396,-2.2892113056349856
0.06,-2.028014036384324e-16,-1.3157218627881047e-14,9.362417974493308e-06,0.0,0.0,0.06,-5.962233737529565e-13,-5.893311335468162e-15,-3.827515385589141e-12,2.6325692118306865,-2.632569211888368,2.632569211862037,-2.632569211858477
0.07,-2.5247997873056446e-16,-1.5177945119502177e-14,1.0938869058706762e-05,0.0,0.0,0.07,-6.55637304613339e-13,-1.6830917720063688e-14,-5.8893683256642234e-12,2.947786235986586,-2.947786236058562,2.947786236018458,-2.9477862360297573
0.08,-3.983564314356389e-16,-1.7161772209552253e-14,1.2522101834405586e-05,0.0,0.0,0.08,-7.141785770885445e-13,-3.666324751860711e-14,-8.501460800590857e-12,3.2381917096590844,-3.238191709749563,3.238191709692448,-3.2381917097221806
0.09,2.471130089404897e-16,-1.8256519604777696e-14,1.4112283285012942e-05,0.0,0.0,0.09,-7.406000310499723e-13,-8.099297066865574e-14,-9.005402188165096e-12,3.5067050204741386,-3.50670502056585,3.506705020508385,-3.50670502054401
0.1,1.5793365824131485e-15,-1.839592778243914e-14,1.5709430972545284e-05,0.0,0.0,0.1,-7.369254388883553e-13,-1.7483906381206332e-13,-8.483392464064773e-12,3.7559256901561495,-3.755925690240166,3.755925690193153,-3.755925690229092
0.11,2.2971629927604313e-15,-1.8723363725625902e-14,1.7313466816563105e-05,0.0,0.0,0.11000000000000001,-7.381510343962484e-13,-2.6638171246045815e-13,-8.57245632910423e-12,3.988070730161608,-3.9880707302437206,3.988070730201359,-3.98807073024046
0.12,4.463737297483465e-15,-1.737237222933104e-14,1.8924236952051835e-05,0.0,0.0,0.12,-6.923797142831266e-13,-3.4117427245721054e-13,-5.514959446765299e-12,4.2051281699066925,-4.205128169961693,4.205128169943524,-4.205128169966505
0.13,6.927306837068293e-15,-1.5348712970200067e-14,2.054154275531819e-05,0.0,0.0,0.13,-6.299161583186975e-13,-3.971538907655886e-13,-1.1699123363350203e-12,4.408943797162672,-4.408943797181207,4.408943797194302,-4.408943797192309
0.14,9.301508547661883e-15,-1.3080069650574341e-14,2.216517394115091e-05,0.0,0.0,0.14,-5.637426993447481e-13,-4.3614861532777167e-13,3.753948167174581e-12,4.601133883533173,-4.601133883512086,4.601133883559244,-4.60113388352725
0.15,1.2200896994451913e-14,-1.0166462754487303e-14,2.3794914376329484e-05,0.0,0.0,0.15,-4.833146862278448e-13,-4.603399667916663e-13,1.0249458363598695e-11,4.783069652762987,-4.783069652690983,4.783069652782379,-4.783069652709454
0.16,1.5259068417081953e-14,-7.06125573679767e-15,2.5430549938928166e-05,0.0,0.0,0.16,-4.0203522515166333e-13,-4.739816641337972e-13,1.7530380946080374e-11,4.955997086925561,-4.9559970867980425,4.955997086938929,-4.955997086818568
0.17,1.8040648514731474e-14,-4.206665229311012e-15,2.7071882944531425e-05,0.0,0.0,0.17,-3.356450150741118e-13,-4.719432362648295e-13,2.507826318577933e-11,5.1210015197448095,-5.121001519561701,5.121001519753293,-5.121001519581795
0.18,2.1173233722933857e-14,-1.1397673481144168e-15,2.8718731676771652e-05,0.0,0.0,0.18,-2.705566598063295e-13,-4.580146967564997e-13,3.3804028175280174e-11,5.279046662931181,-5.279046662684581,5.279046662934872,-5.2790466627034816
0.19,2.4675774103949428e-14,1.9804496294671727e-15,3.0370935467771255e-05,0.0,0.0,0.19,-2.1054036047356705e-13,-4.40691731954175e-13,4.33913380848357e-11,5.430975184208937,-5.430975183893321,5.430975184208823,-5.430975183910886
0.2,2.7490283538545067e-14,3.978221748354507e-15,3.202835707536062e-05,0.0,0.0,0.2,-1.8810997559539008e-13,-4.3272047092273237e-13,5.152394355977524e-11,5.57753944960397,-5.577539449232849,5.577539449604852,-5.577539449247426
0.21,2.974685121173216e-14,5.174111903630529e-15,3.369088214734663e-05,0.0,0.0,0.21000000000000002,-1.9517674546670082e-13,-4.2381391705584477e-13,5.885886221706196e-11,5.7194091057631375,-5.719409105343807,5.719409105766873,-5.719409105353938
0.22,3.152878613307141e-14,5.860093997673349e-15,3.5358420482298403e-05,0.0,0.0,0.22000000000000003,-2.2319942521127929e-13,-4.0730777077522045e-13,6.581572141095274e-11,5.857176145292565,-5.85717614482846,5.857176145299504,-5.857176144832972
0.23,3.3490817415122144e-14,6.9958119806876895e-15,3.703090616885556e-05,0.0,0.0,0.23000000000000004,-2.446301823403727e-13,-3.7032935674076133e-13,7.403872130063505e-11,5.991368576201826,-5.991368575682278,5.9913685762086875,-5.991368575681328
0.24,3.5741432474853126e-14,8.524559375593725e-15,3.8708294331020015e-05,0.0,0.0,0.24,-2.5697819566630303e-13,-3.3044842880461387e-13,8.298433706598474e-11,6.122444418079398,-6.122444417497795,6.122444418084778,-6.122444417492981
0.25,3.868906059332004e-14,1.0849452155540229e-14,4.039056356593554e-05,0.0,0.0,0.25,-2.4736035519190697e-13,-2.908253938493913e-13,9.332102064404288e-11,6.25081335493091,-6.250813354275297,6.250813354933158,-6.250813354269211
0.26,4.234627380583295e-14,1.3880831206750655e-14,4.2077713934000016e-05,0.0,0.0,0.26,-2.1865416330154547e-13,-2.555014929087863e-13,1.0511836768727382e-10,6.376838782112482,-6.376838781371196,6.376838782111069,-6.376838781365981
0.27,4.683276755023002e-14,1.748687248421377e-14,4.376976398841844e-05,0.0,0.0,0.27,-1.7284722003321646e-13,-2.376559847473305e-13,1.1726233444611157e-10,6.5008398494290915,-6.500839848598878,6.50083984942493,-6.500839848597052
0.28,5.1874355295930954e-14,2.112275937338203e-14,4.546675187794339e-05,0.0,0.0,0.28,-1.261188475575278e-13,-2.458906513339157e-13,1.2826626570817848e-10,6.623103039772936,-6.623103038862617,6.62310303976882,-6.6231030388654535
0.29,5.695646904285576e-14,2.4395785683368436e-14,4.7168732453195595e-05,0.0,0.0,0.29,-9.244501939466424e-14,-2.677230476093355e-13,1.392088845830949e-10,6.743879614547989,-6.743879613559669,6.743879614546399,-6.743879613566307
0.3,6.144879833399314e-14,2.6799720144360668e-14,4.887577698848377e-05,0.0,0.0,0.3,-8.921610140710054e-14,-2.897858155616047e-13,1.5045048698174812e-10,6.863396384380124,-6.863396383314205,6.863396384382879,-6.863396383321426
0.31,6.537399445887878e-14,2.851388182075444e-14,5.0587971902369716e-05,0.0,0.0,0.31,-1.0905286739546547e-13,-3.1137069351022123e-13,1.620318762389518e-10,6.981850127040509,-6.98185012589619,6.981850127048584,-6.981850125901771
0.32,6.858451848608666e-14,2.978094922935447e-14,5.2305417444207485e-05,0.0,0.0,0.32,-1.4425485519312502e-13,-3.186424909987587e-13,1.7497155471474673e-10,7.099419424641909,-7.099419423409804,7.099419424653881,-7.099419423411888
0.33,7.134563079911474e-14,3.090354955774299e-14,5.40282273384415e-05,0.0,0.0,0.33,-1.8376585240016268e-13,-3.1634056499726404e-13,1.8796372284900392e-10,7.216259147678496,-7.216259146357705,7.216259147692715,-7.216259146355697
0.34,7.422822707890737e-14,3.268004292662732e-14,5.5756527015533786e-05,0.0,0.0,0.34,-1.999745718185904e-13,-3.083529270351092e-13,2.0044966043650748e-10,7.332509710663789,-7.332509709255147,7.332509710677202,-7.332509709251486
0.35000000000000003,7.67857979238137e-14,3.477124915011934e-14,5.7490453734871575e-05,0.0,0.0,0.35000000000000003,-2.0471427517003028e-13,-2.863633144152539e-13,2.137704256479423e-10,7.4482927481901875,-7.448292746686283,7.4482927482003465,-7.448292746681535
0.36,7.91936517111262e-14,3.7309362016264635e-14,5.9230154606293067e-05,0.0,0.0,0.36,-1.930676318401127e-13,-2.571098564510989e-13,2.2789057728282276e-10,7.563719274213073,-7.563719272607309,7.563719274218978,-7.563719272602371
0.37,8.150183035549445e-14,4.032020560058296e-14,6.097578707230272e-05,0.0,0.0,0.37,-1.6437166887730694e-13,-2.2168226899954492e-13,2.432305543158316e-10,7.678885204360167,-7.678885202642725,7.678885204360768,-7.678885202638927
0.38,8.34510639396706e-14,4.3322192100843764e-14,6.272751692915692e-05,0.0,0.0,0.38,-1.352294291068326e-13,-1.8298297300220783e-13,2.607409976296531e-10,7.793878503081084,-7.793878501237258,7.7938785030773685,-7.793878501234317
0.39,8.504601222832924e-14,4.6072013685794704e-14,6.448551858672553e-05,0.0,0.0,0.39,-1.1403448500851575e-13,-1.4690392903531704e-13,2.804971834563779e-10,7.90877680189197,-7.908776799907352,7.9087768018861,-7.908776799904489
0.4,8.686620983441877e-14,4.893140513162986e-14,6.624997469162709e-05,0.0,0.0,0.4,-8.821356014788077e-14,-1.2503351403921268e-13,3.0076595908163356e-10,8.023647757029142,-8.023647754900347,8.023647757022756,-8.02364775489872
0.41000000000000003,8.913233778290286e-14,5.172155960856685e-14,6.802107403698061e-05,0.0,0.0,0.41000000000000003,-6.394783310662979e-14,-1.2713039504156418e-13,3.204984667924921e-10,8.138555441094404,-8.13855543882545,8.138555441089375,-8.138555438826478
0.42,9.13490973561038e-14,5.4144267668619986e-14,6.97990140391693e-05,0.0,0.0,0.42000000000000004,-5.2106598698043816e-14,-1.3973188841373883e-13,3.41134476000183e-10,8.253551473880702,-8.253551471466702,8.253551473879154,-8.253551471469512
0.43,9.365203468300266e-14,5.62811952791586e-14,7.15839968835157e-05,0.0,0.0,0.43,-5.021717548966454e-14,-1.61097298544441e-13,3.6168665741061855e-10,8.368686447546539,-8.368686444988796,8.36868644754922,-8.368686444992715
