metric,value
generated_at,2026-05-16T21:59:07
raw_file,results/planning/single_obstacle_astar_awff/sunray150_planning_open_blocks_linear_mpc_sysblock/raw/gui_review_600obs_8walls_8s.csv
scene_id,planning_open_blocks
controller_id,linear_mpc_sysblock
row_count,801
duration_s,8.0
sample_rate_hz,100.0
position_rmse_m,0.2951234118421837
x_rmse_m,0.2188846876829912
y_rmse_m,0.1973366139781923
z_rmse_m,0.01567107204094328
max_position_error_m,0.5664295742703609
steady_state_error_m,0.3280965412527333
settling_time_s,0.0
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,nan
disturbance_recovery_time_s,nan
overshoot_x_pct,0.0
overshoot_y_pct,0.0
overshoot_z_pct,4.375175597653208
overshoot_max_pct,4.375175597653208
roll_rmse_rad,0.06719701038914744
pitch_rmse_rad,0.07667342815666887
yaw_rmse_rad,0.0028596336346363685
max_tilt_rad,0.21332963184348425
minimum_altitude_m,0.4251573325339408
altitude_violation_count,0
tilt_violation_count,0
constraint_violation_count,0
constraint_violation_rate_hz,0.0
altitude_violation_rate_hz,0.0
tilt_violation_rate_hz,0.0
control_energy,1.9181119734234002
control_energy_per_second,0.23976399667792503
control_smoothness,8.18500165556923
control_smoothness_per_second,1.0231252069461538
control_command_min,-0.5031498781989912
control_command_max,0.5031498782213373
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,91.11860930413738
robustness_score,100.0
safety_score,91.58019991006833
energy_score,44.79238673967813
smoothness_score,98.56011990870357
fault_tolerance_score,91.58019991006833
total_health_score,89.2168874336647
source,MWORKS_MCP
evidence_level,gui_review_600obs_8walls
