metric,value
generated_at,2026-05-16T22:17:10
raw_file,results/planning/single_obstacle_astar_awff/sunray150_planning_open_blocks_linear_mpc_sysblock/raw/gui_review_local_sensed_600pillars_open_3s.csv
scene_id,planning_open_blocks
controller_id,linear_mpc_sysblock
row_count,301
duration_s,3.0
sample_rate_hz,100.0
position_rmse_m,0.021552935468163958
x_rmse_m,4.620107303247683e-13
y_rmse_m,1.3140747593134826e-12
z_rmse_m,0.021552935468163958
max_position_error_m,0.030650033818593103
steady_state_error_m,0.01923137458797772
settling_time_s,0.0
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,nan
disturbance_recovery_time_s,nan
overshoot_x_pct,nan
overshoot_y_pct,nan
overshoot_z_pct,4.375175597653208
overshoot_max_pct,4.375175597653208
roll_rmse_rad,4.2481196268093425e-13
pitch_rmse_rad,6.742084721304748e-13
yaw_rmse_rad,1.72895880988455e-11
max_tilt_rad,2.006501777889776e-12
minimum_altitude_m,0.4251573325339408
altitude_violation_count,0
tilt_violation_count,0
constraint_violation_count,0
constraint_violation_rate_hz,0.0
altitude_violation_rate_hz,0.0
tilt_violation_rate_hz,0.0
control_energy,0.9038483211825106
control_energy_per_second,0.3012827737275035
control_smoothness,3.8522677166442034
control_smoothness_per_second,1.2840892388814011
control_command_min,-0.5031498781989912
control_command_max,0.5031498782213373
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,100.0
robustness_score,100.0
safety_score,91.58019991006833
energy_score,45.0
smoothness_score,99.42840326319755
fault_tolerance_score,91.58019991006833
total_health_score,91.94548013618038
source,MWORKS_MCP
evidence_level,gui_review_local_sensed_600pillars_open
