metric,value
generated_at,2026-05-18T16:35:53
raw_file,results/planning/single_obstacle_astar_awff/sunray150_planning_open_blocks_linear_mpc_sysblock/raw/sunray150_planning_open_blocks_linear_mpc_height_profile_0p2_sensor_20hz.csv
scene_id,planning_open_blocks
controller_id,linear_mpc_sysblock
row_count,1604
duration_s,80.1247
sample_rate_hz,20.006315156250192
position_rmse_m,0.43230388091297195
x_rmse_m,0.3332715397355671
y_rmse_m,0.2739253882042237
z_rmse_m,0.027957252223108263
max_position_error_m,1.2313938866515448
steady_state_error_m,0.4193043305146299
settling_time_s,0.0
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.8919473248901181
disturbance_recovery_time_s,nan
overshoot_x_pct,1.2840741250518894
overshoot_y_pct,0.5300733884872408
overshoot_z_pct,3.3730898779403935
overshoot_max_pct,3.3730898779403935
roll_rmse_rad,0.1139795780253712
pitch_rmse_rad,0.1531007529341951
yaw_rmse_rad,0.011037407178598484
max_tilt_rad,0.3462505007750293
minimum_altitude_m,0.652340663000901
altitude_violation_count,0
tilt_violation_count,0
constraint_violation_count,0
constraint_violation_rate_hz,0.0
altitude_violation_rate_hz,0.0
tilt_violation_rate_hz,0.0
control_energy,133.91413649164323
control_energy_per_second,1.671321533704878
control_smoothness,6890.407901441648
control_smoothness_per_second,85.99605242130889
control_command_min,-2.8165196097224285
control_command_max,2.6698722509663004
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,81.8636075832016
robustness_score,100.0
safety_score,100.0
energy_score,14.944039486814345
smoothness_score,0.0
fault_tolerance_score,100.0
total_health_score,81.05348622364191
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_planning_column_truth_0p2_sensor_20hz_simulate_model_pass
