time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,-36.0,-26.0,0.430016275273,-36.0,-26.0,0.430016275273,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.01,-36.0,-26.0,0.4300012861676281,-36.0,-26.0,0.4300164853239652,6.062281333809045e-17,-4.113810996568886e-17,4.729230578918489e-15,0.0008825544001468925,-0.0008825544000972458,0.0008825544001456999,-0.0008825544001059164
0.02,-36.0,-26.0,0.4299590204478033,-36.0,-26.0,0.43001794727029496,9.577082525266567e-17,-8.431694703290185e-17,8.974636271866704e-15,0.0033033400179273732,-0.003303340017842798,0.0033033400179277752,-0.003303340017855669
0.03,-36.0,-26.0,0.4298992825200559,-36.0,-26.0,0.4300218899546788,-1.4612236098055869e-15,-2.2025166167101096e-15,4.4561964581741696e-14,0.006650549348234548,-0.006650549347947801,0.006650549348554533,-0.006650549348031044
0.04,-36.0,-26.0,0.42982407105800285,-36.0,-26.0,0.43002951722496435,-3.4498861527064035e-15,-4.794911485171912e-15,8.674908107409163e-14,0.01080094299259183,-0.010800942992078327,0.010800942993217023,-0.010800942992217087
0.05,-36.0,-26.0,0.4297335991586768,-36.0,-26.0,0.4300420081030415,-5.3145916481634655e-15,-7.024185983374992e-15,1.277723689057846e-13,0.015741389435184563,-0.015741389434447813,0.015741389436021373,-0.015741389434605915
0.06,-36.0,-26.0,0.4296279503529735,-36.0,-26.0,0.4300605169537263,-5.986874143459664e-15,-8.308007732336811e-15,1.5833986200111455e-13,0.021466996829789742,-0.021466996828834115,0.021466996830642168,-0.02146699682902297
0.07,-36.0,-26.0,0.42950740124353265,-36.0,-26.0,0.4300861736536454,2.133025354282104e-14,-3.387165658817388e-14,1.9039643761548385e-13,0.027962543354452397,-0.02796254335107474,0.02796254335536937,-0.02796254335572731
0.08,-36.0,-26.0,0.4293724581940429,-36.0,-26.0,0.43012008376011945,1.8416448450806916e-14,-3.4517349880836563e-14,2.2070013731872566e-13,0.035201446639433684,-0.035201446636465517,0.03520144664040707,-0.03520144663994926
0.09,-36.0,-26.0,0.4292238356766631,-36.0,-26.0,0.4301633286800479,6.198301601083171e-14,-7.395394857937956e-14,2.532083545453792e-13,0.04314803229173102,-0.043148032285450034,0.043148032292693046,-0.04314803229510108
0.1,-36.0,-26.0,0.42906242548254697,-36.0,-26.0,0.43021696583879276,1.1250970756987916e-13,-1.2094027074207525e-13,2.8634735329913674e-13,0.05176003116830528,-0.051760031158736806,0.05176003116931666,-0.05176003117455668
0.11,-36.0,-26.0,0.4288892704780945,-36.0,-26.0,0.43028202884906247,1.5910884236333887e-13,-1.5880979824080733e-13,3.204254982405007e-13,0.06099061650597566,-0.06099061649389285,0.06099061650642871,-0.0609906165137128
0.12,-36.0,-26.0,0.4287055395084625,-36.0,-26.0,0.43035952767979624,2.0157521028898262e-13,-1.9025828326003827e-13,3.5163476729712856e-13,0.0707900126087412,-0.07079001259478673,0.07079001260844753,-0.07079001261718798
0.13,-36.0,-26.0,0.428512511984727,-36.0,-26.0,0.430450448825048,2.374885990837793e-13,-2.155734131859829e-13,3.837554006759443e-13,0.08110665323856164,-0.0811066532233961,0.08110665323758236,-0.08110665324709969
0.14,-36.0,-26.0,0.4283115623983083,-36.0,-26.0,0.43055575547287056,2.6776874042335045e-13,-2.409311647571541e-13,4.0739424458691056e-13,0.09188813047054442,-0.09188813045472784,0.09188813046940007,-0.09188813047928555
0.15,-36.0,-26.0,0.4281041448074874,-36.0,-26.0,0.43067638767419947,2.804122874799023e-13,-2.441509171081136e-13,4.614228860048942e-13,0.10308190314762455,-0.10308190313214817,0.10308190314570718,-0.1030819031544007
0.16,-36.0,-26.0,0.4278917828802193,-36.0,-26.0,0.43081326251173735,3.0426835218425824e-13,-2.657213925515931e-13,4.684318179714863e-13,0.11463582605702899,-0.11463582604125284,0.1146358260552608,-0.11463582606429974
0.17,-36.0,-26.0,0.42767605928241764,-36.0,-26.0,0.4309672742688378,3.1162576053165844e-13,-2.6480956018100724e-13,5.06180177942316e-13,0.1264985783535362,-0.12649857833836226,0.12649857835112638,-0.12649857835899303
0.18,-36.0,-26.0,0.4274586065558327,-36.0,-26.0,0.4311392945983895,3.036227753508936e-13,-2.451440457026874e-13,5.699154401449921e-13,0.13861998892541855,-0.13861998891147967,0.13861998892207814,-0.1386199889276932
0.19,-36.0,-26.000000000000004,0.4272410982918394,-36.0,-26.0,0.4313301726917002,3.0811018567370945e-13,-2.53515968094221e-13,5.791304594122995e-13,0.15095130891430017,-0.15095130890011085,0.15095130891101308,-0.15095130891689887
