metric,value
generated_at,2026-05-18T09:07:27
raw_file,results/planning/sunray150_planning_open_blocks_linear_mpc_sysblock/gui_review_route_filtered_obstacles_1p0_full_20hz/raw/gui_review_route_filtered_obstacles_1p0_full_20hz.csv
scene_id,sunray150_planning_open_blocks_route_filtered_obstacles_1p0_full_20hz
controller_id,linear_mpc_sysblock
row_count,1604
duration_s,80.1247340259
sample_rate_hz,20.00630666033583
position_rmse_m,0.4323038817013171
x_rmse_m,0.3332715409017214
y_rmse_m,0.2739253881345589
z_rmse_m,0.02795725119446046
max_position_error_m,1.2313938866478653
steady_state_error_m,0.4193043396425353
settling_time_s,0.0
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.8919473248692121
disturbance_recovery_time_s,nan
overshoot_x_pct,1.284074125501022
overshoot_y_pct,0.5300733881255746
overshoot_z_pct,3.3730898773226956
overshoot_max_pct,3.3730898773226956
roll_rmse_rad,0.11397957799562411
pitch_rmse_rad,0.15310075243170837
yaw_rmse_rad,0.011037407142990582
max_tilt_rad,0.3462505007401647
minimum_altitude_m,0.652340663005954
altitude_violation_count,0
tilt_violation_count,0
constraint_violation_count,0
constraint_violation_rate_hz,0.0
altitude_violation_rate_hz,0.0
tilt_violation_rate_hz,0.0
control_energy,133.9141468616689
control_energy_per_second,1.6713209533822815
control_smoothness,6890.408101038145
control_smoothness_per_second,85.99601839315746
control_command_min,-2.816519606038802
control_command_max,2.6698722516700863
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,81.86360743151981
robustness_score,100.0
safety_score,100.0
energy_score,14.944037141833663
smoothness_score,0.0
fault_tolerance_score,100.0
total_health_score,81.0534859436393
source,MWORKS_MCP
evidence_level,gui_review_only_route_filtered_obstacles_1p0_full_20hz
