metric,value
status,accepted_with_reduced_clearance_margin
accepted,True
sample_count,306
minimum_actual_pair_distance_m,1.090874152184488
minimum_clearance_lower_bound_m,0.09422908297324245
formation_distance_error_rmse_m,0.12829282641104842
uav1_tracking_rmse_m,0.13678612187268624
uav1_tracking_max_m,0.3524073065507575
uav1_tracking_final_m,0.026271637945147593
uav2_tracking_rmse_m,0.11620304036438797
uav2_tracking_max_m,0.2805373516101668
uav2_tracking_final_m,0.02627202039054628
uav3_tracking_rmse_m,0.09633207990186893
uav3_tracking_max_m,0.2845709192405604
uav3_tracking_final_m,0.026242620814034105
