time_s,uav1_tracking_error_m,uav2_tracking_error_m,uav3_tracking_error_m,minimum_pair_distance_m,formation_distance_error_m,clearance_lower_bound_m,uav1_x_m,uav1_y_m,uav1_z_m,uav2_x_m,uav2_y_m,uav2_z_m,uav3_x_m,uav3_y_m,uav3_z_m,uav1_ref_x_m,uav1_ref_y_m,uav1_ref_z_m,uav2_ref_x_m,uav2_ref_y_m,uav2_ref_z_m,uav3_ref_x_m,uav3_ref_y_m,uav3_ref_z_m
0.0,0.0,0.0,0.0,2.0,0.0,0.445867622045,-41.0,-26.0,1.5,-43.0,-26.0,1.5,-41.0,-28.0,1.32,-41.0,-26.0,1.5,-43.0,-26.0,1.5,-41.0,-28.0,1.32
1.0,0.03446256484103993,0.034462564841378045,0.03446256484115476,2.0000000000061675,7.924771949774367e-12,0.41140505720384524,-40.99974093089787,-26.000332803690807,1.6292437196595027,-42.99974093090404,-26.000332803692224,1.6292437196591318,-40.999740930897914,-28.000332803699212,1.4492437196594687,-41.0,-26.0,1.6637037037037037,-43.0,-26.0,1.6637037037037037,-41.0,-28.0,1.4837037037037037
2.0,0.02615814882846827,0.026158148827682567,0.02615814882815586,2.0000000000023377,3.803476052629169e-12,0.41970947321684415,-40.99947767379221,-26.00067357534012,2.142440554207473,-42.999477673794544,-26.000673575343136,2.142440554206656,-40.99947767379225,-28.00067357534574,1.9624405542070167,-41.0,-26.0,2.116296296296296,-43.0,-26.0,2.116296296296296,-41.0,-28.0,1.9362962962962964
3.0,0.024562600545644887,0.024562600545928015,0.02456260054605871,1.9999999999990976,1.148414696672262e-12,0.42130502149894133,-40.999497531365435,-26.000649466440382,2.3045488709349127,-42.99949753136453,-26.000649466439867,2.304548870935191,-40.99949753136506,-28.000649466438922,2.124548870935358,-41.0,-26.0,2.28,-43.0,-26.0,2.28,-41.0,-28.0,2.1
4.0,0.03480281054594314,0.018250067699182485,0.018250067699070574,2.009873272333994,0.012040088274273348,0.41183357897805684,-40.98804341555919,-25.998362246064964,2.256712568389603,-42.99955541093957,-26.000573816850434,2.2617643742686395,-40.999555410939884,-28.000573816848316,2.0817643742686776,-40.95834859192134,-25.992096881402613,2.2737477753640354,-43.0,-26.0,2.28,-41.0,-28.0,2.1
5.0,0.11190176178401694,0.012072997288665894,0.012072997288634537,2.044495238678499,0.0475613250473786,0.334734627739983,-40.827938207854025,-25.967991928990813,2.2262633846170456,-42.99955737251636,-26.000570751860288,2.2679486271837255,-40.9995573725163,-28.00057075185989,2.0879486271837404,-40.71870016604337,-25.94662495095036,2.237774542732502,-43.0,-26.0,2.28,-41.0,-28.0,2.1
6.0,0.14682147059797576,0.0044713747401815196,0.004471374740231483,2.219388783269393,0.07249554477956188,0.2998149189260242,-40.353707523070256,-25.878091833865078,2.155605164402016,-42.99954673750973,-26.00058482389834,2.275590269147671,-40.99954673750967,-28.000584823898706,2.0955902691476758,-40.20970495170362,-25.850045994079714,2.1613701049119727,-43.0,-26.0,2.28,-41.0,-28.0,2.1
7.0,0.11328951147752049,0.001243007184205893,0.001243007184274816,2.67949701175555,0.06364003583840519,0.3333468780464795,-39.57674380935427,-25.73066635258634,2.046099925039484,-42.999544562788856,-26.000587808642635,2.2790039453798427,-40.999544562788756,-28.000587808642695,2.099003945379838,-39.46562999892869,-25.70886198930318,2.0496782326478122,-43.0,-26.0,2.28,-41.0,-28.0,2.1
8.0,0.044929651542148286,0.0007412603624161307,0.00074126036233785,2.8341489022279007,0.027120789897373765,0.4017067379818517,-38.63447326467623,-25.551830569799513,1.9152830238286016,-42.99954636469506,-26.000585403197938,2.279968614798994,-40.99954636469504,-28.000585403197828,2.0999686147989944,-38.59056098462804,-25.542822603843323,1.918323056394274,-43.0,-26.0,2.28,-41.0,-28.0,2.1
9.0,0.02956855037371871,0.0007457193205577336,0.0007457193204842915,2.834148902227893,0.01834794860230667,0.4170678391502813,-37.69355347271468,-25.37327901179419,1.7854264814547818,-42.99954710466875,-26.000584387923396,2.280097333853172,-40.99954710466881,-28.000584387923347,2.1000973338531725,-37.72260401878769,-25.378132689266806,1.7880354580846003,-43.0,-26.0,2.28,-41.0,-28.0,2.1
10.0,0.09379193720181675,0.0007419009445169971,0.0007419009445054499,2.8341489022279562,0.05947460236552822,0.3528444523221832,-36.905834959040554,-25.22381643945538,1.677634090692624,-42.99954684311533,-26.00058473818757,2.2800560990316456,-40.99954684311535,-28.000584738187566,2.100056099031645,-36.998087450664,-25.240659777118406,1.679279462901119,-43.0,-26.0,2.28,-41.0,-28.0,2.1
