time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.01,-1.659450242910845e-16,-7.136900610923112e-17,1.2454327478633399e-06,0.0,0.0,0.02,-2.2340576571573743e-16,4.6185433991603164e-15,-1.3092976629102915e-13,1.1346956345334924,-1.1346956345344397,1.134695634533135,-1.1346956345340395
0.02,-3.3966157276586683e-16,-3.109855671792982e-16,2.506961774902505e-06,0.0,0.0,0.04,-1.0118243916844288e-14,7.988322846948976e-15,-3.250424636303198e-13,2.158476366122314,-2.1584763661254733,2.1584763661226454,-2.1584763661240816
0.03,-5.304171375404511e-16,-4.727403757949973e-16,3.7970057832740737e-06,0.0,0.0,0.06,-1.6977076515970896e-14,1.3656761771737029e-14,-4.165720505206888e-13,3.084400889520122,-3.084400889524224,3.0844008895201562,-3.084400889521944
0.04,-4.612037699849672e-16,-7.449240314024387e-16,5.1246781666125785e-06,0.0,0.0,0.08,-3.5923736375328895e-14,-1.3875101139205104e-14,-2.2839088170244217e-12,3.9239992209986685,-3.9239992210173886,3.923999221002858,-3.923999221016432
0.05,-2.699296401203718e-16,-1.1298588801985815e-15,6.496261051822598e-06,0.0,0.0,0.1,-6.91359386984392e-14,-5.061623359216815e-14,-9.224929422554568e-13,4.687452018840147,-4.6874520188516975,4.6874520188495925,-4.687452018851085
0.06,-2.6247247911112065e-16,-1.2482950303366437e-15,7.915832027936894e-06,0.0,0.0,0.12,-8.060670038598169e-14,-8.477039478285788e-14,-5.2981101289897805e-12,5.383748846840661,-5.383748846883132,5.383748846852124,-5.383748846884569
0.07,-5.127642206440148e-16,-1.91368282728686e-15,9.38580493743828e-06,0.0,0.0,0.14,-1.2439232289181158e-13,-9.772699642583867e-14,8.922294720280355e-13,6.020837715358753,-6.020837715360224,6.020837715372754,-6.020837715358668
0.08,-9.965680340539804e-16,-2.3001310082033184e-15,1.0907365703940403e-05,0.0,0.0,0.16,-1.3563492529521635e-13,-1.0692023974126608e-13,4.934738318427839e-12,6.605784193857689,-6.6057841938299795,6.605784193870807,-6.605784193828741
0.09,-1.5441697102004039e-15,-1.7889224752580635e-15,1.2480801932213068e-05,0.0,0.0,0.18,-7.79020165678738e-14,-1.328854303989708e-13,9.832380109232773e-12,7.144750390631147,-7.144750390562433,7.144750390639181,-7.144750390568865
0.1,-2.736848563109074e-15,-2.546081472130428e-16,1.410577719758978e-05,0.0,0.0,0.2,7.253212739467515e-14,-1.0615772863028143e-13,1.557552489327216e-11,7.6431601996097305,-7.643160199487436,7.643160199601299,-7.643160199503356
