metric,value
generated_at,2026-05-11T15:14:02
raw_file,results/robustness/mass20_example1/robust_mass20_example1_l1_residual_sysblock/raw/robust_mass20_example1_l1_residual_sysblock.csv
scene_id,robust_mass20_example1
controller_id,l1_residual_sysblock
row_count,5001
duration_s,50.0
sample_rate_hz,100.0
position_rmse_m,0.2607688777675446
x_rmse_m,0.09033992223627736
y_rmse_m,0.09067937304635687
z_rmse_m,0.22719233562426214
max_position_error_m,1.3498056189153775
steady_state_error_m,0.07485000641201045
settling_time_s,5.76
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.07264453677040628
disturbance_recovery_time_s,2.6999999999999993
overshoot_x_pct,4.274770534428143
overshoot_y_pct,4.2955361811077
overshoot_z_pct,2.0199980417995413
overshoot_max_pct,4.2955361811077
roll_rmse_rad,0.025911762838055713
pitch_rmse_rad,0.0258361634401084
yaw_rmse_rad,0.0010796779092935539
max_tilt_rad,0.2043742025056202
minimum_altitude_m,0.0
altitude_violation_count,67
tilt_violation_count,0
constraint_violation_count,67
constraint_violation_rate_hz,1.34
altitude_violation_rate_hz,1.34
tilt_violation_rate_hz,0.0
control_energy,47683.41753771091
control_energy_per_second,953.6683507542183
control_smoothness,13817.857264544393
control_smoothness_per_second,276.35714529088784
control_command_min,-19.999999688465472
control_command_max,20.0
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,90.30535961757602
robustness_score,71.07692307692308
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,55.360838654503574
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_l1_residual_mass20_ablation
