time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.01,-4.836022702799511e-16,-1.734750830689809e-16,1.2453175018758029e-06,0.0,0.0,0.02,-9.257460939306655e-15,1.8513926360213338e-14,1.2344120537483101e-13,1.1028354719623699,-1.1028354719623035,1.1028354719616684,-1.1028354719599898
0.02,-8.336264494397069e-16,-2.1908467668538377e-16,2.5056701235546128e-06,0.0,0.0,0.04,-2.1354260352349673e-14,4.056167958932021e-14,5.669229529819245e-13,2.1005053501117623,-2.1005053501094473,2.100505350110346,-2.100505350104644
0.03,-1.224312001779453e-15,-2.376358646277926e-16,3.7927996319248494e-06,0.0,0.0,0.06,-2.986117170737483e-14,6.622668450737009e-14,9.986844831722317e-13,3.005345128259398,-3.0053451282543575,3.005345128256822,-3.0053451282477415
0.04,-1.689658193136032e-15,3.2800061232283727e-16,5.115539294725511e-06,0.0,0.0,0.08,-4.7742125019626187e-14,1.0741253622050884e-13,4.6261971506747425e-12,3.828248901628859,-3.828248901599449,3.828248901624874,-3.828248901588869
0.05,-2.0295874644060347e-15,7.940676859864367e-16,6.480089907426144e-06,0.0,0.0,0.1,-8.979563358131486e-14,1.318063579963966e-13,8.726615140152485e-12,4.578838329787312,-4.578838329732228,4.578838329786153,-4.578838329717842
0.06,-2.27207318318022e-15,1.7983829947232393e-15,7.89059084226754e-06,0.0,0.0,0.12,-9.406741636594998e-14,1.7386572347370766e-13,1.3352485294398405e-11,5.265611757170243,-5.265611757081656,5.2656117571660985,-5.265611757065884
0.07,-2.3020961891293874e-15,2.250707488056478e-15,9.349617048863116e-06,0.0,0.0,0.14,-1.5037802531187237e-13,1.8014283096364394e-13,1.9233553388915554e-11,5.896086675807706,-5.896086675681387,5.896086675808572,-5.896086675662927
0.08,-2.212495753410471e-15,3.2298775220559877e-15,1.0858584984443634e-05,0.0,0.0,0.16,-1.78417934572896e-13,2.1430530475864976e-13,3.152256131997697e-11,6.4769735524759255,-6.476973552263435,6.476973552475985,-6.476973552242748
0.09,-1.4507550719187567e-15,4.928079564806098e-15,1.24180382166949e-05,0.0,0.0,0.18,-2.1930001889741652e-13,1.9065122341840485e-13,4.62706651177503e-11,7.014060161067346,-7.014060160752571,7.014060161073152,-7.01406016073366
0.1,-1.9849512374909726e-16,7.704381506309737e-15,1.4027924008969771e-05,0.0,0.0,0.2,-2.67690353613775e-13,1.157422463206728e-13,6.390160676565231e-11,7.512528581018505,-7.512528580581527,7.5125285810339815,-7.512528580567389
0.11,1.0932724244670971e-15,1.1166160531387267e-14,1.568780551549321e-05,0.0,0.0,0.22000000000000003,-3.0329274289822105e-13,2.995602244552584e-14,8.228061566053524e-11,7.976755865487791,-7.976755864921814,7.976755865510714,-7.976755864913243
0.12,2.1627489912081938e-15,1.57948619908313e-14,1.7396922770158842e-05,0.0,0.0,0.24,-3.2414748252057143e-13,-6.490485582334553e-14,1.0241680839828873e-10,8.410886615427556,-8.410886614718967,8.410886615456247,-8.410886614716658
0.13,2.5403231489694468e-15,2.1241183015184838e-14,1.91543773052451e-05,0.0,0.0,0.26,-3.291629029161262e-13,-1.3351318186335737e-13,1.233106539870751e-10,8.818594111443295,-8.818594110585604,8.818594111473235,-8.818594110587316
0.14,1.902462196206842e-15,2.6851179287273527e-14,2.0959201871483685e-05,0.0,0.0,0.28,-3.4516371455040513e-13,-1.4413114030272658e-13,1.4420737700981115e-10,9.202995231868163,-9.202995230862665,9.202995231895372,-9.202995230861777
0.15,4.2748551695131927e-16,3.3110913813243223e-14,2.2810412465307406e-05,0.0,0.0,0.3,-3.3499372719408107e-13,-1.174636388233182e-13,1.6498947442874194e-10,9.56691897733033,-9.566918976175808,9.566918977350353,-9.566918976171921
0.16,-1.6966569932181295e-15,3.944486303097061e-14,2.4707035991764083e-05,0.0,0.0,0.32,-3.433391690969976e-13,-4.887755148769166e-14,1.8566094665866717e-10,9.912794860322213,-9.91279485902146,9.912794860334891,-9.912794859010397
0.17,-3.83781383684996e-15,4.672326762296497e-14,2.664815957247438e-05,0.0,0.0,0.34,-3.207716840985318e-13,1.2649934530267194e-14,2.0637625590810623e-10,10.242823485667737,-10.242823484217977,10.242823485672877,-10.242823484204473
0.18,-5.619019065767208e-15,5.517975298638653e-14,2.8632937961076812e-05,0.0,0.0,0.36,-2.474735261567546e-13,4.352875329502207e-14,2.270566923979615e-10,10.558919438728696,-10.558919437126574,10.558919438726365,-10.558919437117899
0.19,-6.896870107349642e-15,6.396254471645011e-14,3.066060900512037e-05,0.0,0.0,0.38,-1.615174689515008e-13,5.368445782815192e-14,2.480056616727799e-10,10.862782495090567,-10.86278249333424,10.862782495082836,-10.862782493332364
0.2,-7.70705637755078e-15,7.278282604938012e-14,3.273050282006756e-05,0.0,0.0,0.4,-7.344023081898831e-14,4.410262229339189e-14,2.6901233977639867e-10,11.15591802643727,-11.15591802452734,11.155918026426518,-11.155918024532612
0.21,-8.259659963414268e-15,8.179694084720421e-14,3.484204917078546e-05,0.0,0.0,0.42000000000000004,2.6344373071956117e-14,7.871200456095014e-15,2.8949263665379694e-10,11.439665726866137,-11.439665724806282,11.439665726854045,-11.439665724820472
0.22,-8.914906617307055e-15,9.002099352670702e-14,3.6994774377404734e-05,0.0,0.0,0.44000000000000006,9.092470372519868e-14,-3.357374815820973e-14,3.0951439711546177e-10,11.71521042328643,-11.71521042108407,11.715210423276599,-11.715210421102427
0.23,-1.0039204870672018e-14,9.649004884645063e-14,3.9188298481784636e-05,0.0,0.0,0.4600000000000001,7.529098887636594e-14,-4.648352325746165e-14,3.2955467714863773e-10,11.983598257561567,-11.983598255223349,11.98359825755762,-11.983598255235936
0.24,-1.1734097729882886e-14,1.0076889396316352e-13,4.14223347360995e-05,0.0,0.0,0.48,-4.3078143849486075e-14,-8.03110038512159e-15,3.501890280479935e-10,12.245754718275803,-12.2457547158048,12.24575471828054,-12.245754715799873
0.25,-1.3483579587958132e-14,1.0440260587562457e-13,4.369668203628944e-05,0.0,0.0,0.5,-1.9766985544905594e-13,5.72991895440412e-14,3.713979545482386e-10,12.502496138805743,-12.502496136197822,12.502496138817863,-12.502496136174221
0.26,-1.493855525445601e-14,1.0849422957303996e-13,4.601122621749815e-05,0.0,0.0,0.52,-3.41489799513138e-13,1.298111757874642e-13,3.9310057273335616e-10,12.754547181011954,-12.75454717825981,12.754547181028183,-12.754547178221888
0.27,-1.5474987421458352e-14,1.1501919938683926e-13,4.8365933506989145e-05,0.0,0.0,0.54,-3.880253108530723e-13,1.65277131125927e-13,4.1481889819790575e-10,13.002551647716892,-13.002551644810247,13.002551647731295,-13.002551644772403
0.28,-1.50601633061474e-14,1.2409235045042228e-13,5.0760845487822124e-05,0.0,0.0,0.56,-3.350198532459268e-13,1.6180855469701954e-13,4.3646262593178134e-10,13.247079718668733,-13.247079715599847,13.247079718676654,-13.247079715573959
0.29,-1.3739024690291721e-14,1.354622362803182e-13,5.319607125305119e-05,0.0,0.0,0.58,-1.9178258832992983e-13,1.1648682265874616e-13,4.578935450953845e-10,13.488644402921299,-13.488644399685887,13.488644402920025,-13.48864439968082
0.3,-1.1821769930050458e-14,1.4796573064898085e-13,5.567179200092838e-05,0.0,0.0,0.6,-6.595809118048962e-15,4.3750308588640685e-14,4.791432325486525e-10,13.72768945471003,-13.727689451309388,13.727689454700496,-13.72768945132605
0.31,-9.847264473407626e-15,1.6035805899862676e-13,5.818824324110632e-05,0.0,0.0,0.62,1.7004338484910163e-13,-3.428289056858592e-14,5.00117641116619e-10,13.9646177995157,-13.964617795955462,13.964617799500743,-13.96461779598932
0.32,-8.487807043412917e-15,1.7076583602468852e-13,6.0745730611244425e-05,0.0,0.0,0.64,2.601912089394031e-13,-8.528913836765216e-14,5.208394559372069e-10,14.199768477271999,-14.199768473564024,14.199768477257901,-14.199768473601207
0.33,-7.856919647877366e-15,1.7901685124348274e-13,6.33445965764798e-05,0.0,0.0,0.66,2.5355890948927357e-13,-1.0056057678970644e-13,5.411780575202667e-10,14.433465028057181,-14.433465024212765,14.433465028048975,-14.43346502424113
