metric,value
generated_at,2026-05-11T12:20:02
raw_file,results/robustness/rotor1_loss15_example1/robust_rotor1_loss15_example1_awff_pid/raw/robust_rotor1_loss15_example1_awff_pid.csv
scene_id,robust_rotor1_loss15_example1
controller_id,awff_pid
row_count,5001
duration_s,50.0
sample_rate_hz,100.0
position_rmse_m,0.36482349790156043
x_rmse_m,0.2102191467541571
y_rmse_m,0.21050357766103575
z_rmse_m,0.21116898150767285
max_position_error_m,1.2735263258025393
steady_state_error_m,0.2654421058939645
settling_time_s,nan
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.264609164809357
disturbance_recovery_time_s,13.759999999999998
overshoot_x_pct,6.622045193062256
overshoot_y_pct,3.079088477089389
overshoot_z_pct,1.9566155514829002
overshoot_max_pct,6.622045193062256
roll_rmse_rad,0.02451149702439384
pitch_rmse_rad,0.024447084813767672
yaw_rmse_rad,0.0008614447648246926
max_tilt_rad,0.1746421249399779
minimum_altitude_m,0.0
altitude_violation_count,62
tilt_violation_count,0
constraint_violation_count,62
constraint_violation_rate_hz,1.24
altitude_violation_rate_hz,1.24
tilt_violation_rate_hz,0.0
control_energy,41589.12519302827
control_energy_per_second,831.7825038605654
control_smoothness,13917.581082030796
control_smoothness_per_second,278.3516216406159
control_command_min,-20.0
control_command_max,20.0
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,85.61650303627445
robustness_score,0.0
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,36.184950910882336
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_robust_rotor_loss_awff
