metric,value
generated_at,2026-06-12T04:24:40
raw_file,Results\robustness\rotor1_loss15_example1\robust_rotor1_loss15_example1_awff_sysblock\raw\robust_rotor1_loss15_example1_awff_sysblock.csv
scene_id,robust_rotor1_loss15_example1
controller_id,awff_sysblock
row_count,25001
duration_s,50.0
sample_rate_hz,500.0
position_rmse_m,5229.534690333248
x_rmse_m,3507.2748066378954
y_rmse_m,3879.029157301266
z_rmse_m,13.75881276138833
max_position_error_m,11239.191612353177
steady_state_error_m,9345.665753413587
settling_time_s,nan
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,1854.873550758242
disturbance_recovery_time_s,nan
overshoot_x_pct,75257.96837705406
overshoot_y_pct,83475.4964582787
overshoot_z_pct,0.0
overshoot_max_pct,83475.4964582787
roll_rmse_rad,0.8105545949206443
pitch_rmse_rad,1.8629114199492287
yaw_rmse_rad,1.8140928314904279
max_tilt_rad,3.2237357157311766
minimum_altitude_m,-8.644474658762537e-06
altitude_violation_count,25001
tilt_violation_count,16860
constraint_violation_count,41861
constraint_violation_rate_hz,837.22
altitude_violation_rate_hz,500.02
tilt_violation_rate_hz,337.2
control_energy,60122.96683363805
control_energy_per_second,1202.459336672761
control_smoothness,1162440331.0793934
control_smoothness_per_second,23248806.62158787
control_command_min,-20.0
control_command_max,20.0
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,0.0
robustness_score,0.0
safety_score,0.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,0.0
total_health_score,0.0
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_robust_rotor_loss_ablation
metrics_profile,standard_tracking
