metric,value
generated_at,2026-06-12T03:54:23
raw_file,Results\robustness\rotor1_loss15_example1\robust_rotor1_loss15_example1_l1_multi_fault_isolation_sysblock\raw\robust_rotor1_loss15_example1_l1_multi_fault_isolation_sysblock.csv
scene_id,robust_rotor1_loss15_example1
controller_id,l1_multi_fault_isolation_sysblock
row_count,25001
duration_s,50.0
sample_rate_hz,500.0
position_rmse_m,19.59912533400987
x_rmse_m,9.079943555642927
y_rmse_m,10.59831188423254
z_rmse_m,13.760673097239875
max_position_error_m,33.823694655727415
steady_state_error_m,30.720313207943487
settling_time_s,nan
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,15.026679238053184
disturbance_recovery_time_s,nan
overshoot_x_pct,167.9214879339276
overshoot_y_pct,0.0
overshoot_z_pct,0.0
overshoot_max_pct,167.9214879339276
roll_rmse_rad,0.06891794791491178
pitch_rmse_rad,0.15620967990382398
yaw_rmse_rad,0.3385785642647136
max_tilt_rad,0.5074294410031952
minimum_altitude_m,-0.0009887457376334665
altitude_violation_count,25001
tilt_violation_count,0
constraint_violation_count,25001
constraint_violation_rate_hz,500.02
altitude_violation_rate_hz,500.02
tilt_violation_rate_hz,0.0
control_energy,75369.71518486935
control_energy_per_second,1507.394303697387
control_smoothness,4237.316381701059
control_smoothness_per_second,84.74632763402118
control_command_min,-20.0
control_command_max,20.0
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,0.0
robustness_score,0.0
safety_score,30.92643462983431
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,30.92643462983431
total_health_score,9.277930388950294
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_l1_multi_fault_isolation_rotor_loss_ablation
metrics_profile,standard_tracking
