metric,value
generated_at,2026-06-12T04:38:35
raw_file,Results\robustness\rotor1_loss15_example1\robust_rotor1_loss15_example1_l1_online_fault_allocation_sysblock\raw\robust_rotor1_loss15_example1_l1_online_fault_allocation_sysblock.csv
scene_id,robust_rotor1_loss15_example1
controller_id,l1_online_fault_allocation_sysblock
row_count,25001
duration_s,50.0
sample_rate_hz,500.0
position_rmse_m,5099.066578699046
x_rmse_m,3420.5421362990837
y_rmse_m,3781.558166087449
z_rmse_m,13.758790114777296
max_position_error_m,10850.979305615128
steady_state_error_m,9064.574360546194
settling_time_s,nan
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,1865.1977852741613
disturbance_recovery_time_s,nan
overshoot_x_pct,72695.41809305697
overshoot_y_pct,80558.85351880398
overshoot_z_pct,0.0
overshoot_max_pct,80558.85351880398
roll_rmse_rad,0.8105382489744863
pitch_rmse_rad,1.8669999413113152
yaw_rmse_rad,1.8116619952924993
max_tilt_rad,3.2230800190350597
minimum_altitude_m,-8.644472209996403e-06
altitude_violation_count,25001
tilt_violation_count,16907
constraint_violation_count,41908
constraint_violation_rate_hz,838.16
altitude_violation_rate_hz,500.02
tilt_violation_rate_hz,338.14
control_energy,60143.72509348383
control_energy_per_second,1202.8745018696766
control_smoothness,1149618183.0977566
control_smoothness_per_second,22992363.661955133
control_command_min,-20.0
control_command_max,20.0
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,0.0
robustness_score,0.0
safety_score,0.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,0.0
total_health_score,0.0
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_l1_online_fault_allocation_rotor_loss_ablation
metrics_profile,standard_tracking
