metric,value
generated_at,2026-05-12T08:48:43
raw_file,results/robustness/rotor1_loss15_example1/robust_rotor1_loss15_example1_linear_mpc_sysblock/raw/robust_rotor1_loss15_example1_linear_mpc_sysblock.csv
scene_id,robust_rotor1_loss15_example1
controller_id,linear_mpc_sysblock
row_count,5001
duration_s,50.0
sample_rate_hz,100.0
position_rmse_m,0.3140409802138421
x_rmse_m,0.1638657624784791
y_rmse_m,0.16429953771831599
z_rmse_m,0.2116020109700411
max_position_error_m,1.2507814527967644
steady_state_error_m,0.20751613695027885
settling_time_s,nan
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.2066377773004565
disturbance_recovery_time_s,5.48
overshoot_x_pct,5.575673947026996
overshoot_y_pct,2.8333406878358147
overshoot_z_pct,1.9399109628537896
overshoot_max_pct,5.575673947026996
roll_rmse_rad,0.026259577921324467
pitch_rmse_rad,0.026285687951319938
yaw_rmse_rad,0.0010901444327068505
max_tilt_rad,0.21059903105073957
minimum_altitude_m,0.0
altitude_violation_count,62
tilt_violation_count,0
constraint_violation_count,62
constraint_violation_rate_hz,1.24
altitude_violation_rate_hz,1.24
tilt_violation_rate_hz,0.0
control_energy,41597.200454141814
control_energy_per_second,831.9440090828363
control_smoothness,14104.239706463406
control_smoothness_per_second,282.0847941292681
control_command_min,-20.0
control_command_max,20.0
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,87.96169739683594
robustness_score,0.0
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,36.88850921905078
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_linear_mpc_rotor_loss_ablation
