metric,value
generated_at,2026-06-12T02:42:01
raw_file,Results\robustness\rotor1_loss15_example1\robust_rotor1_loss15_example1_pid_baseline\raw\robust_rotor1_loss15_example1_pid_baseline.csv
scene_id,robust_rotor1_loss15_example1
controller_id,pid_baseline
row_count,25001
duration_s,50.0
sample_rate_hz,500.0
position_rmse_m,1.3752511875197824
x_rmse_m,0.7487140056118671
y_rmse_m,0.7502614398502713
z_rmse_m,0.8762710416583459
max_position_error_m,4.375561002270331
steady_state_error_m,1.024264769866438
settling_time_s,nan
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,1.3200805670649336
disturbance_recovery_time_s,nan
overshoot_x_pct,12.777557107240725
overshoot_y_pct,0.0
overshoot_z_pct,6.178094990120068
overshoot_max_pct,12.777557107240725
roll_rmse_rad,0.03364362219343433
pitch_rmse_rad,0.03324869495955723
yaw_rmse_rad,0.00180137722134348
max_tilt_rad,0.27179222045532553
minimum_altitude_m,-0.0004529717351224295
altitude_violation_count,1069
tilt_violation_count,0
constraint_violation_count,1069
constraint_violation_rate_hz,21.38
altitude_violation_rate_hz,21.38
tilt_violation_rate_hz,0.0
control_energy,596109.6870842397
control_energy_per_second,11922.193741684794
control_smoothness,104727.05009606875
control_smoothness_per_second,2094.541001921375
control_command_min,-68.81526016630924
control_command_max,71.60154155389813
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,27.66710144991484
robustness_score,0.0
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,18.80013043497445
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_robust_rotor_loss_ablation
metrics_profile,standard_tracking
