time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
0.002,-8.437738090870085e-14,1.1768088721979306e-13,-1.2984486851117963e-06,0.0,0.0,0.004,-4.2710818447252323e-10,-3.062383257800201e-10,5.091063684147444e-17,1.4826608604235134,-1.4826609493247216,1.4826610130660636,-1.4826609241648545
0.004,-2.976868132244593e-13,4.313024849732306e-13,-2.6652827636647307e-06,0.0,0.0,0.008,-1.5653560902468404e-09,-1.080417370572721e-09,4.53529975411317e-16,2.7024387505075502,-2.7024390551137656,2.702439264623493,-2.7024389600172705
0.006,1.4263339698540929e-13,9.464618092229719e-14,-4.029572368570277e-06,0.0,0.0,0.012,-3.434271832972198e-10,5.177159084515443e-10,8.305492757137175e-16,3.70697203082869,-3.7069720202100203,3.706971854985731,-3.7069718656043893
0.008,4.3019231998608294e-12,-4.207310827267323e-12,-5.389044490288094e-06,0.0,0.0,0.016,1.526958150852009e-08,1.561272418190992e-08,-8.737715746914858e-16,4.535287756883276,-4.535284526348046,4.535281275633825,-4.535284506169068
0.01,1.8257214327763284e-11,-1.9046179808105136e-11,-6.741332482429151e-06,0.0,0.0,0.02,6.911224699194691e-08,6.624839742119643e-08,-5.8950180789901125e-15,5.219341218070879,-5.219327494531343,5.21931441187287,-5.219328135412489
0.012,5.079860712343995e-11,-5.3925674234707935e-11,-8.08455583096878e-06,0.0,0.0,0.024,1.9560169085781763e-07,1.8425587620817376e-07,-2.5530621300921874e-14,5.785297712509937,-5.785260435124253,5.785225424097221,-5.785262701483266
0.014,1.1205736272904403e-10,-1.1979445855943787e-10,-9.418662136373251e-06,0.0,0.0,0.028000000000000004,4.342108115113542e-07,4.0615819257228657e-07,-1.0359844385631325e-13,6.25458111295522,-6.254501368799876,6.254426919710698,-6.254506663867508
0.016,2.1059854011339084e-10,-2.2589768646877185e-10,-1.0745940709942665e-05,0.0,0.0,0.032,8.178821235902434e-07,7.624713143027212e-07,-3.434033388773176e-13,6.644731574407458,-6.644586870512864,6.64445215519322,-6.64459685909267
0.018000000000000002,3.5178793778901277e-10,-3.7800868536907466e-10,-1.2068972018802542e-05,0.0,0.0,0.036000000000000004,1.3665174101169083e-06,1.2716921258871854e-06,-9.316470854585886e-13,6.970107449152184,-6.969874876003306,6.969658666341848,-6.9698912395039
