time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.01,-2.3126851326695745e-12,2.497829932823723e-12,-6.74689151547983e-06,0.0,0.0,0.02,-5.09511651547569e-09,-4.717453253081747e-09,-4.456948249833847e-06,1.2020110508378694,-1.1010119529413136,1.100980898529484,-1.1010119164185235
0.02,-7.337034924142004e-11,7.92413181580933e-11,-1.3416377638352589e-05,0.0,0.0,0.04,-1.6121947701721676e-07,-1.4927477317410298e-07,-2.392588769144708e-05,2.2846229123411868,-2.0927803275947867,2.0926248324851886,-2.092779234496247
0.03,-4.016199410486801e-10,4.336713493304825e-10,-1.9851149929790117e-05,0.0,0.0,0.06,-8.71857738723656e-07,-8.074228706452772e-07,-5.559264713071387e-05,3.2619777014154687,-2.9882716275051324,2.987948727247187,-2.988266031284496
0.04,-1.2861954318265576e-09,1.388169465287536e-09,-2.5998114876713886e-05,0.0,0.0,0.08,-2.7077512961927285e-06,-2.508888541058985e-06,-9.786877704346707e-05,4.146546218101748,-3.798937711908305,3.798453267572233,-3.7989212794240004
0.05,-3.1889413290983606e-09,3.438782175146212e-09,-3.1821175062006665e-05,0.0,0.0,0.1,-6.332963343377005e-06,-5.873396621919091e-06,-0.00014964369698607267,4.949328656904371,-4.534886732052084,4.534292268773227,-4.534850548562814
0.06,-6.878272023739929e-09,7.407509102661942e-09,-3.729735918799109e-05,0.0,0.0,0.12,-1.2453560780479945e-05,-1.1567496322117585e-05,-0.0002100005367718843,5.680032033467927,-5.205039696770435,5.2044279265255815,-5.2049731852413705
0.07,-1.3670174024937742e-08,1.4696673325005029e-08,-4.24135459902708e-05,0.0,0.0,0.14,-2.1771345434452468e-05,-2.0267725057081904e-05,-0.0002781491210067709,6.347225159358454,-5.8172693004140665,5.816768069194756,-5.817161738574448
0.08,-2.580858180866299e-08,2.7687749559166493e-08,-4.7163860739975425e-05,0.0,0.0,0.16,-3.494797794146319e-05,-3.263515819732741e-05,-0.0003533931208990525,6.958532631118781,-6.378575777024781,6.378341222825619,-6.378418390533548
0.09,-4.690371937859464e-08,5.019405461511868e-08,-5.1547630166084326e-05,0.0,0.0,0.18,-5.256180631137409e-05,-4.928185557704519e-05,-0.0004351224384097406,7.520664268473531,-6.8951126648296075,6.8953216341185275,-6.894901070613834
0.1,-8.232728960233213e-08,8.785694123108458e-08,-5.5567791066458546e-05,0.0,0.0,0.2,-7.507487675767591e-05,-7.074223779429358e-05,-0.0005228099437834114,8.039438231225656,-7.372208020510292,7.373050456436368,-7.371944555321913
0.11,-1.3947798689228367e-07,1.4839541147884142e-07,-5.9229474894603024e-05,0.0,0.0,0.22000000000000003,-0.00010282347459436942,-9.746066066092781e-05,-0.0006160011370926842,8.51988933701806,-7.814464892148623,7.816137053001114,-7.8141603657083
0.12,-2.2915974348389578e-07,2.4299435667679484e-07,-6.253969489142463e-05,0.0,0.0,0.24,-0.00013603604922530292,-0.0001298185988675278,-0.0007142658888596665,8.966803191420674,-8.226250156668488,8.228948418466405,-8.225925904642654
0.13,-3.655249144846035e-07,3.8616904090725856e-07,-6.550605296357533e-05,0.0,0.0,0.26,-0.0001747971616842947,-0.00016807917648970074,-0.000817236147960781,9.384297267143518,-8.61131283981441,8.615227132176283,-8.611000913511273
0.14,-5.66739589345183e-07,5.96365946653602e-07,-6.813643042581322e-05,0.0,0.0,0.28,-0.00021905947100871122,-0.00021238566529267,-0.0009245924121385545,9.775969211091999,-8.972921375488484,8.978229056502107,-8.97266356150165
