time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,eta_hat1,eta_hat2,eta_hat3,eta_hat4,fault_index
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0.01,2.6413175278934437e-11,2.8527610423730443e-11,-6.7473409618226295e-06,0.0,0.0,0.02,-5.8191308534492137e-08,5.387823017397287e-08,-2.8113293140820005e-16,1.1032761302512346,-1.1032817578406349,1.1032765473621067,-1.10327091977271,1.0,1.0,1.0,1.0,0.0
0.02,8.399332882790746e-10,9.071287251561066e-10,-1.3421281806351005e-05,0.0,0.0,0.04,-1.8457666878452952e-06,1.7090419111263919e-06,1.634654161478736e-12,2.1013353783198094,-2.101504305724142,2.1013478912723573,-2.101178963844911,1.0,1.0,1.0,1.0,0.0
0.03,4.607678354376847e-09,4.9752275887014826e-09,-1.986632287083027e-05,0.0,0.0,0.06,-1.000714116370403e-05,9.267874834975979e-06,4.7814581625943915e-11,3.0064967662743993,-3.0073662122457825,3.0065609824753445,-3.005691535827864,1.0,1.0,1.0,1.0,0.0
0.04,1.4781534494800998e-08,1.5952624021925908e-08,-2.6029181405689005e-05,0.0,0.0,0.08,-3.115971953603032e-05,2.887281391431613e-05,4.6345903363832543e-10,3.829640582487494,-3.8322181916324993,3.829829610193248,-3.827251994494932,1.0,1.0,1.0,1.0,0.0
0.05,3.669293054465665e-08,3.95648722438088e-08,-3.1872600893075026e-05,0.0,0.0,0.1,-7.306937007572491e-05,6.777167089777623e-05,2.549153772081736e-09,4.580376592156824,-4.586145020457297,4.580793897091813,-4.575025432746306,1.0,1.0,1.0,1.0,0.0
0.06,7.92086455305558e-08,8.52957076229318e-08,-3.737184194775245e-05,0.0,0.0,0.12,-0.000144077118655485,0.00013383735077564124,9.915947396769362e-09,5.267196522367555,-5.278073030630144,5.267965698274485,-5.257089049800398,1.0,1.0,1.0,1.0,0.0
0.07,1.576025231016214e-07,1.6941794296709994e-07,-4.2511670757308597e-05,0.0,0.0,0.14,-0.00025259000972182775,0.00023516865182060648,3.0503244570216575e-08,5.897619652512559,-5.915885292170063,5.8988670831017,-5.880601012128317,1.0,1.0,1.0,1.0,0.0
0.08,2.980344516972039e-07,3.196888480821931e-07,-4.72839241403785e-05,0.0,0.0,0.16,-0.00040665636284472316,0.00037978984128994315,7.91603155853141e-08,6.478347608552648,-6.506556773860913,6.480178164344668,-6.451967879709542,1.0,1.0,1.0,1.0,0.0
0.09,5.424149385576894e-07,5.803680339777179e-07,-5.168568197226381e-05,0.0,0.0,0.18,-0.0006134147682826601,0.0005752123432428437,1.804027526178e-07,7.015252320535114,-7.056127055316034,7.017720974372206,-6.976843688696364,1.0,1.0,1.0,1.0,0.0
0.1,9.545838365674633e-07,1.0184828248413549e-06,-5.5717737977671426e-05,0.0,0.0,0.2,-0.0008788339373243241,0.0008282500655626832,3.709952545949397e-07,7.513519590634853,-7.569844818745574,7.516602125141212,-7.460271651157589,1.0,1.0,1.0,1.0,0.0
0.11,1.622504439881522e-06,1.7257845169233572e-06,-5.9383183954580935e-05,0.0,0.0,0.22000000000000003,-0.0012074428682327042,0.0011447105916333107,7.018686992428869e-07,7.977625079373194,-8.052155221782108,7.98119630571297,-7.90665623888065,1.0,1.0,1.0,1.0,0.0
0.12,2.672440712506198e-06,2.832922198621843e-06,-6.268704565534161e-05,0.0,0.0,0.24,-0.001602484100576367,0.0015296226126342363,1.2394133165583086e-06,8.411696376241192,-8.507065718884602,8.415507583648493,-8.32012071570079,1.0,1.0,1.0,1.0,0.0
