metric,value
generated_at,2026-05-14T01:19:48
raw_file,results/robustness/rotor4_loss15_wind_gust_example1/robust_rotor4_loss15_wind_gust_example1_l1_multi_fault_isolation_sysblock/raw/robust_rotor4_loss15_wind_gust_example1_l1_multi_fault_isolation_sysblock.csv
scene_id,robust_rotor4_loss15_wind_gust_example1
controller_id,l1_multi_fault_isolation_sysblock
row_count,5001
duration_s,50.0
sample_rate_hz,100.0
position_rmse_m,0.2726577723260427
x_rmse_m,0.12372760681221522
y_rmse_m,0.12057862213378223
z_rmse_m,0.2109372797934031
max_position_error_m,1.2526062140377179
steady_state_error_m,0.1415346179776901
settling_time_s,7.99
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.12689413893676788
disturbance_recovery_time_s,4.580000000000002
overshoot_x_pct,3.6486410337035657
overshoot_y_pct,3.715331648888771
overshoot_z_pct,1.936577366279586
overshoot_max_pct,3.715331648888771
roll_rmse_rad,0.03014271836651315
pitch_rmse_rad,0.03147420581106745
yaw_rmse_rad,0.032338294744740315
max_tilt_rad,0.25559401480664007
minimum_altitude_m,-7.716925742787975e-05
altitude_violation_count,61
tilt_violation_count,0
constraint_violation_count,61
constraint_violation_rate_hz,1.22
altitude_violation_rate_hz,1.22
tilt_violation_rate_hz,0.0
control_energy,41491.39031842432
control_energy_per_second,829.8278063684863
control_smoothness,12926.713176126681
control_smoothness_per_second,258.5342635225336
control_command_min,-20.0
control_command_max,20.0
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,90.0111081908881
robustness_score,53.92307692307692
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,50.98410168803566
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_l1_multi_fault_isolation_rotor_loss_wind_gust
