metric,value
generated_at,2026-05-15T22:05:22
raw_file,results/system/battery_low/sunray150_complete_system_battery_low_sysblock/raw/sunray150_complete_system_battery_low_sysblock.csv
scene_id,system_battery_low
controller_id,awff_complete_system
row_count,101
duration_s,1.0
sample_rate_hz,100.0
position_rmse_m,1.4688448147908701
x_rmse_m,0.5837351876748447
y_rmse_m,0.691748851326895
z_rmse_m,1.1568240347158079
max_position_error_m,2.6569072210150106
steady_state_error_m,1.236049152770539
settling_time_s,nan
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,nan
disturbance_recovery_time_s,nan
overshoot_x_pct,nan
overshoot_y_pct,nan
overshoot_z_pct,0.0
overshoot_max_pct,0.0
roll_rmse_rad,0.8573731090676167
pitch_rmse_rad,1.8919509379357446
yaw_rmse_rad,1.7563656264056051
max_tilt_rad,3.2971080620435798
minimum_altitude_m,-0.00010449560112009391
altitude_violation_count,101
tilt_violation_count,67
constraint_violation_count,168
constraint_violation_rate_hz,168.0
altitude_violation_rate_hz,101.0
tilt_violation_rate_hz,67.0
control_energy,48764.7604047297
control_energy_per_second,48764.7604047297
control_smoothness,18955568.20521591
control_smoothness_per_second,18955568.20521591
control_command_min,-130.15917037669055
control_command_max,130.15917037669055
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,33.08218329040833
robustness_score,0.0
safety_score,0.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,0.0
total_health_score,9.9246549871225
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_complete_system_battery_low
