metric,value
generated_at,2026-05-15T22:07:34
raw_file,results/system/gps_dropout/sunray150_complete_system_gps_dropout_sysblock/raw/sunray150_complete_system_gps_dropout_sysblock.csv
scene_id,system_gps_dropout
controller_id,awff_complete_system
row_count,101
duration_s,1.0
sample_rate_hz,100.0
position_rmse_m,1.7285420607511885
x_rmse_m,0.9161015093418888
y_rmse_m,1.0364402202986966
z_rmse_m,1.0365362271115608
max_position_error_m,3.7187060138037387
steady_state_error_m,1.3987940059602395
settling_time_s,nan
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,nan
disturbance_recovery_time_s,nan
overshoot_x_pct,nan
overshoot_y_pct,nan
overshoot_z_pct,0.0
overshoot_max_pct,0.0
roll_rmse_rad,0.8135882094248353
pitch_rmse_rad,1.7607485024143035
yaw_rmse_rad,1.7481539693540407
max_tilt_rad,3.2587355177058797
minimum_altitude_m,-0.0002976604111615245
altitude_violation_count,101
tilt_violation_count,66
constraint_violation_count,167
constraint_violation_rate_hz,167.0
altitude_violation_rate_hz,101.0
tilt_violation_rate_hz,66.0
control_energy,42605.189586687724
control_energy_per_second,42605.189586687724
control_smoothness,27957842.44907183
control_smoothness_per_second,27957842.44907183
control_command_min,-130.15917037669055
control_command_max,130.15917037669055
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,16.960973227948973
robustness_score,0.0
safety_score,0.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,0.0
total_health_score,5.088291968384691
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_complete_system_gps_dropout
