time,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,yaw_ref,segment_index
0,87.54,22.34046,2.2,0,0,0,1.57079632679,0
0.05,87.54,22.3410112371,2.2,0,0.0321184524717,0,1.57079632679,0
0.1,87.54,22.3444964782,2.2,0,0.113803790073,0,1.57079632679,0
0.15,87.54,22.3528828395,2.2,0,0.225051440329,0,1.57079632679,0
0.2,87.54,22.3672038907,2.2,0,0.348524107097,0,1.57079632679,0
0.25,87.54,22.3876930183,2.2,0,0.469551770563,0,1.57079632679,0
0.3,87.54,22.4139167901,2.2,0,0.576131687243,0,1.57079632679,0
0.35,87.54,22.4449083183,2.2,0,0.658928389981,0,1.57079632679,0
0.4,87.54,22.4793006239,2.2,0,0.711273687954,0,1.57079632679,0
0.45,87.54,22.51546,2.2,0,0.729166666667,0,1.57079632679,0
0.5,87.54,22.5516193761,2.2,0,0.711273687954,0,1.57079632679,0
0.55,87.54,22.5860116817,2.2,0,0.658928389981,0,1.57079632679,0
0.6,87.54,22.6170032099,2.2,0,0.576131687243,0,1.57079632679,0
0.65,87.54,22.6432269817,2.2,0,0.469551770563,0,1.57079632679,0
0.7,87.54,22.6637161093,2.2,0,0.348524107097,0,1.57079632679,0
0.75,87.54,22.6780371605,2.2,0,0.225051440329,0,1.57079632679,0
0.8,87.54,22.6864235218,2.2,0,0.113803790073,0,1.57079632679,0
0.85,87.54,22.6899087629,2.2,0,0.0321184524717,0,1.57079632679,0
0.9,87.54,22.69046,2.2,0,0,0,1.57079632679,0
0.95,87.54,22.6910112371,2.2,0,0.0321184524717,0,1.57079632679,1
1,87.54,22.6944964782,2.2,0,0.113803790073,0,1.57079632679,1
1.05,87.54,22.7028828395,2.2,0,0.225051440329,0,1.57079632679,1
1.1,87.54,22.7172038907,2.2,0,0.348524107097,0,1.57079632679,1
1.15,87.54,22.7376930183,2.2,0,0.469551770563,0,1.57079632679,1
1.2,87.54,22.7639167901,2.2,0,0.576131687243,0,1.57079632679,1
1.25,87.54,22.7949083183,2.2,0,0.658928389981,0,1.57079632679,1
1.3,87.54,22.8293006239,2.2,0,0.711273687954,0,1.57079632679,1
1.35,87.54,22.86546,2.2,0,0.729166666667,0,1.57079632679,1
1.4,87.54,22.9016193761,2.2,0,0.711273687954,0,1.57079632679,1
1.45,87.54,22.9360116817,2.2,0,0.658928389981,0,1.57079632679,1
1.5,87.54,22.9670032099,2.2,0,0.576131687243,0,1.57079632679,1
1.55,87.54,22.9932269817,2.2,0,0.469551770563,0,1.57079632679,1
1.6,87.54,23.0137161093,2.2,0,0.348524107097,0,1.57079632679,1
1.65,87.54,23.0280371605,2.2,0,0.225051440329,0,1.57079632679,1
1.7,87.54,23.0364235218,2.2,0,0.113803790073,0,1.57079632679,1
1.75,87.54,23.0399087629,2.2,0,0.0321184524717,0,1.57079632679,1
1.8,87.54,23.04046,2.2,0,0,0,1.57079632679,1
1.85,87.54,23.0410112371,2.2,0,0.0321184524717,0,1.57079632679,2
