metric,value
generated_at,2026-06-01T05:48:30
raw_file,Results/unreal_scene_mapping/derelictcorridormegascans/mworks_smoke/raw/sunray150_ue_derelictcorridormegascans_linear_mpc_smoke.csv
scene_id,ue_derelictcorridormegascans
controller_id,linear_mpc_sysblock
row_count,793
duration_s,39.6
sample_rate_hz,20.0
position_rmse_m,0.0803065550889421
x_rmse_m,0.05726605299862824
y_rmse_m,0.056244247965830316
z_rmse_m,0.0025152604178866837
max_position_error_m,0.28746770998262156
steady_state_error_m,0.07373053086325031
settling_time_s,1.75
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.23899360816813758
disturbance_recovery_time_s,0.75
overshoot_x_pct,0.2526317238097215
overshoot_y_pct,1.3682069889002813
overshoot_z_pct,nan
overshoot_max_pct,1.3682069889002813
roll_rmse_rad,0.045856436136472216
pitch_rmse_rad,0.03134473024623934
yaw_rmse_rad,0.0012915337201661126
max_tilt_rad,0.1378548989162993
minimum_altitude_m,2.1848880554877264
altitude_violation_count,0
tilt_violation_count,0
constraint_violation_count,0
constraint_violation_rate_hz,0.0
altitude_violation_rate_hz,0.0
tilt_violation_rate_hz,0.0
control_energy,13.087390865400819
control_energy_per_second,0.3304896683182025
control_smoothness,550.7652921035899
control_smoothness_per_second,13.90821444706035
control_command_min,-0.6838306169039297
control_command_max,0.9724083079647936
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,100.0
robustness_score,100.0
safety_score,100.0
energy_score,42.26667040732142
smoothness_score,0.0
fault_tolerance_score,100.0
total_health_score,89.22666704073214
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_ue_scene_control_smoke
